Shift: 10
kodizom 0 1 2 3 4 5 6
kmzoiod 0 6 4 5 3 1 2
kmzoido 0 6 4 5 3 2 1
kmoodiz 0 6 5 1 2 3 4
kmoodzi 0 6 5 1 2 4 3
kmooidz 0 6 5 1 3 2 4
kmooizd 0 6 5 1 3 4 2
kmoozdi 0 6 5 1 4 2 3
kmoozid 0 6 5 1 4 3 2
kmodoiz 0 6 5 2 1 3 4
kmodozi 0 6 5 2 1 4 3
kmodioz 0 6 5 2 3 1 4
kmodizo 0 6 5 2 3 4 1
kmodzoi 0 6 5 2 4 1 3
kmodzio 0 6 5 2 4 3 1
kmoiodz 0 6 5 3 1 2 4
kmoiozd 0 6 5 3 1 4 2
kmoidoz 0 6 5 3 2 1 4
kmoidzo 0 6 5 3 2 4 1
kmoizod 0 6 5 3 4 1 2
kmoizdo 0 6 5 3 4 2 1
kmozodi 0 6 5 4 1 2 3
kmozoid 0 6 5 4 1 3 2
kmozdoi 0 6 5 4 2 1 3
kmozdio 0 6 5 4 2 3 1
kmoziod 0 6 5 4 3 1 2
kmozido 0 6 5 4 3 2 1
okdizom 1 0 2 3 4 5 6
okdizmo 1 0 2 3 4 6 5
okdiozm 1 0 2 3 5 4 6
okdiomz 1 0 2 3 5 6 4
okdimzo 1 0 2 3 6 4 5
okdimoz 1 0 2 3 6 5 4
okdziom 1 0 2 4 3 5 6
okdzimo 1 0 2 4 3 6 5
okdzoim 1 0 2 4 5 3 6
okdzomi 1 0 2 4 5 6 3
okdzmio 1 0 2 4 6 3 5
okdzmoi 1 0 2 4 6 5 3
okdoizm 1 0 2 5 3 4 6
okdoimz 1 0 2 5 3 6 4
okdozim 1 0 2 5 4 3 6
okdozmi 1 0 2 5 4 6 3
okdomiz 1 0 2 5 6 3 4
okdomzi 1 0 2 5 6 4 3
okdmizo 1 0 2 6 3 4 5
okdmioz 1 0 2 6 3 5 4
okdmzio 1 0 2 6 4 3 5
okdmzoi 1 0 2 6 4 5 3
okdmoiz 1 0 2 6 5 3 4
okdmozi 1 0 2 6 5 4 3
okidzom 1 0 3 2 4 5 6
okidzmo 1 0 3 2 4 6 5
okidozm 1 0 3 2 5 4 6
okidomz 1 0 3 2 5 6 4
okidmzo 1 0 3 2 6 4 5
okidmoz 1 0 3 2 6 5 4
okizdom 1 0 3 4 2 5 6
okizdmo 1 0 3 4 2 6 5
okizodm 1 0 3 4 5 2 6
okizomd 1 0 3 4 5 6 2
okizmdo 1 0 3 4 6 2 5
okizmod 1 0 3 4 6 5 2
okiodzm 1 0 3 5 2 4 6
okiodmz 1 0 3 5 2 6 4
okiozdm 1 0 3 5 4 2 6
okiozmd 1 0 3 5 4 6 2
okiomdz 1 0 3 5 6 2 4
okiomzd 1 0 3 5 6 4 2
okimdzo 1 0 3 6 2 4 5
okimdoz 1 0 3 6 2 5 4
okimzdo 1 0 3 6 4 2 5
okimzod 1 0 3 6 4 5 2
okimodz 1 0 3 6 5 2 4
okimozd 1 0 3 6 5 4 2
okzdiom 1 0 4 2 3 5 6
okzdimo 1 0 4 2 3 6 5
okzdoim 1 0 4 2 5 3 6
okzdomi 1 0 4 2 5 6 3
okzdmio 1 0 4 2 6 3 5
okzdmoi 1 0 4 2 6 5 3
okzidom 1 0 4 3 2 5 6
okzidmo 1 0 4 3 2 6 5
okziodm 1 0 4 3 5 2 6
okziomd 1 0 4 3 5 6 2
okzimdo 1 0 4 3 6 2 5
okzimod 1 0 4 3 6 5 2
okzodim 1 0 4 5 2 3 6
okzodmi 1 0 4 5 2 6 3
okzoidm 1 0 4 5 3 2 6
okzoimd 1 0 4 5 3 6 2
okzomdi 1 0 4 5 6 2 3
okzomid 1 0 4 5 6 3 2
okzmdio 1 0 4 6 2 3 5
okzmdoi 1 0 4 6 2 5 3
okzmido 1 0 4 6 3 2 5
okzmiod 1 0 4 6 3 5 2
okzmodi 1 0 4 6 5 2 3
okzmoid 1 0 4 6 5 3 2
okodizm 1 0 5 2 3 4 6
okodimz 1 0 5 2 3 6 4
okodzim 1 0 5 2 4 3 6
okodzmi 1 0 5 2 4 6 3
okodmiz 1 0 5 2 6 3 4
okodmzi 1 0 5 2 6 4 3
okoidzm 1 0 5 3 2 4 6
okoidmz 1 0 5 3 2 6 4
okoizdm 1 0 5 3 4 2 6
okoizmd 1 0 5 3 4 6 2
okoimdz 1 0 5 3 6 2 4
okoimzd 1 0 5 3 6 4 2
okozdim 1 0 5 4 2 3 6
okozdmi 1 0 5 4 2 6 3
okozidm 1 0 5 4 3 2 6
okozimd 1 0 5 4 3 6 2
okozmdi 1 0 5 4 6 2 3
okozmid 1 0 5 4 6 3 2
okomdiz 1 0 5 6 2 3 4
okomdzi 1 0 5 6 2 4 3
okomidz 1 0 5 6 3 2 4
okomizd 1 0 5 6 3 4 2
okomzdi 1 0 5 6 4 2 3
okomzid 1 0 5 6 4 3 2
okmdizo 1 0 6 2 3 4 5
okmdioz 1 0 6 2 3 5 4
okmdzio 1 0 6 2 4 3 5
okmdzoi 1 0 6 2 4 5 3
okmdoiz 1 0 6 2 5 3 4
okmdozi 1 0 6 2 5 4 3
okmidzo 1 0 6 3 2 4 5
okmidoz 1 0 6 3 2 5 4
okmizdo 1 0 6 3 4 2 5
okmizod 1 0 6 3 4 5 2
okmiodz 1 0 6 3 5 2 4
okmiozd 1 0 6 3 5 4 2
okmzdio 1 0 6 4 2 3 5
okmzdoi 1 0 6 4 2 5 3
okmzido 1 0 6 4 3 2 5
okmziod 1 0 6 4 3 5 2
okmzodi 1 0 6 4 5 2 3
okmzoid 1 0 6 4 5 3 2
okmodiz 1 0 6 5 2 3 4
okmodzi 1 0 6 5 2 4 3
okmoidz 1 0 6 5 3 2 4
okmoizd 1 0 6 5 3 4 2
okmozdi 1 0 6 5 4 2 3
okmozid 1 0 6 5 4 3 2
odkizom 1 2 0 3 4 5 6
odkizmo 1 2 0 3 4 6 5
odkiozm 1 2 0 3 5 4 6
odkiomz 1 2 0 3 5 6 4
odkimzo 1 2 0 3 6 4 5
odkimoz 1 2 0 3 6 5 4
odkziom 1 2 0 4 3 5 6
odkzimo 1 2 0 4 3 6 5
odkzoim 1 2 0 4 5 3 6
odkzomi 1 2 0 4 5 6 3
odkzmio 1 2 0 4 6 3 5
odkzmoi 1 2 0 4 6 5 3
odkoizm 1 2 0 5 3 4 6
odkoimz 1 2 0 5 3 6 4
odkozim 1 2 0 5 4 3 6
odkozmi 1 2 0 5 4 6 3
odkomiz 1 2 0 5 6 3 4
odkomzi 1 2 0 5 6 4 3
odkmizo 1 2 0 6 3 4 5
odkmioz 1 2 0 6 3 5 4
odkmzio 1 2 0 6 4 3 5
odkmzoi 1 2 0 6 4 5 3
odkmoiz 1 2 0 6 5 3 4
odkmozi 1 2 0 6 5 4 3
odikzom 1 2 3 0 4 5 6
odikzmo 1 2 3 0 4 6 5
odikozm 1 2 3 0 5 4 6
odikomz 1 2 3 0 5 6 4
odikmzo 1 2 3 0 6 4 5
odikmoz 1 2 3 0 6 5 4
odizkom 1 2 3 4 0 5 6
odizkmo 1 2 3 4 0 6 5
odizokm 1 2 3 4 5 0 6
odizomk 1 2 3 4 5 6 0
odizmko 1 2 3 4 6 0 5
odizmok 1 2 3 4 6 5 0
odiokzm 1 2 3 5 0 4 6
odiokmz 1 2 3 5 0 6 4
odiozkm 1 2 3 5 4 0 6
odiozmk 1 2 3 5 4 6 0
odiomkz 1 2 3 5 6 0 4
odiomzk 1 2 3 5 6 4 0
odimkzo 1 2 3 6 0 4 5
odimkoz 1 2 3 6 0 5 4
odimzko 1 2 3 6 4 0 5
odimzok 1 2 3 6 4 5 0
odimokz 1 2 3 6 5 0 4
odimozk 1 2 3 6 5 4 0
odzkiom 1 2 4 0 3 5 6
odzkimo 1 2 4 0 3 6 5
odzkoim 1 2 4 0 5 3 6
odzkomi 1 2 4 0 5 6 3
odzkmio 1 2 4 0 6 3 5
odzkmoi 1 2 4 0 6 5 3
odzikom 1 2 4 3 0 5 6
odzikmo 1 2 4 3 0 6 5
odziokm 1 2 4 3 5 0 6
odziomk 1 2 4 3 5 6 0
odzimko 1 2 4 3 6 0 5
odzimok 1 2 4 3 6 5 0
odzokim 1 2 4 5 0 3 6
odzokmi 1 2 4 5 0 6 3
odzoikm 1 2 4 5 3 0 6
odzoimk 1 2 4 5 3 6 0
odzomki 1 2 4 5 6 0 3
odzomik 1 2 4 5 6 3 0
odzmkio 1 2 4 6 0 3 5
odzmkoi 1 2 4 6 0 5 3
odzmiko 1 2 4 6 3 0 5
odzmiok 1 2 4 6 3 5 0
odzmoki 1 2 4 6 5 0 3
odzmoik 1 2 4 6 5 3 0
odokizm 1 2 5 0 3 4 6
odokimz 1 2 5 0 3 6 4
odokzim 1 2 5 0 4 3 6
odokzmi 1 2 5 0 4 6 3
odokmiz 1 2 5 0 6 3 4
odokmzi 1 2 5 0 6 4 3
odoikzm 1 2 5 3 0 4 6
odoikmz 1 2 5 3 0 6 4
odoizkm 1 2 5 3 4 0 6
odoizmk 1 2 5 3 4 6 0
odoimkz 1 2 5 3 6 0 4
odoimzk 1 2 5 3 6 4 0
odozkim 1 2 5 4 0 3 6
odozkmi 1 2 5 4 0 6 3
odozikm 1 2 5 4 3 0 6
odozimk 1 2 5 4 3 6 0
odozmki 1 2 5 4 6 0 3
odozmik 1 2 5 4 6 3 0
odomkiz 1 2 5 6 0 3 4
odomkzi 1 2 5 6 0 4 3
odomikz 1 2 5 6 3 0 4
odomizk 1 2 5 6 3 4 0
odomzki 1 2 5 6 4 0 3
odomzik 1 2 5 6 4 3 0
odmkizo 1 2 6 0 3 4 5
odmkioz 1 2 6 0 3 5 4
odmkzio 1 2 6 0 4 3 5
odmkzoi 1 2 6 0 4 5 3
odmkoiz 1 2 6 0 5 3 4
odmkozi 1 2 6 0 5 4 3
odmikzo 1 2 6 3 0 4 5
odmikoz 1 2 6 3 0 5 4
odmizko 1 2 6 3 4 0 5
odmizok 1 2 6 3 4 5 0
odmiokz 1 2 6 3 5 0 4
odmiozk 1 2 6 3 5 4 0
odmzkio 1 2 6 4 0 3 5
odmzkoi 1 2 6 4 0 5 3
odmziko 1 2 6 4 3 0 5
odmziok 1 2 6 4 3 5 0
odmzoki 1 2 6 4 5 0 3
odmzoik 1 2 6 4 5 3 0
odmokiz 1 2 6 5 0 3 4
odmokzi 1 2 6 5 0 4 3
odmoikz 1 2 6 5 3 0 4
odmoizk 1 2 6 5 3 4 0
odmozki 1 2 6 5 4 0 3
odmozik 1 2 6 5 4 3 0
oikdzom 1 3 0 2 4 5 6
oikdzmo 1 3 0 2 4 6 5
oikdozm 1 3 0 2 5 4 6
oikdomz 1 3 0 2 5 6 4
oikdmzo 1 3 0 2 6 4 5
oikdmoz 1 3 0 2 6 5 4
oikzdom 1 3 0 4 2 5 6
oikzdmo 1 3 0 4 2 6 5
oikzodm 1 3 0 4 5 2 6
oikzomd 1 3 0 4 5 6 2
oikzmdo 1 3 0 4 6 2 5
oikzmod 1 3 0 4 6 5 2
oikodzm 1 3 0 5 2 4 6
oikodmz 1 3 0 5 2 6 4
oikozdm 1 3 0 5 4 2 6
oikozmd 1 3 0 5 4 6 2
oikomdz 1 3 0 5 6 2 4
oikomzd 1 3 0 5 6 4 2
oikmdzo 1 3 0 6 2 4 5
oikmdoz 1 3 0 6 2 5 4
oikmzdo 1 3 0 6 4 2 5
oikmzod 1 3 0 6 4 5 2
oikmodz 1 3 0 6 5 2 4
oikmozd 1 3 0 6 5 4 2
oidkzom 1 3 2 0 4 5 6
oidkzmo 1 3 2 0 4 6 5
oidkozm 1 3 2 0 5 4 6
oidkomz 1 3 2 0 5 6 4
oidkmzo 1 3 2 0 6 4 5
oidkmoz 1 3 2 0 6 5 4
oidzkom 1 3 2 4 0 5 6
oidzkmo 1 3 2 4 0 6 5
oidzokm 1 3 2 4 5 0 6
oidzomk 1 3 2 4 5 6 0
oidzmko 1 3 2 4 6 0 5
oidzmok 1 3 2 4 6 5 0
oidokzm 1 3 2 5 0 4 6
oidokmz 1 3 2 5 0 6 4
oidozkm 1 3 2 5 4 0 6
oidozmk 1 3 2 5 4 6 0
oidomkz 1 3 2 5 6 0 4
oidomzk 1 3 2 5 6 4 0
oidmkzo 1 3 2 6 0 4 5
oidmkoz 1 3 2 6 0 5 4
oidmzko 1 3 2 6 4 0 5
oidmzok 1 3 2 6 4 5 0
oidmokz 1 3 2 6 5 0 4
oidmozk 1 3 2 6 5 4 0
oizkdom 1 3 4 0 2 5 6
oizkdmo 1 3 4 0 2 6 5
oizkodm 1 3 4 0 5 2 6
oizkomd 1 3 4 0 5 6 2
oizkmdo 1 3 4 0 6 2 5
oizkmod 1 3 4 0 6 5 2
oizdkom 1 3 4 2 0 5 6
oizdkmo 1 3 4 2 0 6 5
oizdokm 1 3 4 2 5 0 6
oizdomk 1 3 4 2 5 6 0
oizdmko 1 3 4 2 6 0 5
oizdmok 1 3 4 2 6 5 0
oizokdm 1 3 4 5 0 2 6
oizokmd 1 3 4 5 0 6 2
oizodkm 1 3 4 5 2 0 6
oizodmk 1 3 4 5 2 6 0
oizomkd 1 3 4 5 6 0 2
oizomdk 1 3 4 5 6 2 0
oizmkdo 1 3 4 6 0 2 5
oizmkod 1 3 4 6 0 5 2
oizmdko 1 3 4 6 2 0 5
oizmdok 1 3 4 6 2 5 0
oizmokd 1 3 4 6 5 0 2
oizmodk 1 3 4 6 5 2 0
oiokdzm 1 3 5 0 2 4 6
oiokdmz 1 3 5 0 2 6 4
oiokzdm 1 3 5 0 4 2 6
oiokzmd 1 3 5 0 4 6 2
oiokmdz 1 3 5 0 6 2 4
oiokmzd 1 3 5 0 6 4 2
oiodkzm 1 3 5 2 0 4 6
oiodkmz 1 3 5 2 0 6 4
oiodzkm 1 3 5 2 4 0 6
oiodzmk 1 3 5 2 4 6 0
oiodmkz 1 3 5 2 6 0 4
oiodmzk 1 3 5 2 6 4 0
oiozkdm 1 3 5 4 0 2 6
oiozkmd 1 3 5 4 0 6 2
oiozdkm 1 3 5 4 2 0 6
oiozdmk 1 3 5 4 2 6 0
oiozmkd 1 3 5 4 6 0 2
oiozmdk 1 3 5 4 6 2 0
oiomkdz 1 3 5 6 0 2 4
oiomkzd 1 3 5 6 0 4 2
oiomdkz 1 3 5 6 2 0 4
oiomdzk 1 3 5 6 2 4 0
oiomzkd 1 3 5 6 4 0 2
oiomzdk 1 3 5 6 4 2 0
oimkdzo 1 3 6 0 2 4 5
oimkdoz 1 3 6 0 2 5 4
oimkzdo 1 3 6 0 4 2 5
oimkzod 1 3 6 0 4 5 2
oimkodz 1 3 6 0 5 2 4
oimkozd 1 3 6 0 5 4 2
oimdkzo 1 3 6 2 0 4 5
oimdkoz 1 3 6 2 0 5 4
oimdzko 1 3 6 2 4 0 5
oimdzok 1 3 6 2 4 5 0
oimdokz 1 3 6 2 5 0 4
oimdozk 1 3 6 2 5 4 0
oimzkdo 1 3 6 4 0 2 5
oimzkod 1 3 6 4 0 5 2
oimzdko 1 3 6 4 2 0 5
oimzdok 1 3 6 4 2 5 0
oimzokd 1 3 6 4 5 0 2
oimzodk 1 3 6 4 5 2 0
oimokdz 1 3 6 5 0 2 4
oimokzd 1 3 6 5 0 4 2
oimodkz 1 3 6 5 2 0 4
oimodzk 1 3 6 5 2 4 0
oimozkd 1 3 6 5 4 0 2
oimozdk 1 3 6 5 4 2 0
ozkdiom 1 4 0 2 3 5 6
ozkdimo 1 4 0 2 3 6 5
ozkdoim 1 4 0 2 5 3 6
ozkdomi 1 4 0 2 5 6 3
ozkdmio 1 4 0 2 6 3 5
ozkdmoi 1 4 0 2 6 5 3
ozkidom 1 4 0 3 2 5 6
ozkidmo 1 4 0 3 2 6 5
ozkiodm 1 4 0 3 5 2 6
ozkiomd 1 4 0 3 5 6 2
ozkimdo 1 4 0 3 6 2 5
ozkimod 1 4 0 3 6 5 2
ozkodim 1 4 0 5 2 3 6
ozkodmi 1 4 0 5 2 6 3
ozkoidm 1 4 0 5 3 2 6
ozkoimd 1 4 0 5 3 6 2
ozkomdi 1 4 0 5 6 2 3
ozkomid 1 4 0 5 6 3 2
ozkmdio 1 4 0 6 2 3 5
ozkmdoi 1 4 0 6 2 5 3
ozkmido 1 4 0 6 3 2 5
ozkmiod 1 4 0 6 3 5 2
ozkmodi 1 4 0 6 5 2 3
ozkmoid 1 4 0 6 5 3 2
ozdkiom 1 4 2 0 3 5 6
ozdkimo 1 4 2 0 3 6 5
ozdkoim 1 4 2 0 5 3 6
ozdkomi 1 4 2 0 5 6 3
ozdkmio 1 4 2 0 6 3 5
ozdkmoi 1 4 2 0 6 5 3
ozdikom 1 4 2 3 0 5 6
ozdikmo 1 4 2 3 0 6 5
ozdiokm 1 4 2 3 5 0 6
ozdiomk 1 4 2 3 5 6 0
ozdimko 1 4 2 3 6 0 5
ozdimok 1 4 2 3 6 5 0
ozdokim 1 4 2 5 0 3 6
ozdokmi 1 4 2 5 0 6 3
ozdoikm 1 4 2 5 3 0 6
ozdoimk 1 4 2 5 3 6 0
ozdomki 1 4 2 5 6 0 3
ozdomik 1 4 2 5 6 3 0
ozdmkio 1 4 2 6 0 3 5
ozdmkoi 1 4 2 6 0 5 3
ozdmiko 1 4 2 6 3 0 5
ozdmiok 1 4 2 6 3 5 0
ozdmoki 1 4 2 6 5 0 3
ozdmoik 1 4 2 6 5 3 0
ozikdom 1 4 3 0 2 5 6
ozikdmo 1 4 3 0 2 6 5
ozikodm 1 4 3 0 5 2 6
ozikomd 1 4 3 0 5 6 2
ozikmdo 1 4 3 0 6 2 5
ozikmod 1 4 3 0 6 5 2
ozidkom 1 4 3 2 0 5 6
ozidkmo 1 4 3 2 0 6 5
ozidokm 1 4 3 2 5 0 6
ozidomk 1 4 3 2 5 6 0
ozidmko 1 4 3 2 6 0 5
ozidmok 1 4 3 2 6 5 0
oziokdm 1 4 3 5 0 2 6
oziokmd 1 4 3 5 0 6 2
oziodkm 1 4 3 5 2 0 6
oziodmk 1 4 3 5 2 6 0
oziomkd 1 4 3 5 6 0 2
oziomdk 1 4 3 5 6 2 0
ozimkdo 1 4 3 6 0 2 5
ozimkod 1 4 3 6 0 5 2
ozimdko 1 4 3 6 2 0 5
ozimdok 1 4 3 6 2 5 0
ozimokd 1 4 3 6 5 0 2
ozimodk 1 4 3 6 5 2 0
ozokdim 1 4 5 0 2 3 6
ozokdmi 1 4 5 0 2 6 3
ozokidm 1 4 5 0 3 2 6
ozokimd 1 4 5 0 3 6 2
ozokmdi 1 4 5 0 6 2 3
ozokmid 1 4 5 0 6 3 2
ozodkim 1 4 5 2 0 3 6
ozodkmi 1 4 5 2 0 6 3
ozodikm 1 4 5 2 3 0 6
ozodimk 1 4 5 2 3 6 0
ozodmki 1 4 5 2 6 0 3
ozodmik 1 4 5 2 6 3 0
ozoikdm 1 4 5 3 0 2 6
ozoikmd 1 4 5 3 0 6 2
ozoidkm 1 4 5 3 2 0 6
ozoidmk 1 4 5 3 2 6 0
ozoimkd 1 4 5 3 6 0 2
ozoimdk 1 4 5 3 6 2 0
ozomkdi 1 4 5 6 0 2 3
ozomkid 1 4 5 6 0 3 2
ozomdki 1 4 5 6 2 0 3
ozomdik 1 4 5 6 2 3 0
ozomikd 1 4 5 6 3 0 2
ozomidk 1 4 5 6 3 2 0
ozmkdio 1 4 6 0 2 3 5
ozmkdoi 1 4 6 0 2 5 3
ozmkido 1 4 6 0 3 2 5
ozmkiod 1 4 6 0 3 5 2
ozmkodi 1 4 6 0 5 2 3
ozmkoid 1 4 6 0 5 3 2
ozmdkio 1 4 6 2 0 3 5
ozmdkoi 1 4 6 2 0 5 3
ozmdiko 1 4 6 2 3 0 5
ozmdiok 1 4 6 2 3 5 0
ozmdoki 1 4 6 2 5 0 3
ozmdoik 1 4 6 2 5 3 0
ozmikdo 1 4 6 3 0 2 5
ozmikod 1 4 6 3 0 5 2
ozmidko 1 4 6 3 2 0 5
ozmidok 1 4 6 3 2 5 0
ozmiokd 1 4 6 3 5 0 2
ozmiodk 1 4 6 3 5 2 0
ozmokdi 1 4 6 5 0 2 3
ozmokid 1 4 6 5 0 3 2
ozmodki 1 4 6 5 2 0 3
ozmodik 1 4 6 5 2 3 0
ozmoikd 1 4 6 5 3 0 2
ozmoidk 1 4 6 5 3 2 0
ookdizm 1 5 0 2 3 4 6
ookdimz 1 5 0 2 3 6 4
ookdzim 1 5 0 2 4 3 6
ookdzmi 1 5 0 2 4 6 3
ookdmiz 1 5 0 2 6 3 4
ookdmzi 1 5 0 2 6 4 3
ookidzm 1 5 0 3 2 4 6
ookidmz 1 5 0 3 2 6 4
ookizdm 1 5 0 3 4 2 6
ookizmd 1 5 0 3 4 6 2
ookimdz 1 5 0 3 6 2 4
ookimzd 1 5 0 3 6 4 2
ookzdim 1 5 0 4 2 3 6
ookzdmi 1 5 0 4 2 6 3
ookzidm 1 5 0 4 3 2 6
ookzimd 1 5 0 4 3 6 2
ookzmdi 1 5 0 4 6 2 3
ookzmid 1 5 0 4 6 3 2
ookmdiz 1 5 0 6 2 3 4
ookmdzi 1 5 0 6 2 4 3
ookmidz 1 5 0 6 3 2 4
ookmizd 1 5 0 6 3 4 2
ookmzdi 1 5 0 6 4 2 3
ookmzid 1 5 0 6 4 3 2
oodkizm 1 5 2 0 3 4 6
oodkimz 1 5 2 0 3 6 4
oodkzim 1 5 2 0 4 3 6
oodkzmi 1 5 2 0 4 6 3
oodkmiz 1 5 2 0 6 3 4
oodkmzi 1 5 2 0 6 4 3
oodikzm 1 5 2 3 0 4 6
oodikmz 1 5 2 3 0 6 4
oodizkm 1 5 2 3 4 0 6
oodizmk 1 5 2 3 4 6 0
oodimkz 1 5 2 3 6 0 4
oodimzk 1 5 2 3 6 4 0
oodzkim 1 5 2 4 0 3 6
oodzkmi 1 5 2 4 0 6 3
oodzikm 1 5 2 4 3 0 6
oodzimk 1 5 2 4 3 6 0
oodzmki 1 5 2 4 6 0 3
oodzmik 1 5 2 4 6 3 0
oodmkiz 1 5 2 6 0 3 4
oodmkzi 1 5 2 6 0 4 3
oodmikz 1 5 2 6 3 0 4
oodmizk 1 5 2 6 3 4 0
oodmzki 1 5 2 6 4 0 3
oodmzik 1 5 2 6 4 3 0
ooikdzm 1 5 3 0 2 4 6
ooikdmz 1 5 3 0 2 6 4
ooikzdm 1 5 3 0 4 2 6
ooikzmd 1 5 3 0 4 6 2
ooikmdz 1 5 3 0 6 2 4
ooikmzd 1 5 3 0 6 4 2
ooidkzm 1 5 3 2 0 4 6
ooidkmz 1 5 3 2 0 6 4
ooidzkm 1 5 3 2 4 0 6
ooidzmk 1 5 3 2 4 6 0
ooidmkz 1 5 3 2 6 0 4
ooidmzk 1 5 3 2 6 4 0
ooizkdm 1 5 3 4 0 2 6
ooizkmd 1 5 3 4 0 6 2
ooizdkm 1 5 3 4 2 0 6
ooizdmk 1 5 3 4 2 6 0
ooizmkd 1 5 3 4 6 0 2
ooizmdk 1 5 3 4 6 2 0
ooimkdz 1 5 3 6 0 2 4
ooimkzd 1 5 3 6 0 4 2
ooimdkz 1 5 3 6 2 0 4
ooimdzk 1 5 3 6 2 4 0
ooimzkd 1 5 3 6 4 0 2
ooimzdk 1 5 3 6 4 2 0
oozkdim 1 5 4 0 2 3 6
oozkdmi 1 5 4 0 2 6 3
oozkidm 1 5 4 0 3 2 6
oozkimd 1 5 4 0 3 6 2
oozkmdi 1 5 4 0 6 2 3
oozkmid 1 5 4 0 6 3 2
oozdkim 1 5 4 2 0 3 6
oozdkmi 1 5 4 2 0 6 3
oozdikm 1 5 4 2 3 0 6
oozdimk 1 5 4 2 3 6 0
oozdmki 1 5 4 2 6 0 3
oozdmik 1 5 4 2 6 3 0
oozikdm 1 5 4 3 0 2 6
oozikmd 1 5 4 3 0 6 2
oozidkm 1 5 4 3 2 0 6
oozidmk 1 5 4 3 2 6 0
oozimkd 1 5 4 3 6 0 2
oozimdk 1 5 4 3 6 2 0
oozmkdi 1 5 4 6 0 2 3
oozmkid 1 5 4 6 0 3 2
oozmdki 1 5 4 6 2 0 3
oozmdik 1 5 4 6 2 3 0
oozmikd 1 5 4 6 3 0 2
oozmidk 1 5 4 6 3 2 0
oomkdiz 1 5 6 0 2 3 4
oomkdzi 1 5 6 0 2 4 3
oomkidz 1 5 6 0 3 2 4
oomkizd 1 5 6 0 3 4 2
oomkzdi 1 5 6 0 4 2 3
oomkzid 1 5 6 0 4 3 2
oomdkiz 1 5 6 2 0 3 4
oomdkzi 1 5 6 2 0 4 3
oomdikz 1 5 6 2 3 0 4
oomdizk 1 5 6 2 3 4 0
oomdzki 1 5 6 2 4 0 3
oomdzik 1 5 6 2 4 3 0
oomikdz 1 5 6 3 0 2 4
oomikzd 1 5 6 3 0 4 2
oomidkz 1 5 6 3 2 0 4
oomidzk 1 5 6 3 2 4 0
oomizkd 1 5 6 3 4 0 2
oomizdk 1 5 6 3 4 2 0
oomzkdi 1 5 6 4 0 2 3
oomzkid 1 5 6 4 0 3 2
oomzdki 1 5 6 4 2 0 3
oomzdik 1 5 6 4 2 3 0
oomzikd 1 5 6 4 3 0 2
oomzidk 1 5 6 4 3 2 0
omkdizo 1 6 0 2 3 4 5
omkdioz 1 6 0 2 3 5 4
omkdzio 1 6 0 2 4 3 5
omkdzoi 1 6 0 2 4 5 3
omkdoiz 1 6 0 2 5 3 4
omkdozi 1 6 0 2 5 4 3
omkidzo 1 6 0 3 2 4 5
omkidoz 1 6 0 3 2 5 4
omkizdo 1 6 0 3 4 2 5
omkizod 1 6 0 3 4 5 2
omkiodz 1 6 0 3 5 2 4
omkiozd 1 6 0 3 5 4 2
omkzdio 1 6 0 4 2 3 5
omkzdoi 1 6 0 4 2 5 3
omkzido 1 6 0 4 3 2 5
omkziod 1 6 0 4 3 5 2
omkzodi 1 6 0 4 5 2 3
omkzoid 1 6 0 4 5 3 2
omkodiz 1 6 0 5 2 3 4
omkodzi 1 6 0 5 2 4 3
omkoidz 1 6 0 5 3 2 4
omkoizd 1 6 0 5 3 4 2
omkozdi 1 6 0 5 4 2 3
omkozid 1 6 0 5 4 3 2
omdkizo 1 6 2 0 3 4 5
omdkioz 1 6 2 0 3 5 4
omdkzio 1 6 2 0 4 3 5
omdkzoi 1 6 2 0 4 5 3
omdkoiz 1 6 2 0 5 3 4
omdkozi 1 6 2 0 5 4 3
omdikzo 1 6 2 3 0 4 5
omdikoz 1 6 2 3 0 5 4
omdizko 1 6 2 3 4 0 5
omdizok 1 6 2 3 4 5 0
omdiokz 1 6 2 3 5 0 4
omdiozk 1 6 2 3 5 4 0
omdzkio 1 6 2 4 0 3 5
omdzkoi 1 6 2 4 0 5 3
omdziko 1 6 2 4 3 0 5
omdziok 1 6 2 4 3 5 0
omdzoki 1 6 2 4 5 0 3
omdzoik 1 6 2 4 5 3 0
omdokiz 1 6 2 5 0 3 4
omdokzi 1 6 2 5 0 4 3
omdoikz 1 6 2 5 3 0 4
omdoizk 1 6 2 5 3 4 0
omdozki 1 6 2 5 4 0 3
omdozik 1 6 2 5 4 3 0
omikdzo 1 6 3 0 2 4 5
omikdoz 1 6 3 0 2 5 4
omikzdo 1 6 3 0 4 2 5
omikzod 1 6 3 0 4 5 2
omikodz 1 6 3 0 5 2 4
omikozd 1 6 3 0 5 4 2
omidkzo 1 6 3 2 0 4 5
omidkoz 1 6 3 2 0 5 4
omidzko 1 6 3 2 4 0 5
omidzok 1 6 3 2 4 5 0
omidokz 1 6 3 2 5 0 4
omidozk 1 6 3 2 5 4 0
omizkdo 1 6 3 4 0 2 5
omizkod 1 6 3 4 0 5 2
omizdko 1 6 3 4 2 0 5
omizdok 1 6 3 4 2 5 0
omizokd 1 6 3 4 5 0 2
omizodk 1 6 3 4 5 2 0
omiokdz 1 6 3 5 0 2 4
