Shift: 0
aetypec 0 1 2 3 4 5 6
acepety 0 6 5 4 1 2 3
acepeyt 0 6 5 4 1 3 2
aceptey 0 6 5 4 2 1 3
aceptye 0 6 5 4 2 3 1
acepyet 0 6 5 4 3 1 2
acepyte 0 6 5 4 3 2 1
eatypec 1 0 2 3 4 5 6
eatypce 1 0 2 3 4 6 5
eatyepc 1 0 2 3 5 4 6
eatyecp 1 0 2 3 5 6 4
eatycpe 1 0 2 3 6 4 5
eatycep 1 0 2 3 6 5 4
eatpyec 1 0 2 4 3 5 6
eatpyce 1 0 2 4 3 6 5
eatpeyc 1 0 2 4 5 3 6
eatpecy 1 0 2 4 5 6 3
eatpcye 1 0 2 4 6 3 5
eatpcey 1 0 2 4 6 5 3
eateypc 1 0 2 5 3 4 6
eateycp 1 0 2 5 3 6 4
eatepyc 1 0 2 5 4 3 6
eatepcy 1 0 2 5 4 6 3
eatecyp 1 0 2 5 6 3 4
eatecpy 1 0 2 5 6 4 3
eatcype 1 0 2 6 3 4 5
eatcyep 1 0 2 6 3 5 4
eatcpye 1 0 2 6 4 3 5
eatcpey 1 0 2 6 4 5 3
eatceyp 1 0 2 6 5 3 4
eatcepy 1 0 2 6 5 4 3
eaytpec 1 0 3 2 4 5 6
eaytpce 1 0 3 2 4 6 5
eaytepc 1 0 3 2 5 4 6
eaytecp 1 0 3 2 5 6 4
eaytcpe 1 0 3 2 6 4 5
eaytcep 1 0 3 2 6 5 4
eayptec 1 0 3 4 2 5 6
eayptce 1 0 3 4 2 6 5
eaypetc 1 0 3 4 5 2 6
eaypect 1 0 3 4 5 6 2
eaypcte 1 0 3 4 6 2 5
eaypcet 1 0 3 4 6 5 2
eayetpc 1 0 3 5 2 4 6
eayetcp 1 0 3 5 2 6 4
eayeptc 1 0 3 5 4 2 6
eayepct 1 0 3 5 4 6 2
eayectp 1 0 3 5 6 2 4
eayecpt 1 0 3 5 6 4 2
eayctpe 1 0 3 6 2 4 5
eayctep 1 0 3 6 2 5 4
eaycpte 1 0 3 6 4 2 5
eaycpet 1 0 3 6 4 5 2
eaycetp 1 0 3 6 5 2 4
eaycept 1 0 3 6 5 4 2
eaptyec 1 0 4 2 3 5 6
eaptyce 1 0 4 2 3 6 5
eapteyc 1 0 4 2 5 3 6
eaptecy 1 0 4 2 5 6 3
eaptcye 1 0 4 2 6 3 5
eaptcey 1 0 4 2 6 5 3
eapytec 1 0 4 3 2 5 6
eapytce 1 0 4 3 2 6 5
eapyetc 1 0 4 3 5 2 6
eapyect 1 0 4 3 5 6 2
eapycte 1 0 4 3 6 2 5
eapycet 1 0 4 3 6 5 2
eapetyc 1 0 4 5 2 3 6
eapetcy 1 0 4 5 2 6 3
eapeytc 1 0 4 5 3 2 6
eapeyct 1 0 4 5 3 6 2
eapecty 1 0 4 5 6 2 3
eapecyt 1 0 4 5 6 3 2
eapctye 1 0 4 6 2 3 5
eapctey 1 0 4 6 2 5 3
eapcyte 1 0 4 6 3 2 5
eapcyet 1 0 4 6 3 5 2
eapcety 1 0 4 6 5 2 3
eapceyt 1 0 4 6 5 3 2
eaetypc 1 0 5 2 3 4 6
eaetycp 1 0 5 2 3 6 4
eaetpyc 1 0 5 2 4 3 6
eaetpcy 1 0 5 2 4 6 3
eaetcyp 1 0 5 2 6 3 4
eaetcpy 1 0 5 2 6 4 3
eaeytpc 1 0 5 3 2 4 6
eaeytcp 1 0 5 3 2 6 4
eaeyptc 1 0 5 3 4 2 6
eaeypct 1 0 5 3 4 6 2
eaeyctp 1 0 5 3 6 2 4
eaeycpt 1 0 5 3 6 4 2
eaeptyc 1 0 5 4 2 3 6
eaeptcy 1 0 5 4 2 6 3
eaepytc 1 0 5 4 3 2 6
eaepyct 1 0 5 4 3 6 2
eaepcty 1 0 5 4 6 2 3
eaepcyt 1 0 5 4 6 3 2
eaectyp 1 0 5 6 2 3 4
eaectpy 1 0 5 6 2 4 3
eaecytp 1 0 5 6 3 2 4
eaecypt 1 0 5 6 3 4 2
eaecpty 1 0 5 6 4 2 3
eaecpyt 1 0 5 6 4 3 2
eactype 1 0 6 2 3 4 5
eactyep 1 0 6 2 3 5 4
eactpye 1 0 6 2 4 3 5
eactpey 1 0 6 2 4 5 3
eacteyp 1 0 6 2 5 3 4
eactepy 1 0 6 2 5 4 3
eacytpe 1 0 6 3 2 4 5
eacytep 1 0 6 3 2 5 4
eacypte 1 0 6 3 4 2 5
eacypet 1 0 6 3 4 5 2
eacyetp 1 0 6 3 5 2 4
eacyept 1 0 6 3 5 4 2
eacptye 1 0 6 4 2 3 5
eacptey 1 0 6 4 2 5 3
eacpyte 1 0 6 4 3 2 5
eacpyet 1 0 6 4 3 5 2
eacpety 1 0 6 4 5 2 3
eacpeyt 1 0 6 4 5 3 2
eacetyp 1 0 6 5 2 3 4
eacetpy 1 0 6 5 2 4 3
eaceytp 1 0 6 5 3 2 4
eaceypt 1 0 6 5 3 4 2
eacepty 1 0 6 5 4 2 3
eacepyt 1 0 6 5 4 3 2
etaypec 1 2 0 3 4 5 6
etaypce 1 2 0 3 4 6 5
etayepc 1 2 0 3 5 4 6
etayecp 1 2 0 3 5 6 4
etaycpe 1 2 0 3 6 4 5
etaycep 1 2 0 3 6 5 4
etapyec 1 2 0 4 3 5 6
etapyce 1 2 0 4 3 6 5
etapeyc 1 2 0 4 5 3 6
etapecy 1 2 0 4 5 6 3
etapcye 1 2 0 4 6 3 5
etapcey 1 2 0 4 6 5 3
etaeypc 1 2 0 5 3 4 6
etaeycp 1 2 0 5 3 6 4
etaepyc 1 2 0 5 4 3 6
etaepcy 1 2 0 5 4 6 3
etaecyp 1 2 0 5 6 3 4
etaecpy 1 2 0 5 6 4 3
etacype 1 2 0 6 3 4 5
etacyep 1 2 0 6 3 5 4
etacpye 1 2 0 6 4 3 5
etacpey 1 2 0 6 4 5 3
etaceyp 1 2 0 6 5 3 4
etacepy 1 2 0 6 5 4 3
etyapec 1 2 3 0 4 5 6
etyapce 1 2 3 0 4 6 5
etyaepc 1 2 3 0 5 4 6
etyaecp 1 2 3 0 5 6 4
etyacpe 1 2 3 0 6 4 5
etyacep 1 2 3 0 6 5 4
etypaec 1 2 3 4 0 5 6
etypace 1 2 3 4 0 6 5
etypeac 1 2 3 4 5 0 6
etypeca 1 2 3 4 5 6 0
etypcae 1 2 3 4 6 0 5
etypcea 1 2 3 4 6 5 0
etyeapc 1 2 3 5 0 4 6
etyeacp 1 2 3 5 0 6 4
etyepac 1 2 3 5 4 0 6
etyepca 1 2 3 5 4 6 0
etyecap 1 2 3 5 6 0 4
etyecpa 1 2 3 5 6 4 0
etycape 1 2 3 6 0 4 5
etycaep 1 2 3 6 0 5 4
etycpae 1 2 3 6 4 0 5
etycpea 1 2 3 6 4 5 0
etyceap 1 2 3 6 5 0 4
etycepa 1 2 3 6 5 4 0
etpayec 1 2 4 0 3 5 6
etpayce 1 2 4 0 3 6 5
etpaeyc 1 2 4 0 5 3 6
etpaecy 1 2 4 0 5 6 3
etpacye 1 2 4 0 6 3 5
etpacey 1 2 4 0 6 5 3
etpyaec 1 2 4 3 0 5 6
etpyace 1 2 4 3 0 6 5
etpyeac 1 2 4 3 5 0 6
etpyeca 1 2 4 3 5 6 0
etpycae 1 2 4 3 6 0 5
etpycea 1 2 4 3 6 5 0
etpeayc 1 2 4 5 0 3 6
etpeacy 1 2 4 5 0 6 3
etpeyac 1 2 4 5 3 0 6
etpeyca 1 2 4 5 3 6 0
etpecay 1 2 4 5 6 0 3
etpecya 1 2 4 5 6 3 0
etpcaye 1 2 4 6 0 3 5
etpcaey 1 2 4 6 0 5 3
etpcyae 1 2 4 6 3 0 5
etpcyea 1 2 4 6 3 5 0
etpceay 1 2 4 6 5 0 3
etpceya 1 2 4 6 5 3 0
eteaypc 1 2 5 0 3 4 6
eteaycp 1 2 5 0 3 6 4
eteapyc 1 2 5 0 4 3 6
eteapcy 1 2 5 0 4 6 3
eteacyp 1 2 5 0 6 3 4
eteacpy 1 2 5 0 6 4 3
eteyapc 1 2 5 3 0 4 6
eteyacp 1 2 5 3 0 6 4
eteypac 1 2 5 3 4 0 6
eteypca 1 2 5 3 4 6 0
eteycap 1 2 5 3 6 0 4
eteycpa 1 2 5 3 6 4 0
etepayc 1 2 5 4 0 3 6
etepacy 1 2 5 4 0 6 3
etepyac 1 2 5 4 3 0 6
etepyca 1 2 5 4 3 6 0
etepcay 1 2 5 4 6 0 3
etepcya 1 2 5 4 6 3 0
etecayp 1 2 5 6 0 3 4
etecapy 1 2 5 6 0 4 3
etecyap 1 2 5 6 3 0 4
etecypa 1 2 5 6 3 4 0
etecpay 1 2 5 6 4 0 3
etecpya 1 2 5 6 4 3 0
etcaype 1 2 6 0 3 4 5
etcayep 1 2 6 0 3 5 4
etcapye 1 2 6 0 4 3 5
etcapey 1 2 6 0 4 5 3
etcaeyp 1 2 6 0 5 3 4
etcaepy 1 2 6 0 5 4 3
etcyape 1 2 6 3 0 4 5
etcyaep 1 2 6 3 0 5 4
etcypae 1 2 6 3 4 0 5
etcypea 1 2 6 3 4 5 0
etcyeap 1 2 6 3 5 0 4
etcyepa 1 2 6 3 5 4 0
etcpaye 1 2 6 4 0 3 5
etcpaey 1 2 6 4 0 5 3
etcpyae 1 2 6 4 3 0 5
etcpyea 1 2 6 4 3 5 0
etcpeay 1 2 6 4 5 0 3
etcpeya 1 2 6 4 5 3 0
etceayp 1 2 6 5 0 3 4
etceapy 1 2 6 5 0 4 3
etceyap 1 2 6 5 3 0 4
etceypa 1 2 6 5 3 4 0
etcepay 1 2 6 5 4 0 3
etcepya 1 2 6 5 4 3 0
eyatpec 1 3 0 2 4 5 6
eyatpce 1 3 0 2 4 6 5
eyatepc 1 3 0 2 5 4 6
eyatecp 1 3 0 2 5 6 4
eyatcpe 1 3 0 2 6 4 5
eyatcep 1 3 0 2 6 5 4
eyaptec 1 3 0 4 2 5 6
eyaptce 1 3 0 4 2 6 5
eyapetc 1 3 0 4 5 2 6
eyapect 1 3 0 4 5 6 2
eyapcte 1 3 0 4 6 2 5
eyapcet 1 3 0 4 6 5 2
eyaetpc 1 3 0 5 2 4 6
eyaetcp 1 3 0 5 2 6 4
eyaeptc 1 3 0 5 4 2 6
eyaepct 1 3 0 5 4 6 2
eyaectp 1 3 0 5 6 2 4
eyaecpt 1 3 0 5 6 4 2
eyactpe 1 3 0 6 2 4 5
eyactep 1 3 0 6 2 5 4
eyacpte 1 3 0 6 4 2 5
eyacpet 1 3 0 6 4 5 2
eyacetp 1 3 0 6 5 2 4
eyacept 1 3 0 6 5 4 2
eytapec 1 3 2 0 4 5 6
eytapce 1 3 2 0 4 6 5
eytaepc 1 3 2 0 5 4 6
eytaecp 1 3 2 0 5 6 4
eytacpe 1 3 2 0 6 4 5
eytacep 1 3 2 0 6 5 4
eytpaec 1 3 2 4 0 5 6
eytpace 1 3 2 4 0 6 5
eytpeac 1 3 2 4 5 0 6
eytpeca 1 3 2 4 5 6 0
eytpcae 1 3 2 4 6 0 5
eytpcea 1 3 2 4 6 5 0
eyteapc 1 3 2 5 0 4 6
eyteacp 1 3 2 5 0 6 4
eytepac 1 3 2 5 4 0 6
eytepca 1 3 2 5 4 6 0
eytecap 1 3 2 5 6 0 4
eytecpa 1 3 2 5 6 4 0
eytcape 1 3 2 6 0 4 5
eytcaep 1 3 2 6 0 5 4
eytcpae 1 3 2 6 4 0 5
eytcpea 1 3 2 6 4 5 0
eytceap 1 3 2 6 5 0 4
eytcepa 1 3 2 6 5 4 0
eypatec 1 3 4 0 2 5 6
eypatce 1 3 4 0 2 6 5
eypaetc 1 3 4 0 5 2 6
eypaect 1 3 4 0 5 6 2
eypacte 1 3 4 0 6 2 5
eypacet 1 3 4 0 6 5 2
eyptaec 1 3 4 2 0 5 6
eyptace 1 3 4 2 0 6 5
eypteac 1 3 4 2 5 0 6
eypteca 1 3 4 2 5 6 0
eyptcae 1 3 4 2 6 0 5
eyptcea 1 3 4 2 6 5 0
eypeatc 1 3 4 5 0 2 6
eypeact 1 3 4 5 0 6 2
eypetac 1 3 4 5 2 0 6
eypetca 1 3 4 5 2 6 0
eypecat 1 3 4 5 6 0 2
eypecta 1 3 4 5 6 2 0
eypcate 1 3 4 6 0 2 5
eypcaet 1 3 4 6 0 5 2
eypctae 1 3 4 6 2 0 5
eypctea 1 3 4 6 2 5 0
eypceat 1 3 4 6 5 0 2
eypceta 1 3 4 6 5 2 0
eyeatpc 1 3 5 0 2 4 6
eyeatcp 1 3 5 0 2 6 4
eyeaptc 1 3 5 0 4 2 6
eyeapct 1 3 5 0 4 6 2
eyeactp 1 3 5 0 6 2 4
eyeacpt 1 3 5 0 6 4 2
eyetapc 1 3 5 2 0 4 6
eyetacp 1 3 5 2 0 6 4
eyetpac 1 3 5 2 4 0 6
eyetpca 1 3 5 2 4 6 0
eyetcap 1 3 5 2 6 0 4
eyetcpa 1 3 5 2 6 4 0
eyepatc 1 3 5 4 0 2 6
eyepact 1 3 5 4 0 6 2
eyeptac 1 3 5 4 2 0 6
eyeptca 1 3 5 4 2 6 0
eyepcat 1 3 5 4 6 0 2
eyepcta 1 3 5 4 6 2 0
eyecatp 1 3 5 6 0 2 4
eyecapt 1 3 5 6 0 4 2
eyectap 1 3 5 6 2 0 4
eyectpa 1 3 5 6 2 4 0
eyecpat 1 3 5 6 4 0 2
eyecpta 1 3 5 6 4 2 0
eycatpe 1 3 6 0 2 4 5
eycatep 1 3 6 0 2 5 4
eycapte 1 3 6 0 4 2 5
eycapet 1 3 6 0 4 5 2
eycaetp 1 3 6 0 5 2 4
eycaept 1 3 6 0 5 4 2
eyctape 1 3 6 2 0 4 5
eyctaep 1 3 6 2 0 5 4
eyctpae 1 3 6 2 4 0 5
eyctpea 1 3 6 2 4 5 0
eycteap 1 3 6 2 5 0 4
eyctepa 1 3 6 2 5 4 0
eycpate 1 3 6 4 0 2 5
eycpaet 1 3 6 4 0 5 2
eycptae 1 3 6 4 2 0 5
eycptea 1 3 6 4 2 5 0
eycpeat 1 3 6 4 5 0 2
eycpeta 1 3 6 4 5 2 0
eyceatp 1 3 6 5 0 2 4
eyceapt 1 3 6 5 0 4 2
eycetap 1 3 6 5 2 0 4
eycetpa 1 3 6 5 2 4 0
eycepat 1 3 6 5 4 0 2
eycepta 1 3 6 5 4 2 0
epatyec 1 4 0 2 3 5 6
epatyce 1 4 0 2 3 6 5
epateyc 1 4 0 2 5 3 6
epatecy 1 4 0 2 5 6 3
epatcye 1 4 0 2 6 3 5
epatcey 1 4 0 2 6 5 3
epaytec 1 4 0 3 2 5 6
epaytce 1 4 0 3 2 6 5
epayetc 1 4 0 3 5 2 6
epayect 1 4 0 3 5 6 2
epaycte 1 4 0 3 6 2 5
epaycet 1 4 0 3 6 5 2
epaetyc 1 4 0 5 2 3 6
epaetcy 1 4 0 5 2 6 3
epaeytc 1 4 0 5 3 2 6
epaeyct 1 4 0 5 3 6 2
epaecty 1 4 0 5 6 2 3
epaecyt 1 4 0 5 6 3 2
epactye 1 4 0 6 2 3 5
epactey 1 4 0 6 2 5 3
epacyte 1 4 0 6 3 2 5
epacyet 1 4 0 6 3 5 2
epacety 1 4 0 6 5 2 3
epaceyt 1 4 0 6 5 3 2
eptayec 1 4 2 0 3 5 6
eptayce 1 4 2 0 3 6 5
eptaeyc 1 4 2 0 5 3 6
eptaecy 1 4 2 0 5 6 3
eptacye 1 4 2 0 6 3 5
eptacey 1 4 2 0 6 5 3
eptyaec 1 4 2 3 0 5 6
eptyace 1 4 2 3 0 6 5
eptyeac 1 4 2 3 5 0 6
eptyeca 1 4 2 3 5 6 0
eptycae 1 4 2 3 6 0 5
eptycea 1 4 2 3 6 5 0
epteayc 1 4 2 5 0 3 6
epteacy 1 4 2 5 0 6 3
epteyac 1 4 2 5 3 0 6
epteyca 1 4 2 5 3 6 0
eptecay 1 4 2 5 6 0 3
eptecya 1 4 2 5 6 3 0
eptcaye 1 4 2 6 0 3 5
eptcaey 1 4 2 6 0 5 3
eptcyae 1 4 2 6 3 0 5
eptcyea 1 4 2 6 3 5 0
eptceay 1 4 2 6 5 0 3
eptceya 1 4 2 6 5 3 0
epyatec 1 4 3 0 2 5 6
epyatce 1 4 3 0 2 6 5
epyaetc 1 4 3 0 5 2 6
epyaect 1 4 3 0 5 6 2
epyacte 1 4 3 0 6 2 5
epyacet 1 4 3 0 6 5 2
epytaec 1 4 3 2 0 5 6
epytace 1 4 3 2 0 6 5
epyteac 1 4 3 2 5 0 6
epyteca 1 4 3 2 5 6 0
epytcae 1 4 3 2 6 0 5
epytcea 1 4 3 2 6 5 0
epyeatc 1 4 3 5 0 2 6
epyeact 1 4 3 5 0 6 2
epyetac 1 4 3 5 2 0 6
epyetca 1 4 3 5 2 6 0
epyecat 1 4 3 5 6 0 2
epyecta 1 4 3 5 6 2 0
epycate 1 4 3 6 0 2 5
epycaet 1 4 3 6 0 5 2
epyctae 1 4 3 6 2 0 5
epyctea 1 4 3 6 2 5 0
epyceat 1 4 3 6 5 0 2
epyceta 1 4 3 6 5 2 0
epeatyc 1 4 5 0 2 3 6
epeatcy 1 4 5 0 2 6 3
epeaytc 1 4 5 0 3 2 6
epeayct 1 4 5 0 3 6 2
epeacty 1 4 5 0 6 2 3
epeacyt 1 4 5 0 6 3 2
epetayc 1 4 5 2 0 3 6
epetacy 1 4 5 2 0 6 3
epetyac 1 4 5 2 3 0 6
epetyca 1 4 5 2 3 6 0
epetcay 1 4 5 2 6 0 3
epetcya 1 4 5 2 6 3 0
epeyatc 1 4 5 3 0 2 6
epeyact 1 4 5 3 0 6 2
epeytac 1 4 5 3 2 0 6
epeytca 1 4 5 3 2 6 0
epeycat 1 4 5 3 6 0 2
epeycta 1 4 5 3 6 2 0
epecaty 1 4 5 6 0 2 3
epecayt 1 4 5 6 0 3 2
epectay 1 4 5 6 2 0 3
epectya 1 4 5 6 2 3 0
epecyat 1 4 5 6 3 0 2
epecyta 1 4 5 6 3 2 0
epcatye 1 4 6 0 2 3 5
epcatey 1 4 6 0 2 5 3
epcayte 1 4 6 0 3 2 5
epcayet 1 4 6 0 3 5 2
epcaety 1 4 6 0 5 2 3
epcaeyt 1 4 6 0 5 3 2
epctaye 1 4 6 2 0 3 5
epctaey 1 4 6 2 0 5 3
epctyae 1 4 6 2 3 0 5
epctyea 1 4 6 2 3 5 0
epcteay 1 4 6 2 5 0 3
epcteya 1 4 6 2 5 3 0
epcyate 1 4 6 3 0 2 5
epcyaet 1 4 6 3 0 5 2
epcytae 1 4 6 3 2 0 5
epcytea 1 4 6 3 2 5 0
epcyeat 1 4 6 3 5 0 2
epcyeta 1 4 6 3 5 2 0
epceaty 1 4 6 5 0 2 3
epceayt 1 4 6 5 0 3 2
epcetay 1 4 6 5 2 0 3
epcetya 1 4 6 5 2 3 0
epceyat 1 4 6 5 3 0 2
epceyta 1 4 6 5 3 2 0
eeatypc 1 5 0 2 3 4 6
eeatycp 1 5 0 2 3 6 4
eeatpyc 1 5 0 2 4 3 6
eeatpcy 1 5 0 2 4 6 3
eeatcyp 1 5 0 2 6 3 4
eeatcpy 1 5 0 2 6 4 3
eeaytpc 1 5 0 3 2 4 6
eeaytcp 1 5 0 3 2 6 4
eeayptc 1 5 0 3 4 2 6
eeaypct 1 5 0 3 4 6 2
eeayctp 1 5 0 3 6 2 4
eeaycpt 1 5 0 3 6 4 2
eeaptyc 1 5 0 4 2 3 6
eeaptcy 1 5 0 4 2 6 3
eeapytc 1 5 0 4 3 2 6
eeapyct 1 5 0 4 3 6 2
eeapcty 1 5 0 4 6 2 3
eeapcyt 1 5 0 4 6 3 2
eeactyp 1 5 0 6 2 3 4
eeactpy 1 5 0 6 2 4 3
eeacytp 1 5 0 6 3 2 4
eeacypt 1 5 0 6 3 4 2
eeacpty 1 5 0 6 4 2 3
eeacpyt 1 5 0 6 4 3 2
eetaypc 1 5 2 0 3 4 6
eetaycp 1 5 2 0 3 6 4
eetapyc 1 5 2 0 4 3 6
eetapcy 1 5 2 0 4 6 3
eetacyp 1 5 2 0 6 3 4
eetacpy 1 5 2 0 6 4 3
eetyapc 1 5 2 3 0 4 6
eetyacp 1 5 2 3 0 6 4
eetypac 1 5 2 3 4 0 6
eetypca 1 5 2 3 4 6 0
eetycap 1 5 2 3 6 0 4
eetycpa 1 5 2 3 6 4 0
eetpayc 1 5 2 4 0 3 6
eetpacy 1 5 2 4 0 6 3
eetpyac 1 5 2 4 3 0 6
eetpyca 1 5 2 4 3 6 0
eetpcay 1 5 2 4 6 0 3
eetpcya 1 5 2 4 6 3 0
eetcayp 1 5 2 6 0 3 4
eetcapy 1 5 2 6 0 4 3
eetcyap 1 5 2 6 3 0 4
eetcypa 1 5 2 6 3 4 0
eetcpay 1 5 2 6 4 0 3
eetcpya 1 5 2 6 4 3 0
eeyatpc 1 5 3 0 2 4 6
eeyatcp 1 5 3 0 2 6 4
eeyaptc 1 5 3 0 4 2 6
eeyapct 1 5 3 0 4 6 2
eeyactp 1 5 3 0 6 2 4
eeyacpt 1 5 3 0 6 4 2
eeytapc 1 5 3 2 0 4 6
eeytacp 1 5 3 2 0 6 4
eeytpac 1 5 3 2 4 0 6
eeytpca 1 5 3 2 4 6 0
eeytcap 1 5 3 2 6 0 4
eeytcpa 1 5 3 2 6 4 0
eeypatc 1 5 3 4 0 2 6
eeypact 1 5 3 4 0 6 2
eeyptac 1 5 3 4 2 0 6
eeyptca 1 5 3 4 2 6 0
eeypcat 1 5 3 4 6 0 2
eeypcta 1 5 3 4 6 2 0
eeycatp 1 5 3 6 0 2 4
eeycapt 1 5 3 6 0 4 2
eeyctap 1 5 3 6 2 0 4
eeyctpa 1 5 3 6 2 4 0
eeycpat 1 5 3 6 4 0 2
eeycpta 1 5 3 6 4 2 0
eepatyc 1 5 4 0 2 3 6
eepatcy 1 5 4 0 2 6 3
eepaytc 1 5 4 0 3 2 6
eepayct 1 5 4 0 3 6 2
eepacty 1 5 4 0 6 2 3
eepacyt 1 5 4 0 6 3 2
eeptayc 1 5 4 2 0 3 6
eeptacy 1 5 4 2 0 6 3
eeptyac 1 5 4 2 3 0 6
eeptyca 1 5 4 2 3 6 0
eeptcay 1 5 4 2 6 0 3
eeptcya 1 5 4 2 6 3 0
eepyatc 1 5 4 3 0 2 6
eepyact 1 5 4 3 0 6 2
eepytac 1 5 4 3 2 0 6
eepytca 1 5 4 3 2 6 0
eepycat 1 5 4 3 6 0 2
eepycta 1 5 4 3 6 2 0
eepcaty 1 5 4 6 0 2 3
eepcayt 1 5 4 6 0 3 2
eepctay 1 5 4 6 2 0 3
eepctya 1 5 4 6 2 3 0
eepcyat 1 5 4 6 3 0 2
eepcyta 1 5 4 6 3 2 0
eecatyp 1 5 6 0 2 3 4
eecatpy 1 5 6 0 2 4 3
eecaytp 1 5 6 0 3 2 4
eecaypt 1 5 6 0 3 4 2
eecapty 1 5 6 0 4 2 3
eecapyt 1 5 6 0 4 3 2
eectayp 1 5 6 2 0 3 4
eectapy 1 5 6 2 0 4 3
eectyap 1 5 6 2 3 0 4
eectypa 1 5 6 2 3 4 0
eectpay 1 5 6 2 4 0 3
eectpya 1 5 6 2 4 3 0
eecyatp 1 5 6 3 0 2 4
eecyapt 1 5 6 3 0 4 2
eecytap 1 5 6 3 2 0 4
eecytpa 1 5 6 3 2 4 0
eecypat 1 5 6 3 4 0 2
eecypta 1 5 6 3 4 2 0
eecpaty 1 5 6 4 0 2 3
eecpayt 1 5 6 4 0 3 2
eecptay 1 5 6 4 2 0 3
eecptya 1 5 6 4 2 3 0
eecpyat 1 5 6 4 3 0 2
eecpyta 1 5 6 4 3 2 0
ecatype 1 6 0 2 3 4 5
ecatyep 1 6 0 2 3 5 4
ecatpye 1 6 0 2 4 3 5
ecatpey 1 6 0 2 4 5 3
ecateyp 1 6 0 2 5 3 4
ecatepy 1 6 0 2 5 4 3
ecaytpe 1 6 0 3 2 4 5
ecaytep 1 6 0 3 2 5 4
ecaypte 1 6 0 3 4 2 5
ecaypet 1 6 0 3 4 5 2
ecayetp 1 6 0 3 5 2 4
ecayept 1 6 0 3 5 4 2
ecaptye 1 6 0 4 2 3 5
ecaptey 1 6 0 4 2 5 3
ecapyte 1 6 0 4 3 2 5
ecapyet 1 6 0 4 3 5 2
ecapety 1 6 0 4 5 2 3
ecapeyt 1 6 0 4 5 3 2
ecaetyp 1 6 0 5 2 3 4
ecaetpy 1 6 0 5 2 4 3
ecaeytp 1 6 0 5 3 2 4
ecaeypt 1 6 0 5 3 4 2
ecaepty 1 6 0 5 4 2 3
ecaepyt 1 6 0 5 4 3 2
ectaype 1 6 2 0 3 4 5
ectayep 1 6 2 0 3 5 4
ectapye 1 6 2 0 4 3 5
ectapey 1 6 2 0 4 5 3
ectaeyp 1 6 2 0 5 3 4
ectaepy 1 6 2 0 5 4 3
ectyape 1 6 2 3 0 4 5
ectyaep 1 6 2 3 0 5 4
ectypae 1 6 2 3 4 0 5
ectypea 1 6 2 3 4 5 0
ectyeap 1 6 2 3 5 0 4
ectyepa 1 6 2 3 5 4 0
ectpaye 1 6 2 4 0 3 5
ectpaey 1 6 2 4 0 5 3
ectpyae 1 6 2 4 3 0 5
ectpyea 1 6 2 4 3 5 0
ectpeay 1 6 2 4 5 0 3
ectpeya 1 6 2 4 5 3 0
ecteayp 1 6 2 5 0 3 4
ecteapy 1 6 2 5 0 4 3
ecteyap 1 6 2 5 3 0 4
ecteypa 1 6 2 5 3 4 0
ectepay 1 6 2 5 4 0 3
ectepya 1 6 2 5 4 3 0
ecyatpe 1 6 3 0 2 4 5
ecyatep 1 6 3 0 2 5 4
ecyapte 1 6 3 0 4 2 5
ecyapet 1 6 3 0 4 5 2
ecyaetp 1 6 3 0 5 2 4
ecyaept 1 6 3 0 5 4 2
ecytape 1 6 3 2 0 4 5
ecytaep 1 6 3 2 0 5 4
ecytpae 1 6 3 2 4 0 5
ecytpea 1 6 3 2 4 5 0
ecyteap 1 6 3 2 5 0 4
ecytepa 1 6 3 2 5 4 0
ecypate 1 6 3 4 0 2 5
ecypaet 1 6 3 4 0 5 2
ecyptae 1 6 3 4 2 0 5
ecyptea 1 6 3 4 2 5 0
ecypeat 1 6 3 4 5 0 2
ecypeta 1 6 3 4 5 2 0
ecyeatp 1 6 3 5 0 2 4
ecyeapt 1 6 3 5 0 4 2
ecyetap 1 6 3 5 2 0 4
ecyetpa 1 6 3 5 2 4 0
ecyepat 1 6 3 5 4 0 2
ecyepta 1 6 3 5 4 2 0
ecpatye 1 6 4 0 2 3 5
ecpatey 1 6 4 0 2 5 3
ecpayte 1 6 4 0 3 2 5
ecpayet 1 6 4 0 3 5 2
ecpaety 1 6 4 0 5 2 3
ecpaeyt 1 6 4 0 5 3 2
ecptaye 1 6 4 2 0 3 5
ecptaey 1 6 4 2 0 5 3
ecptyae 1 6 4 2 3 0 5
ecptyea 1 6 4 2 3 5 0
ecpteay 1 6 4 2 5 0 3
ecpteya 1 6 4 2 5 3 0
ecpyate 1 6 4 3 0 2 5
ecpyaet 1 6 4 3 0 5 2
ecpytae 1 6 4 3 2 0 5
ecpytea 1 6 4 3 2 5 0
ecpyeat 1 6 4 3 5 0 2
ecpyeta 1 6 4 3 5 2 0
ecpeaty 1 6 4 5 0 2 3
ecpeayt 1 6 4 5 0 3 2
ecpetay 1 6 4 5 2 0 3
ecpetya 1 6 4 5 2 3 0
ecpeyat 1 6 4 5 3 0 2
ecpeyta 1 6 4 5 3 2 0
eceatyp 1 6 5 0 2 3 4
eceatpy 1 6 5 0 2 4 3
eceaytp 1 6 5 0 3 2 4
eceaypt 1 6 5 0 3 4 2
eceapty 1 6 5 0 4 2 3
eceapyt 1 6 5 0 4 3 2
ecetayp 1 6 5 2 0 3 4
ecetapy 1 6 5 2 0 4 3
