Shift: 2
cgvarge 0 1 2 3 4 5 6
cegagvr 0 6 5 3 1 2 4
cegagrv 0 6 5 3 1 4 2
cegavgr 0 6 5 3 2 1 4
cegavrg 0 6 5 3 2 4 1
cegargv 0 6 5 3 4 1 2
cegarvg 0 6 5 3 4 2 1
cegrgva 0 6 5 4 1 2 3
cegrgav 0 6 5 4 1 3 2
cegrvga 0 6 5 4 2 1 3
cegrvag 0 6 5 4 2 3 1
cegragv 0 6 5 4 3 1 2
cegravg 0 6 5 4 3 2 1
gcvarge 1 0 2 3 4 5 6
gcvareg 1 0 2 3 4 6 5
gcvagre 1 0 2 3 5 4 6
gcvager 1 0 2 3 5 6 4
gcvaerg 1 0 2 3 6 4 5
gcvaegr 1 0 2 3 6 5 4
gcvrage 1 0 2 4 3 5 6
gcvraeg 1 0 2 4 3 6 5
gcvrgae 1 0 2 4 5 3 6
gcvrgea 1 0 2 4 5 6 3
gcvreag 1 0 2 4 6 3 5
gcvrega 1 0 2 4 6 5 3
gcvgare 1 0 2 5 3 4 6
gcvgaer 1 0 2 5 3 6 4
gcvgrae 1 0 2 5 4 3 6
gcvgrea 1 0 2 5 4 6 3
gcvgear 1 0 2 5 6 3 4
gcvgera 1 0 2 5 6 4 3
gcvearg 1 0 2 6 3 4 5
gcveagr 1 0 2 6 3 5 4
gcverag 1 0 2 6 4 3 5
gcverga 1 0 2 6 4 5 3
gcvegar 1 0 2 6 5 3 4
gcvegra 1 0 2 6 5 4 3
gcavrge 1 0 3 2 4 5 6
gcavreg 1 0 3 2 4 6 5
gcavgre 1 0 3 2 5 4 6
gcavger 1 0 3 2 5 6 4
gcaverg 1 0 3 2 6 4 5
gcavegr 1 0 3 2 6 5 4
gcarvge 1 0 3 4 2 5 6
gcarveg 1 0 3 4 2 6 5
gcargve 1 0 3 4 5 2 6
gcargev 1 0 3 4 5 6 2
gcarevg 1 0 3 4 6 2 5
gcaregv 1 0 3 4 6 5 2
gcagvre 1 0 3 5 2 4 6
gcagver 1 0 3 5 2 6 4
gcagrve 1 0 3 5 4 2 6
gcagrev 1 0 3 5 4 6 2
gcagevr 1 0 3 5 6 2 4
gcagerv 1 0 3 5 6 4 2
gcaevrg 1 0 3 6 2 4 5
gcaevgr 1 0 3 6 2 5 4
gcaervg 1 0 3 6 4 2 5
gcaergv 1 0 3 6 4 5 2
gcaegvr 1 0 3 6 5 2 4
gcaegrv 1 0 3 6 5 4 2
gcrvage 1 0 4 2 3 5 6
gcrvaeg 1 0 4 2 3 6 5
gcrvgae 1 0 4 2 5 3 6
gcrvgea 1 0 4 2 5 6 3
gcrveag 1 0 4 2 6 3 5
gcrvega 1 0 4 2 6 5 3
gcravge 1 0 4 3 2 5 6
gcraveg 1 0 4 3 2 6 5
gcragve 1 0 4 3 5 2 6
gcragev 1 0 4 3 5 6 2
gcraevg 1 0 4 3 6 2 5
gcraegv 1 0 4 3 6 5 2
gcrgvae 1 0 4 5 2 3 6
gcrgvea 1 0 4 5 2 6 3
gcrgave 1 0 4 5 3 2 6
gcrgaev 1 0 4 5 3 6 2
gcrgeva 1 0 4 5 6 2 3
gcrgeav 1 0 4 5 6 3 2
gcrevag 1 0 4 6 2 3 5
gcrevga 1 0 4 6 2 5 3
gcreavg 1 0 4 6 3 2 5
gcreagv 1 0 4 6 3 5 2
gcregva 1 0 4 6 5 2 3
gcregav 1 0 4 6 5 3 2
gcgvare 1 0 5 2 3 4 6
gcgvaer 1 0 5 2 3 6 4
gcgvrae 1 0 5 2 4 3 6
gcgvrea 1 0 5 2 4 6 3
gcgvear 1 0 5 2 6 3 4
gcgvera 1 0 5 2 6 4 3
gcgavre 1 0 5 3 2 4 6
gcgaver 1 0 5 3 2 6 4
gcgarve 1 0 5 3 4 2 6
gcgarev 1 0 5 3 4 6 2
gcgaevr 1 0 5 3 6 2 4
gcgaerv 1 0 5 3 6 4 2
gcgrvae 1 0 5 4 2 3 6
gcgrvea 1 0 5 4 2 6 3
gcgrave 1 0 5 4 3 2 6
gcgraev 1 0 5 4 3 6 2
gcgreva 1 0 5 4 6 2 3
gcgreav 1 0 5 4 6 3 2
gcgevar 1 0 5 6 2 3 4
gcgevra 1 0 5 6 2 4 3
gcgeavr 1 0 5 6 3 2 4
gcgearv 1 0 5 6 3 4 2
gcgerva 1 0 5 6 4 2 3
gcgerav 1 0 5 6 4 3 2
gcevarg 1 0 6 2 3 4 5
gcevagr 1 0 6 2 3 5 4
gcevrag 1 0 6 2 4 3 5
gcevrga 1 0 6 2 4 5 3
gcevgar 1 0 6 2 5 3 4
gcevgra 1 0 6 2 5 4 3
gceavrg 1 0 6 3 2 4 5
gceavgr 1 0 6 3 2 5 4
gcearvg 1 0 6 3 4 2 5
gceargv 1 0 6 3 4 5 2
gceagvr 1 0 6 3 5 2 4
gceagrv 1 0 6 3 5 4 2
gcervag 1 0 6 4 2 3 5
gcervga 1 0 6 4 2 5 3
gceravg 1 0 6 4 3 2 5
gceragv 1 0 6 4 3 5 2
gcergva 1 0 6 4 5 2 3
gcergav 1 0 6 4 5 3 2
gcegvar 1 0 6 5 2 3 4
gcegvra 1 0 6 5 2 4 3
gcegavr 1 0 6 5 3 2 4
gcegarv 1 0 6 5 3 4 2
gcegrva 1 0 6 5 4 2 3
gcegrav 1 0 6 5 4 3 2
gvcarge 1 2 0 3 4 5 6
gvcareg 1 2 0 3 4 6 5
gvcagre 1 2 0 3 5 4 6
gvcager 1 2 0 3 5 6 4
gvcaerg 1 2 0 3 6 4 5
gvcaegr 1 2 0 3 6 5 4
gvcrage 1 2 0 4 3 5 6
gvcraeg 1 2 0 4 3 6 5
gvcrgae 1 2 0 4 5 3 6
gvcrgea 1 2 0 4 5 6 3
gvcreag 1 2 0 4 6 3 5
gvcrega 1 2 0 4 6 5 3
gvcgare 1 2 0 5 3 4 6
gvcgaer 1 2 0 5 3 6 4
gvcgrae 1 2 0 5 4 3 6
gvcgrea 1 2 0 5 4 6 3
gvcgear 1 2 0 5 6 3 4
gvcgera 1 2 0 5 6 4 3
gvcearg 1 2 0 6 3 4 5
gvceagr 1 2 0 6 3 5 4
gvcerag 1 2 0 6 4 3 5
gvcerga 1 2 0 6 4 5 3
gvcegar 1 2 0 6 5 3 4
gvcegra 1 2 0 6 5 4 3
gvacrge 1 2 3 0 4 5 6
gvacreg 1 2 3 0 4 6 5
gvacgre 1 2 3 0 5 4 6
gvacger 1 2 3 0 5 6 4
gvacerg 1 2 3 0 6 4 5
gvacegr 1 2 3 0 6 5 4
gvarcge 1 2 3 4 0 5 6
gvarceg 1 2 3 4 0 6 5
gvargce 1 2 3 4 5 0 6
gvargec 1 2 3 4 5 6 0
gvarecg 1 2 3 4 6 0 5
gvaregc 1 2 3 4 6 5 0
gvagcre 1 2 3 5 0 4 6
gvagcer 1 2 3 5 0 6 4
gvagrce 1 2 3 5 4 0 6
gvagrec 1 2 3 5 4 6 0
gvagecr 1 2 3 5 6 0 4
gvagerc 1 2 3 5 6 4 0
gvaecrg 1 2 3 6 0 4 5
gvaecgr 1 2 3 6 0 5 4
gvaercg 1 2 3 6 4 0 5
gvaergc 1 2 3 6 4 5 0
gvaegcr 1 2 3 6 5 0 4
gvaegrc 1 2 3 6 5 4 0
gvrcage 1 2 4 0 3 5 6
gvrcaeg 1 2 4 0 3 6 5
gvrcgae 1 2 4 0 5 3 6
gvrcgea 1 2 4 0 5 6 3
gvrceag 1 2 4 0 6 3 5
gvrcega 1 2 4 0 6 5 3
gvracge 1 2 4 3 0 5 6
gvraceg 1 2 4 3 0 6 5
gvragce 1 2 4 3 5 0 6
gvragec 1 2 4 3 5 6 0
gvraecg 1 2 4 3 6 0 5
gvraegc 1 2 4 3 6 5 0
gvrgcae 1 2 4 5 0 3 6
gvrgcea 1 2 4 5 0 6 3
gvrgace 1 2 4 5 3 0 6
gvrgaec 1 2 4 5 3 6 0
gvrgeca 1 2 4 5 6 0 3
gvrgeac 1 2 4 5 6 3 0
gvrecag 1 2 4 6 0 3 5
gvrecga 1 2 4 6 0 5 3
gvreacg 1 2 4 6 3 0 5
gvreagc 1 2 4 6 3 5 0
gvregca 1 2 4 6 5 0 3
gvregac 1 2 4 6 5 3 0
gvgcare 1 2 5 0 3 4 6
gvgcaer 1 2 5 0 3 6 4
gvgcrae 1 2 5 0 4 3 6
gvgcrea 1 2 5 0 4 6 3
gvgcear 1 2 5 0 6 3 4
gvgcera 1 2 5 0 6 4 3
gvgacre 1 2 5 3 0 4 6
gvgacer 1 2 5 3 0 6 4
gvgarce 1 2 5 3 4 0 6
gvgarec 1 2 5 3 4 6 0
gvgaecr 1 2 5 3 6 0 4
gvgaerc 1 2 5 3 6 4 0
gvgrcae 1 2 5 4 0 3 6
gvgrcea 1 2 5 4 0 6 3
gvgrace 1 2 5 4 3 0 6
gvgraec 1 2 5 4 3 6 0
gvgreca 1 2 5 4 6 0 3
gvgreac 1 2 5 4 6 3 0
gvgecar 1 2 5 6 0 3 4
gvgecra 1 2 5 6 0 4 3
gvgeacr 1 2 5 6 3 0 4
gvgearc 1 2 5 6 3 4 0
gvgerca 1 2 5 6 4 0 3
gvgerac 1 2 5 6 4 3 0
gvecarg 1 2 6 0 3 4 5
gvecagr 1 2 6 0 3 5 4
gvecrag 1 2 6 0 4 3 5
gvecrga 1 2 6 0 4 5 3
gvecgar 1 2 6 0 5 3 4
gvecgra 1 2 6 0 5 4 3
gveacrg 1 2 6 3 0 4 5
gveacgr 1 2 6 3 0 5 4
gvearcg 1 2 6 3 4 0 5
gveargc 1 2 6 3 4 5 0
gveagcr 1 2 6 3 5 0 4
gveagrc 1 2 6 3 5 4 0
gvercag 1 2 6 4 0 3 5
gvercga 1 2 6 4 0 5 3
gveracg 1 2 6 4 3 0 5
gveragc 1 2 6 4 3 5 0
gvergca 1 2 6 4 5 0 3
gvergac 1 2 6 4 5 3 0
gvegcar 1 2 6 5 0 3 4
gvegcra 1 2 6 5 0 4 3
gvegacr 1 2 6 5 3 0 4
gvegarc 1 2 6 5 3 4 0
gvegrca 1 2 6 5 4 0 3
gvegrac 1 2 6 5 4 3 0
gacvrge 1 3 0 2 4 5 6
gacvreg 1 3 0 2 4 6 5
gacvgre 1 3 0 2 5 4 6
gacvger 1 3 0 2 5 6 4
gacverg 1 3 0 2 6 4 5
gacvegr 1 3 0 2 6 5 4
gacrvge 1 3 0 4 2 5 6
gacrveg 1 3 0 4 2 6 5
gacrgve 1 3 0 4 5 2 6
gacrgev 1 3 0 4 5 6 2
gacrevg 1 3 0 4 6 2 5
gacregv 1 3 0 4 6 5 2
gacgvre 1 3 0 5 2 4 6
gacgver 1 3 0 5 2 6 4
gacgrve 1 3 0 5 4 2 6
gacgrev 1 3 0 5 4 6 2
gacgevr 1 3 0 5 6 2 4
gacgerv 1 3 0 5 6 4 2
gacevrg 1 3 0 6 2 4 5
gacevgr 1 3 0 6 2 5 4
gacervg 1 3 0 6 4 2 5
gacergv 1 3 0 6 4 5 2
gacegvr 1 3 0 6 5 2 4
gacegrv 1 3 0 6 5 4 2
gavcrge 1 3 2 0 4 5 6
gavcreg 1 3 2 0 4 6 5
gavcgre 1 3 2 0 5 4 6
gavcger 1 3 2 0 5 6 4
gavcerg 1 3 2 0 6 4 5
gavcegr 1 3 2 0 6 5 4
gavrcge 1 3 2 4 0 5 6
gavrceg 1 3 2 4 0 6 5
gavrgce 1 3 2 4 5 0 6
gavrgec 1 3 2 4 5 6 0
gavrecg 1 3 2 4 6 0 5
gavregc 1 3 2 4 6 5 0
gavgcre 1 3 2 5 0 4 6
gavgcer 1 3 2 5 0 6 4
gavgrce 1 3 2 5 4 0 6
gavgrec 1 3 2 5 4 6 0
gavgecr 1 3 2 5 6 0 4
gavgerc 1 3 2 5 6 4 0
gavecrg 1 3 2 6 0 4 5
gavecgr 1 3 2 6 0 5 4
gavercg 1 3 2 6 4 0 5
gavergc 1 3 2 6 4 5 0
gavegcr 1 3 2 6 5 0 4
gavegrc 1 3 2 6 5 4 0
garcvge 1 3 4 0 2 5 6
garcveg 1 3 4 0 2 6 5
garcgve 1 3 4 0 5 2 6
garcgev 1 3 4 0 5 6 2
garcevg 1 3 4 0 6 2 5
garcegv 1 3 4 0 6 5 2
garvcge 1 3 4 2 0 5 6
garvceg 1 3 4 2 0 6 5
garvgce 1 3 4 2 5 0 6
garvgec 1 3 4 2 5 6 0
garvecg 1 3 4 2 6 0 5
garvegc 1 3 4 2 6 5 0
gargcve 1 3 4 5 0 2 6
gargcev 1 3 4 5 0 6 2
gargvce 1 3 4 5 2 0 6
gargvec 1 3 4 5 2 6 0
gargecv 1 3 4 5 6 0 2
gargevc 1 3 4 5 6 2 0
garecvg 1 3 4 6 0 2 5
garecgv 1 3 4 6 0 5 2
garevcg 1 3 4 6 2 0 5
garevgc 1 3 4 6 2 5 0
garegcv 1 3 4 6 5 0 2
garegvc 1 3 4 6 5 2 0
gagcvre 1 3 5 0 2 4 6
gagcver 1 3 5 0 2 6 4
gagcrve 1 3 5 0 4 2 6
gagcrev 1 3 5 0 4 6 2
gagcevr 1 3 5 0 6 2 4
gagcerv 1 3 5 0 6 4 2
gagvcre 1 3 5 2 0 4 6
gagvcer 1 3 5 2 0 6 4
gagvrce 1 3 5 2 4 0 6
gagvrec 1 3 5 2 4 6 0
gagvecr 1 3 5 2 6 0 4
gagverc 1 3 5 2 6 4 0
gagrcve 1 3 5 4 0 2 6
gagrcev 1 3 5 4 0 6 2
gagrvce 1 3 5 4 2 0 6
gagrvec 1 3 5 4 2 6 0
gagrecv 1 3 5 4 6 0 2
gagrevc 1 3 5 4 6 2 0
gagecvr 1 3 5 6 0 2 4
gagecrv 1 3 5 6 0 4 2
gagevcr 1 3 5 6 2 0 4
gagevrc 1 3 5 6 2 4 0
gagercv 1 3 5 6 4 0 2
gagervc 1 3 5 6 4 2 0
gaecvrg 1 3 6 0 2 4 5
gaecvgr 1 3 6 0 2 5 4
gaecrvg 1 3 6 0 4 2 5
gaecrgv 1 3 6 0 4 5 2
gaecgvr 1 3 6 0 5 2 4
gaecgrv 1 3 6 0 5 4 2
gaevcrg 1 3 6 2 0 4 5
gaevcgr 1 3 6 2 0 5 4
gaevrcg 1 3 6 2 4 0 5
gaevrgc 1 3 6 2 4 5 0
gaevgcr 1 3 6 2 5 0 4
gaevgrc 1 3 6 2 5 4 0
gaercvg 1 3 6 4 0 2 5
gaercgv 1 3 6 4 0 5 2
gaervcg 1 3 6 4 2 0 5
gaervgc 1 3 6 4 2 5 0
gaergcv 1 3 6 4 5 0 2
gaergvc 1 3 6 4 5 2 0
gaegcvr 1 3 6 5 0 2 4
gaegcrv 1 3 6 5 0 4 2
gaegvcr 1 3 6 5 2 0 4
gaegvrc 1 3 6 5 2 4 0
gaegrcv 1 3 6 5 4 0 2
gaegrvc 1 3 6 5 4 2 0
grcvage 1 4 0 2 3 5 6
grcvaeg 1 4 0 2 3 6 5
grcvgae 1 4 0 2 5 3 6
grcvgea 1 4 0 2 5 6 3
grcveag 1 4 0 2 6 3 5
grcvega 1 4 0 2 6 5 3
grcavge 1 4 0 3 2 5 6
grcaveg 1 4 0 3 2 6 5
grcagve 1 4 0 3 5 2 6
grcagev 1 4 0 3 5 6 2
grcaevg 1 4 0 3 6 2 5
grcaegv 1 4 0 3 6 5 2
grcgvae 1 4 0 5 2 3 6
grcgvea 1 4 0 5 2 6 3
grcgave 1 4 0 5 3 2 6
grcgaev 1 4 0 5 3 6 2
grcgeva 1 4 0 5 6 2 3
grcgeav 1 4 0 5 6 3 2
grcevag 1 4 0 6 2 3 5
grcevga 1 4 0 6 2 5 3
grceavg 1 4 0 6 3 2 5
grceagv 1 4 0 6 3 5 2
grcegva 1 4 0 6 5 2 3
grcegav 1 4 0 6 5 3 2
grvcage 1 4 2 0 3 5 6
grvcaeg 1 4 2 0 3 6 5
grvcgae 1 4 2 0 5 3 6
grvcgea 1 4 2 0 5 6 3
grvceag 1 4 2 0 6 3 5
grvcega 1 4 2 0 6 5 3
grvacge 1 4 2 3 0 5 6
grvaceg 1 4 2 3 0 6 5
grvagce 1 4 2 3 5 0 6
grvagec 1 4 2 3 5 6 0
grvaecg 1 4 2 3 6 0 5
grvaegc 1 4 2 3 6 5 0
grvgcae 1 4 2 5 0 3 6
grvgcea 1 4 2 5 0 6 3
grvgace 1 4 2 5 3 0 6
grvgaec 1 4 2 5 3 6 0
grvgeca 1 4 2 5 6 0 3
grvgeac 1 4 2 5 6 3 0
grvecag 1 4 2 6 0 3 5
grvecga 1 4 2 6 0 5 3
grveacg 1 4 2 6 3 0 5
grveagc 1 4 2 6 3 5 0
grvegca 1 4 2 6 5 0 3
grvegac 1 4 2 6 5 3 0
gracvge 1 4 3 0 2 5 6
gracveg 1 4 3 0 2 6 5
gracgve 1 4 3 0 5 2 6
gracgev 1 4 3 0 5 6 2
gracevg 1 4 3 0 6 2 5
gracegv 1 4 3 0 6 5 2
gravcge 1 4 3 2 0 5 6
gravceg 1 4 3 2 0 6 5
gravgce 1 4 3 2 5 0 6
gravgec 1 4 3 2 5 6 0
gravecg 1 4 3 2 6 0 5
gravegc 1 4 3 2 6 5 0
gragcve 1 4 3 5 0 2 6
gragcev 1 4 3 5 0 6 2
gragvce 1 4 3 5 2 0 6
gragvec 1 4 3 5 2 6 0
gragecv 1 4 3 5 6 0 2
gragevc 1 4 3 5 6 2 0
graecvg 1 4 3 6 0 2 5
graecgv 1 4 3 6 0 5 2
graevcg 1 4 3 6 2 0 5
graevgc 1 4 3 6 2 5 0
graegcv 1 4 3 6 5 0 2
graegvc 1 4 3 6 5 2 0
grgcvae 1 4 5 0 2 3 6
grgcvea 1 4 5 0 2 6 3
grgcave 1 4 5 0 3 2 6
grgcaev 1 4 5 0 3 6 2
grgceva 1 4 5 0 6 2 3
grgceav 1 4 5 0 6 3 2
grgvcae 1 4 5 2 0 3 6
grgvcea 1 4 5 2 0 6 3
grgvace 1 4 5 2 3 0 6
grgvaec 1 4 5 2 3 6 0
grgveca 1 4 5 2 6 0 3
grgveac 1 4 5 2 6 3 0
grgacve 1 4 5 3 0 2 6
grgacev 1 4 5 3 0 6 2
grgavce 1 4 5 3 2 0 6
grgavec 1 4 5 3 2 6 0
grgaecv 1 4 5 3 6 0 2
grgaevc 1 4 5 3 6 2 0
grgecva 1 4 5 6 0 2 3
grgecav 1 4 5 6 0 3 2
grgevca 1 4 5 6 2 0 3
grgevac 1 4 5 6 2 3 0
grgeacv 1 4 5 6 3 0 2
grgeavc 1 4 5 6 3 2 0
grecvag 1 4 6 0 2 3 5
grecvga 1 4 6 0 2 5 3
grecavg 1 4 6 0 3 2 5
grecagv 1 4 6 0 3 5 2
grecgva 1 4 6 0 5 2 3
grecgav 1 4 6 0 5 3 2
grevcag 1 4 6 2 0 3 5
grevcga 1 4 6 2 0 5 3
grevacg 1 4 6 2 3 0 5
grevagc 1 4 6 2 3 5 0
grevgca 1 4 6 2 5 0 3
grevgac 1 4 6 2 5 3 0
greacvg 1 4 6 3 0 2 5
greacgv 1 4 6 3 0 5 2
greavcg 1 4 6 3 2 0 5
greavgc 1 4 6 3 2 5 0
greagcv 1 4 6 3 5 0 2
greagvc 1 4 6 3 5 2 0
gregcva 1 4 6 5 0 2 3
gregcav 1 4 6 5 0 3 2
gregvca 1 4 6 5 2 0 3
gregvac 1 4 6 5 2 3 0
gregacv 1 4 6 5 3 0 2
gregavc 1 4 6 5 3 2 0
ggcvare 1 5 0 2 3 4 6
ggcvaer 1 5 0 2 3 6 4
ggcvrae 1 5 0 2 4 3 6
ggcvrea 1 5 0 2 4 6 3
ggcvear 1 5 0 2 6 3 4
ggcvera 1 5 0 2 6 4 3
ggcavre 1 5 0 3 2 4 6
ggcaver 1 5 0 3 2 6 4
ggcarve 1 5 0 3 4 2 6
ggcarev 1 5 0 3 4 6 2
ggcaevr 1 5 0 3 6 2 4
ggcaerv 1 5 0 3 6 4 2
ggcrvae 1 5 0 4 2 3 6
ggcrvea 1 5 0 4 2 6 3
ggcrave 1 5 0 4 3 2 6
ggcraev 1 5 0 4 3 6 2
ggcreva 1 5 0 4 6 2 3
ggcreav 1 5 0 4 6 3 2
ggcevar 1 5 0 6 2 3 4
ggcevra 1 5 0 6 2 4 3
ggceavr 1 5 0 6 3 2 4
ggcearv 1 5 0 6 3 4 2
ggcerva 1 5 0 6 4 2 3
ggcerav 1 5 0 6 4 3 2
ggvcare 1 5 2 0 3 4 6
ggvcaer 1 5 2 0 3 6 4
ggvcrae 1 5 2 0 4 3 6
ggvcrea 1 5 2 0 4 6 3
ggvcear 1 5 2 0 6 3 4
ggvcera 1 5 2 0 6 4 3
ggvacre 1 5 2 3 0 4 6
ggvacer 1 5 2 3 0 6 4
ggvarce 1 5 2 3 4 0 6
ggvarec 1 5 2 3 4 6 0
ggvaecr 1 5 2 3 6 0 4
ggvaerc 1 5 2 3 6 4 0
ggvrcae 1 5 2 4 0 3 6
ggvrcea 1 5 2 4 0 6 3
ggvrace 1 5 2 4 3 0 6
ggvraec 1 5 2 4 3 6 0
ggvreca 1 5 2 4 6 0 3
ggvreac 1 5 2 4 6 3 0
ggvecar 1 5 2 6 0 3 4
ggvecra 1 5 2 6 0 4 3
ggveacr 1 5 2 6 3 0 4
ggvearc 1 5 2 6 3 4 0
ggverca 1 5 2 6 4 0 3
ggverac 1 5 2 6 4 3 0
ggacvre 1 5 3 0 2 4 6
ggacver 1 5 3 0 2 6 4
ggacrve 1 5 3 0 4 2 6
ggacrev 1 5 3 0 4 6 2
ggacevr 1 5 3 0 6 2 4
ggacerv 1 5 3 0 6 4 2
ggavcre 1 5 3 2 0 4 6
ggavcer 1 5 3 2 0 6 4
ggavrce 1 5 3 2 4 0 6
ggavrec 1 5 3 2 4 6 0
ggavecr 1 5 3 2 6 0 4
ggaverc 1 5 3 2 6 4 0
ggarcve 1 5 3 4 0 2 6
ggarcev 1 5 3 4 0 6 2
ggarvce 1 5 3 4 2 0 6
ggarvec 1 5 3 4 2 6 0
ggarecv 1 5 3 4 6 0 2
ggarevc 1 5 3 4 6 2 0
ggaecvr 1 5 3 6 0 2 4
ggaecrv 1 5 3 6 0 4 2
ggaevcr 1 5 3 6 2 0 4
ggaevrc 1 5 3 6 2 4 0
ggaercv 1 5 3 6 4 0 2
ggaervc 1 5 3 6 4 2 0
ggrcvae 1 5 4 0 2 3 6
ggrcvea 1 5 4 0 2 6 3
ggrcave 1 5 4 0 3 2 6
ggrcaev 1 5 4 0 3 6 2
ggrceva 1 5 4 0 6 2 3
ggrceav 1 5 4 0 6 3 2
ggrvcae 1 5 4 2 0 3 6
ggrvcea 1 5 4 2 0 6 3
ggrvace 1 5 4 2 3 0 6
ggrvaec 1 5 4 2 3 6 0
ggrveca 1 5 4 2 6 0 3
ggrveac 1 5 4 2 6 3 0
ggracve 1 5 4 3 0 2 6
ggracev 1 5 4 3 0 6 2
ggravce 1 5 4 3 2 0 6
ggravec 1 5 4 3 2 6 0
ggraecv 1 5 4 3 6 0 2
ggraevc 1 5 4 3 6 2 0
ggrecva 1 5 4 6 0 2 3
ggrecav 1 5 4 6 0 3 2
ggrevca 1 5 4 6 2 0 3
ggrevac 1 5 4 6 2 3 0
ggreacv 1 5 4 6 3 0 2
ggreavc 1 5 4 6 3 2 0
ggecvar 1 5 6 0 2 3 4
ggecvra 1 5 6 0 2 4 3
ggecavr 1 5 6 0 3 2 4
ggecarv 1 5 6 0 3 4 2
ggecrva 1 5 6 0 4 2 3
ggecrav 1 5 6 0 4 3 2
ggevcar 1 5 6 2 0 3 4
ggevcra 1 5 6 2 0 4 3
ggevacr 1 5 6 2 3 0 4
ggevarc 1 5 6 2 3 4 0
ggevrca 1 5 6 2 4 0 3
ggevrac 1 5 6 2 4 3 0
ggeacvr 1 5 6 3 0 2 4
ggeacrv 1 5 6 3 0 4 2
ggeavcr 1 5 6 3 2 0 4
ggeavrc 1 5 6 3 2 4 0
ggearcv 1 5 6 3 4 0 2
ggearvc 1 5 6 3 4 2 0
ggercva 1 5 6 4 0 2 3
ggercav 1 5 6 4 0 3 2
ggervca 1 5 6 4 2 0 3
ggervac 1 5 6 4 2 3 0
ggeracv 1 5 6 4 3 0 2
ggeravc 1 5 6 4 3 2 0
gecvarg 1 6 0 2 3 4 5
gecvagr 1 6 0 2 3 5 4
gecvrag 1 6 0 2 4 3 5
gecvrga 1 6 0 2 4 5 3
gecvgar 1 6 0 2 5 3 4
gecvgra 1 6 0 2 5 4 3
gecavrg 1 6 0 3 2 4 5
gecavgr 1 6 0 3 2 5 4
gecarvg 1 6 0 3 4 2 5
gecargv 1 6 0 3 4 5 2
gecagvr 1 6 0 3 5 2 4
gecagrv 1 6 0 3 5 4 2
gecrvag 1 6 0 4 2 3 5
gecrvga 1 6 0 4 2 5 3
gecravg 1 6 0 4 3 2 5
gecragv 1 6 0 4 3 5 2
gecrgva 1 6 0 4 5 2 3
gecrgav 1 6 0 4 5 3 2
gecgvar 1 6 0 5 2 3 4
gecgvra 1 6 0 5 2 4 3
gecgavr 1 6 0 5 3 2 4
gecgarv 1 6 0 5 3 4 2
gecgrva 1 6 0 5 4 2 3
gecgrav 1 6 0 5 4 3 2
gevcarg 1 6 2 0 3 4 5
gevcagr 1 6 2 0 3 5 4
gevcrag 1 6 2 0 4 3 5
gevcrga 1 6 2 0 4 5 3
gevcgar 1 6 2 0 5 3 4
gevcgra 1 6 2 0 5 4 3
gevacrg 1 6 2 3 0 4 5
gevacgr 1 6 2 3 0 5 4
gevarcg 1 6 2 3 4 0 5
gevargc 1 6 2 3 4 5 0
gevagcr 1 6 2 3 5 0 4
gevagrc 1 6 2 3 5 4 0
gevrcag 1 6 2 4 0 3 5
gevrcga 1 6 2 4 0 5 3
gevracg 1 6 2 4 3 0 5
gevragc 1 6 2 4 3 5 0
gevrgca 1 6 2 4 5 0 3
gevrgac 1 6 2 4 5 3 0
gevgcar 1 6 2 5 0 3 4
gevgcra 1 6 2 5 0 4 3
gevgacr 1 6 2 5 3 0 4
gevgarc 1 6 2 5 3 4 0
gevgrca 1 6 2 5 4 0 3
gevgrac 1 6 2 5 4 3 0
geacvrg 1 6 3 0 2 4 5
geacvgr 1 6 3 0 2 5 4
geacrvg 1 6 3 0 4 2 5
geacrgv 1 6 3 0 4 5 2
geacgvr 1 6 3 0 5 2 4
geacgrv 1 6 3 0 5 4 2
geavcrg 1 6 3 2 0 4 5
geavcgr 1 6 3 2 0 5 4
geavrcg 1 6 3 2 4 0 5
geavrgc 1 6 3 2 4 5 0
geavgcr 1 6 3 2 5 0 4
geavgrc 1 6 3 2 5 4 0
gearcvg 1 6 3 4 0 2 5
gearcgv 1 6 3 4 0 5 2
gearvcg 1 6 3 4 2 0 5
gearvgc 1 6 3 4 2 5 0
geargcv 1 6 3 4 5 0 2
geargvc 1 6 3 4 5 2 0
geagcvr 1 6 3 5 0 2 4
geagcrv 1 6 3 5 0 4 2
geagvcr 1 6 3 5 2 0 4
geagvrc 1 6 3 5 2 4 0
geagrcv 1 6 3 5 4 0 2
geagrvc 1 6 3 5 4 2 0
gercvag 1 6 4 0 2 3 5
gercvga 1 6 4 0 2 5 3
gercavg 1 6 4 0 3 2 5
gercagv 1 6 4 0 3 5 2
gercgva 1 6 4 0 5 2 3
gercgav 1 6 4 0 5 3 2
gervcag 1 6 4 2 0 3 5
gervcga 1 6 4 2 0 5 3
gervacg 1 6 4 2 3 0 5
gervagc 1 6 4 2 3 5 0
gervgca 1 6 4 2 5 0 3
gervgac 1 6 4 2 5 3 0
geracvg 1 6 4 3 0 2 5
geracgv 1 6 4 3 0 5 2
geravcg 1 6 4 3 2 0 5
geravgc 1 6 4 3 2 5 0
geragcv 1 6 4 3 5 0 2
geragvc 1 6 4 3 5 2 0
gergcva 1 6 4 5 0 2 3
