Shift: 11
lpejapn 0 1 2 3 4 5 6
lnapejp 0 6 4 5 2 3 1
lnapjpe 0 6 4 5 3 1 2
lnapjep 0 6 4 5 3 2 1
lnppeja 0 6 5 1 2 3 4
lnppeaj 0 6 5 1 2 4 3
lnppjea 0 6 5 1 3 2 4
lnppjae 0 6 5 1 3 4 2
lnppaej 0 6 5 1 4 2 3
lnppaje 0 6 5 1 4 3 2
lnpepja 0 6 5 2 1 3 4
lnpepaj 0 6 5 2 1 4 3
lnpejpa 0 6 5 2 3 1 4
lnpejap 0 6 5 2 3 4 1
lnpeapj 0 6 5 2 4 1 3
lnpeajp 0 6 5 2 4 3 1
lnpjpea 0 6 5 3 1 2 4
lnpjpae 0 6 5 3 1 4 2
lnpjepa 0 6 5 3 2 1 4
lnpjeap 0 6 5 3 2 4 1
lnpjape 0 6 5 3 4 1 2
lnpjaep 0 6 5 3 4 2 1
lnpapej 0 6 5 4 1 2 3
lnpapje 0 6 5 4 1 3 2
lnpaepj 0 6 5 4 2 1 3
lnpaejp 0 6 5 4 2 3 1
lnpajpe 0 6 5 4 3 1 2
lnpajep 0 6 5 4 3 2 1
plejapn 1 0 2 3 4 5 6
plejanp 1 0 2 3 4 6 5
plejpan 1 0 2 3 5 4 6
plejpna 1 0 2 3 5 6 4
plejnap 1 0 2 3 6 4 5
plejnpa 1 0 2 3 6 5 4
pleajpn 1 0 2 4 3 5 6
pleajnp 1 0 2 4 3 6 5
pleapjn 1 0 2 4 5 3 6
pleapnj 1 0 2 4 5 6 3
pleanjp 1 0 2 4 6 3 5
pleanpj 1 0 2 4 6 5 3
plepjan 1 0 2 5 3 4 6
plepjna 1 0 2 5 3 6 4
plepajn 1 0 2 5 4 3 6
plepanj 1 0 2 5 4 6 3
plepnja 1 0 2 5 6 3 4
plepnaj 1 0 2 5 6 4 3
plenjap 1 0 2 6 3 4 5
plenjpa 1 0 2 6 3 5 4
plenajp 1 0 2 6 4 3 5
plenapj 1 0 2 6 4 5 3
plenpja 1 0 2 6 5 3 4
plenpaj 1 0 2 6 5 4 3
pljeapn 1 0 3 2 4 5 6
pljeanp 1 0 3 2 4 6 5
pljepan 1 0 3 2 5 4 6
pljepna 1 0 3 2 5 6 4
pljenap 1 0 3 2 6 4 5
pljenpa 1 0 3 2 6 5 4
pljaepn 1 0 3 4 2 5 6
pljaenp 1 0 3 4 2 6 5
pljapen 1 0 3 4 5 2 6
pljapne 1 0 3 4 5 6 2
pljanep 1 0 3 4 6 2 5
pljanpe 1 0 3 4 6 5 2
pljpean 1 0 3 5 2 4 6
pljpena 1 0 3 5 2 6 4
pljpaen 1 0 3 5 4 2 6
pljpane 1 0 3 5 4 6 2
pljpnea 1 0 3 5 6 2 4
pljpnae 1 0 3 5 6 4 2
pljneap 1 0 3 6 2 4 5
pljnepa 1 0 3 6 2 5 4
pljnaep 1 0 3 6 4 2 5
pljnape 1 0 3 6 4 5 2
pljnpea 1 0 3 6 5 2 4
pljnpae 1 0 3 6 5 4 2
plaejpn 1 0 4 2 3 5 6
plaejnp 1 0 4 2 3 6 5
plaepjn 1 0 4 2 5 3 6
plaepnj 1 0 4 2 5 6 3
plaenjp 1 0 4 2 6 3 5
plaenpj 1 0 4 2 6 5 3
plajepn 1 0 4 3 2 5 6
plajenp 1 0 4 3 2 6 5
plajpen 1 0 4 3 5 2 6
plajpne 1 0 4 3 5 6 2
plajnep 1 0 4 3 6 2 5
plajnpe 1 0 4 3 6 5 2
plapejn 1 0 4 5 2 3 6
plapenj 1 0 4 5 2 6 3
plapjen 1 0 4 5 3 2 6
plapjne 1 0 4 5 3 6 2
plapnej 1 0 4 5 6 2 3
plapnje 1 0 4 5 6 3 2
planejp 1 0 4 6 2 3 5
planepj 1 0 4 6 2 5 3
planjep 1 0 4 6 3 2 5
planjpe 1 0 4 6 3 5 2
planpej 1 0 4 6 5 2 3
planpje 1 0 4 6 5 3 2
plpejan 1 0 5 2 3 4 6
plpejna 1 0 5 2 3 6 4
plpeajn 1 0 5 2 4 3 6
plpeanj 1 0 5 2 4 6 3
plpenja 1 0 5 2 6 3 4
plpenaj 1 0 5 2 6 4 3
plpjean 1 0 5 3 2 4 6
plpjena 1 0 5 3 2 6 4
plpjaen 1 0 5 3 4 2 6
plpjane 1 0 5 3 4 6 2
plpjnea 1 0 5 3 6 2 4
plpjnae 1 0 5 3 6 4 2
plpaejn 1 0 5 4 2 3 6
plpaenj 1 0 5 4 2 6 3
plpajen 1 0 5 4 3 2 6
plpajne 1 0 5 4 3 6 2
plpanej 1 0 5 4 6 2 3
plpanje 1 0 5 4 6 3 2
plpneja 1 0 5 6 2 3 4
plpneaj 1 0 5 6 2 4 3
plpnjea 1 0 5 6 3 2 4
plpnjae 1 0 5 6 3 4 2
plpnaej 1 0 5 6 4 2 3
plpnaje 1 0 5 6 4 3 2
plnejap 1 0 6 2 3 4 5
plnejpa 1 0 6 2 3 5 4
plneajp 1 0 6 2 4 3 5
plneapj 1 0 6 2 4 5 3
plnepja 1 0 6 2 5 3 4
plnepaj 1 0 6 2 5 4 3
plnjeap 1 0 6 3 2 4 5
plnjepa 1 0 6 3 2 5 4
plnjaep 1 0 6 3 4 2 5
plnjape 1 0 6 3 4 5 2
plnjpea 1 0 6 3 5 2 4
plnjpae 1 0 6 3 5 4 2
plnaejp 1 0 6 4 2 3 5
plnaepj 1 0 6 4 2 5 3
plnajep 1 0 6 4 3 2 5
plnajpe 1 0 6 4 3 5 2
plnapej 1 0 6 4 5 2 3
plnapje 1 0 6 4 5 3 2
plnpeja 1 0 6 5 2 3 4
plnpeaj 1 0 6 5 2 4 3
plnpjea 1 0 6 5 3 2 4
plnpjae 1 0 6 5 3 4 2
plnpaej 1 0 6 5 4 2 3
plnpaje 1 0 6 5 4 3 2
peljapn 1 2 0 3 4 5 6
peljanp 1 2 0 3 4 6 5
peljpan 1 2 0 3 5 4 6
peljpna 1 2 0 3 5 6 4
peljnap 1 2 0 3 6 4 5
peljnpa 1 2 0 3 6 5 4
pelajpn 1 2 0 4 3 5 6
pelajnp 1 2 0 4 3 6 5
pelapjn 1 2 0 4 5 3 6
pelapnj 1 2 0 4 5 6 3
pelanjp 1 2 0 4 6 3 5
pelanpj 1 2 0 4 6 5 3
pelpjan 1 2 0 5 3 4 6
pelpjna 1 2 0 5 3 6 4
pelpajn 1 2 0 5 4 3 6
pelpanj 1 2 0 5 4 6 3
pelpnja 1 2 0 5 6 3 4
pelpnaj 1 2 0 5 6 4 3
pelnjap 1 2 0 6 3 4 5
pelnjpa 1 2 0 6 3 5 4
pelnajp 1 2 0 6 4 3 5
pelnapj 1 2 0 6 4 5 3
pelnpja 1 2 0 6 5 3 4
pelnpaj 1 2 0 6 5 4 3
pejlapn 1 2 3 0 4 5 6
pejlanp 1 2 3 0 4 6 5
pejlpan 1 2 3 0 5 4 6
pejlpna 1 2 3 0 5 6 4
pejlnap 1 2 3 0 6 4 5
pejlnpa 1 2 3 0 6 5 4
pejalpn 1 2 3 4 0 5 6
pejalnp 1 2 3 4 0 6 5
pejapln 1 2 3 4 5 0 6
pejapnl 1 2 3 4 5 6 0
pejanlp 1 2 3 4 6 0 5
pejanpl 1 2 3 4 6 5 0
pejplan 1 2 3 5 0 4 6
pejplna 1 2 3 5 0 6 4
pejpaln 1 2 3 5 4 0 6
pejpanl 1 2 3 5 4 6 0
pejpnla 1 2 3 5 6 0 4
pejpnal 1 2 3 5 6 4 0
pejnlap 1 2 3 6 0 4 5
pejnlpa 1 2 3 6 0 5 4
pejnalp 1 2 3 6 4 0 5
pejnapl 1 2 3 6 4 5 0
pejnpla 1 2 3 6 5 0 4
pejnpal 1 2 3 6 5 4 0
pealjpn 1 2 4 0 3 5 6
pealjnp 1 2 4 0 3 6 5
pealpjn 1 2 4 0 5 3 6
pealpnj 1 2 4 0 5 6 3
pealnjp 1 2 4 0 6 3 5
pealnpj 1 2 4 0 6 5 3
peajlpn 1 2 4 3 0 5 6
peajlnp 1 2 4 3 0 6 5
peajpln 1 2 4 3 5 0 6
peajpnl 1 2 4 3 5 6 0
peajnlp 1 2 4 3 6 0 5
peajnpl 1 2 4 3 6 5 0
peapljn 1 2 4 5 0 3 6
peaplnj 1 2 4 5 0 6 3
peapjln 1 2 4 5 3 0 6
peapjnl 1 2 4 5 3 6 0
peapnlj 1 2 4 5 6 0 3
peapnjl 1 2 4 5 6 3 0
peanljp 1 2 4 6 0 3 5
peanlpj 1 2 4 6 0 5 3
peanjlp 1 2 4 6 3 0 5
peanjpl 1 2 4 6 3 5 0
peanplj 1 2 4 6 5 0 3
peanpjl 1 2 4 6 5 3 0
pepljan 1 2 5 0 3 4 6
pepljna 1 2 5 0 3 6 4
peplajn 1 2 5 0 4 3 6
peplanj 1 2 5 0 4 6 3
peplnja 1 2 5 0 6 3 4
peplnaj 1 2 5 0 6 4 3
pepjlan 1 2 5 3 0 4 6
pepjlna 1 2 5 3 0 6 4
pepjaln 1 2 5 3 4 0 6
pepjanl 1 2 5 3 4 6 0
pepjnla 1 2 5 3 6 0 4
pepjnal 1 2 5 3 6 4 0
pepaljn 1 2 5 4 0 3 6
pepalnj 1 2 5 4 0 6 3
pepajln 1 2 5 4 3 0 6
pepajnl 1 2 5 4 3 6 0
pepanlj 1 2 5 4 6 0 3
pepanjl 1 2 5 4 6 3 0
pepnlja 1 2 5 6 0 3 4
pepnlaj 1 2 5 6 0 4 3
pepnjla 1 2 5 6 3 0 4
pepnjal 1 2 5 6 3 4 0
pepnalj 1 2 5 6 4 0 3
pepnajl 1 2 5 6 4 3 0
penljap 1 2 6 0 3 4 5
penljpa 1 2 6 0 3 5 4
penlajp 1 2 6 0 4 3 5
penlapj 1 2 6 0 4 5 3
penlpja 1 2 6 0 5 3 4
penlpaj 1 2 6 0 5 4 3
penjlap 1 2 6 3 0 4 5
penjlpa 1 2 6 3 0 5 4
penjalp 1 2 6 3 4 0 5
penjapl 1 2 6 3 4 5 0
penjpla 1 2 6 3 5 0 4
penjpal 1 2 6 3 5 4 0
penaljp 1 2 6 4 0 3 5
penalpj 1 2 6 4 0 5 3
penajlp 1 2 6 4 3 0 5
penajpl 1 2 6 4 3 5 0
penaplj 1 2 6 4 5 0 3
penapjl 1 2 6 4 5 3 0
penplja 1 2 6 5 0 3 4
penplaj 1 2 6 5 0 4 3
penpjla 1 2 6 5 3 0 4
penpjal 1 2 6 5 3 4 0
penpalj 1 2 6 5 4 0 3
penpajl 1 2 6 5 4 3 0
pjleapn 1 3 0 2 4 5 6
pjleanp 1 3 0 2 4 6 5
pjlepan 1 3 0 2 5 4 6
pjlepna 1 3 0 2 5 6 4
pjlenap 1 3 0 2 6 4 5
pjlenpa 1 3 0 2 6 5 4
pjlaepn 1 3 0 4 2 5 6
pjlaenp 1 3 0 4 2 6 5
pjlapen 1 3 0 4 5 2 6
pjlapne 1 3 0 4 5 6 2
pjlanep 1 3 0 4 6 2 5
pjlanpe 1 3 0 4 6 5 2
pjlpean 1 3 0 5 2 4 6
pjlpena 1 3 0 5 2 6 4
pjlpaen 1 3 0 5 4 2 6
pjlpane 1 3 0 5 4 6 2
pjlpnea 1 3 0 5 6 2 4
pjlpnae 1 3 0 5 6 4 2
pjlneap 1 3 0 6 2 4 5
pjlnepa 1 3 0 6 2 5 4
pjlnaep 1 3 0 6 4 2 5
pjlnape 1 3 0 6 4 5 2
pjlnpea 1 3 0 6 5 2 4
pjlnpae 1 3 0 6 5 4 2
pjelapn 1 3 2 0 4 5 6
pjelanp 1 3 2 0 4 6 5
pjelpan 1 3 2 0 5 4 6
pjelpna 1 3 2 0 5 6 4
pjelnap 1 3 2 0 6 4 5
pjelnpa 1 3 2 0 6 5 4
pjealpn 1 3 2 4 0 5 6
pjealnp 1 3 2 4 0 6 5
pjeapln 1 3 2 4 5 0 6
pjeapnl 1 3 2 4 5 6 0
pjeanlp 1 3 2 4 6 0 5
pjeanpl 1 3 2 4 6 5 0
pjeplan 1 3 2 5 0 4 6
pjeplna 1 3 2 5 0 6 4
pjepaln 1 3 2 5 4 0 6
pjepanl 1 3 2 5 4 6 0
pjepnla 1 3 2 5 6 0 4
pjepnal 1 3 2 5 6 4 0
pjenlap 1 3 2 6 0 4 5
pjenlpa 1 3 2 6 0 5 4
pjenalp 1 3 2 6 4 0 5
pjenapl 1 3 2 6 4 5 0
pjenpla 1 3 2 6 5 0 4
pjenpal 1 3 2 6 5 4 0
pjalepn 1 3 4 0 2 5 6
pjalenp 1 3 4 0 2 6 5
pjalpen 1 3 4 0 5 2 6
pjalpne 1 3 4 0 5 6 2
pjalnep 1 3 4 0 6 2 5
pjalnpe 1 3 4 0 6 5 2
pjaelpn 1 3 4 2 0 5 6
pjaelnp 1 3 4 2 0 6 5
pjaepln 1 3 4 2 5 0 6
pjaepnl 1 3 4 2 5 6 0
pjaenlp 1 3 4 2 6 0 5
pjaenpl 1 3 4 2 6 5 0
pjaplen 1 3 4 5 0 2 6
pjaplne 1 3 4 5 0 6 2
pjapeln 1 3 4 5 2 0 6
pjapenl 1 3 4 5 2 6 0
pjapnle 1 3 4 5 6 0 2
pjapnel 1 3 4 5 6 2 0
pjanlep 1 3 4 6 0 2 5
pjanlpe 1 3 4 6 0 5 2
pjanelp 1 3 4 6 2 0 5
pjanepl 1 3 4 6 2 5 0
pjanple 1 3 4 6 5 0 2
pjanpel 1 3 4 6 5 2 0
pjplean 1 3 5 0 2 4 6
pjplena 1 3 5 0 2 6 4
pjplaen 1 3 5 0 4 2 6
pjplane 1 3 5 0 4 6 2
pjplnea 1 3 5 0 6 2 4
pjplnae 1 3 5 0 6 4 2
pjpelan 1 3 5 2 0 4 6
pjpelna 1 3 5 2 0 6 4
pjpealn 1 3 5 2 4 0 6
pjpeanl 1 3 5 2 4 6 0
pjpenla 1 3 5 2 6 0 4
pjpenal 1 3 5 2 6 4 0
pjpalen 1 3 5 4 0 2 6
pjpalne 1 3 5 4 0 6 2
pjpaeln 1 3 5 4 2 0 6
pjpaenl 1 3 5 4 2 6 0
pjpanle 1 3 5 4 6 0 2
pjpanel 1 3 5 4 6 2 0
pjpnlea 1 3 5 6 0 2 4
pjpnlae 1 3 5 6 0 4 2
pjpnela 1 3 5 6 2 0 4
pjpneal 1 3 5 6 2 4 0
pjpnale 1 3 5 6 4 0 2
pjpnael 1 3 5 6 4 2 0
pjnleap 1 3 6 0 2 4 5
pjnlepa 1 3 6 0 2 5 4
pjnlaep 1 3 6 0 4 2 5
pjnlape 1 3 6 0 4 5 2
pjnlpea 1 3 6 0 5 2 4
pjnlpae 1 3 6 0 5 4 2
pjnelap 1 3 6 2 0 4 5
pjnelpa 1 3 6 2 0 5 4
pjnealp 1 3 6 2 4 0 5
pjneapl 1 3 6 2 4 5 0
pjnepla 1 3 6 2 5 0 4
pjnepal 1 3 6 2 5 4 0
pjnalep 1 3 6 4 0 2 5
pjnalpe 1 3 6 4 0 5 2
pjnaelp 1 3 6 4 2 0 5
pjnaepl 1 3 6 4 2 5 0
pjnaple 1 3 6 4 5 0 2
pjnapel 1 3 6 4 5 2 0
pjnplea 1 3 6 5 0 2 4
pjnplae 1 3 6 5 0 4 2
pjnpela 1 3 6 5 2 0 4
pjnpeal 1 3 6 5 2 4 0
pjnpale 1 3 6 5 4 0 2
pjnpael 1 3 6 5 4 2 0
palejpn 1 4 0 2 3 5 6
palejnp 1 4 0 2 3 6 5
palepjn 1 4 0 2 5 3 6
palepnj 1 4 0 2 5 6 3
palenjp 1 4 0 2 6 3 5
palenpj 1 4 0 2 6 5 3
paljepn 1 4 0 3 2 5 6
paljenp 1 4 0 3 2 6 5
paljpen 1 4 0 3 5 2 6
paljpne 1 4 0 3 5 6 2
paljnep 1 4 0 3 6 2 5
paljnpe 1 4 0 3 6 5 2
palpejn 1 4 0 5 2 3 6
palpenj 1 4 0 5 2 6 3
palpjen 1 4 0 5 3 2 6
palpjne 1 4 0 5 3 6 2
palpnej 1 4 0 5 6 2 3
palpnje 1 4 0 5 6 3 2
palnejp 1 4 0 6 2 3 5
palnepj 1 4 0 6 2 5 3
palnjep 1 4 0 6 3 2 5
palnjpe 1 4 0 6 3 5 2
palnpej 1 4 0 6 5 2 3
palnpje 1 4 0 6 5 3 2
paeljpn 1 4 2 0 3 5 6
paeljnp 1 4 2 0 3 6 5
paelpjn 1 4 2 0 5 3 6
paelpnj 1 4 2 0 5 6 3
paelnjp 1 4 2 0 6 3 5
paelnpj 1 4 2 0 6 5 3
paejlpn 1 4 2 3 0 5 6
paejlnp 1 4 2 3 0 6 5
paejpln 1 4 2 3 5 0 6
paejpnl 1 4 2 3 5 6 0
paejnlp 1 4 2 3 6 0 5
paejnpl 1 4 2 3 6 5 0
paepljn 1 4 2 5 0 3 6
paeplnj 1 4 2 5 0 6 3
paepjln 1 4 2 5 3 0 6
paepjnl 1 4 2 5 3 6 0
paepnlj 1 4 2 5 6 0 3
paepnjl 1 4 2 5 6 3 0
paenljp 1 4 2 6 0 3 5
paenlpj 1 4 2 6 0 5 3
paenjlp 1 4 2 6 3 0 5
paenjpl 1 4 2 6 3 5 0
paenplj 1 4 2 6 5 0 3
paenpjl 1 4 2 6 5 3 0
pajlepn 1 4 3 0 2 5 6
pajlenp 1 4 3 0 2 6 5
pajlpen 1 4 3 0 5 2 6
pajlpne 1 4 3 0 5 6 2
pajlnep 1 4 3 0 6 2 5
pajlnpe 1 4 3 0 6 5 2
pajelpn 1 4 3 2 0 5 6
pajelnp 1 4 3 2 0 6 5
pajepln 1 4 3 2 5 0 6
pajepnl 1 4 3 2 5 6 0
pajenlp 1 4 3 2 6 0 5
pajenpl 1 4 3 2 6 5 0
pajplen 1 4 3 5 0 2 6
pajplne 1 4 3 5 0 6 2
pajpeln 1 4 3 5 2 0 6
pajpenl 1 4 3 5 2 6 0
pajpnle 1 4 3 5 6 0 2
pajpnel 1 4 3 5 6 2 0
pajnlep 1 4 3 6 0 2 5
pajnlpe 1 4 3 6 0 5 2
pajnelp 1 4 3 6 2 0 5
pajnepl 1 4 3 6 2 5 0
pajnple 1 4 3 6 5 0 2
pajnpel 1 4 3 6 5 2 0
paplejn 1 4 5 0 2 3 6
paplenj 1 4 5 0 2 6 3
papljen 1 4 5 0 3 2 6
papljne 1 4 5 0 3 6 2
paplnej 1 4 5 0 6 2 3
paplnje 1 4 5 0 6 3 2
papeljn 1 4 5 2 0 3 6
papelnj 1 4 5 2 0 6 3
papejln 1 4 5 2 3 0 6
papejnl 1 4 5 2 3 6 0
papenlj 1 4 5 2 6 0 3
papenjl 1 4 5 2 6 3 0
papjlen 1 4 5 3 0 2 6
papjlne 1 4 5 3 0 6 2
papjeln 1 4 5 3 2 0 6
papjenl 1 4 5 3 2 6 0
papjnle 1 4 5 3 6 0 2
papjnel 1 4 5 3 6 2 0
papnlej 1 4 5 6 0 2 3
papnlje 1 4 5 6 0 3 2
papnelj 1 4 5 6 2 0 3
papnejl 1 4 5 6 2 3 0
papnjle 1 4 5 6 3 0 2
papnjel 1 4 5 6 3 2 0
panlejp 1 4 6 0 2 3 5
panlepj 1 4 6 0 2 5 3
panljep 1 4 6 0 3 2 5
panljpe 1 4 6 0 3 5 2
panlpej 1 4 6 0 5 2 3
panlpje 1 4 6 0 5 3 2
paneljp 1 4 6 2 0 3 5
panelpj 1 4 6 2 0 5 3
panejlp 1 4 6 2 3 0 5
panejpl 1 4 6 2 3 5 0
paneplj 1 4 6 2 5 0 3
panepjl 1 4 6 2 5 3 0
panjlep 1 4 6 3 0 2 5
panjlpe 1 4 6 3 0 5 2
panjelp 1 4 6 3 2 0 5
panjepl 1 4 6 3 2 5 0
panjple 1 4 6 3 5 0 2
panjpel 1 4 6 3 5 2 0
panplej 1 4 6 5 0 2 3
panplje 1 4 6 5 0 3 2
panpelj 1 4 6 5 2 0 3
panpejl 1 4 6 5 2 3 0
panpjle 1 4 6 5 3 0 2
panpjel 1 4 6 5 3 2 0
pplejan 1 5 0 2 3 4 6
pplejna 1 5 0 2 3 6 4
ppleajn 1 5 0 2 4 3 6
ppleanj 1 5 0 2 4 6 3
pplenja 1 5 0 2 6 3 4
pplenaj 1 5 0 2 6 4 3
ppljean 1 5 0 3 2 4 6
ppljena 1 5 0 3 2 6 4
ppljaen 1 5 0 3 4 2 6
ppljane 1 5 0 3 4 6 2
ppljnea 1 5 0 3 6 2 4
ppljnae 1 5 0 3 6 4 2
pplaejn 1 5 0 4 2 3 6
pplaenj 1 5 0 4 2 6 3
pplajen 1 5 0 4 3 2 6
pplajne 1 5 0 4 3 6 2
pplanej 1 5 0 4 6 2 3
pplanje 1 5 0 4 6 3 2
pplneja 1 5 0 6 2 3 4
pplneaj 1 5 0 6 2 4 3
pplnjea 1 5 0 6 3 2 4
pplnjae 1 5 0 6 3 4 2
pplnaej 1 5 0 6 4 2 3
pplnaje 1 5 0 6 4 3 2
ppeljan 1 5 2 0 3 4 6
ppeljna 1 5 2 0 3 6 4
ppelajn 1 5 2 0 4 3 6
ppelanj 1 5 2 0 4 6 3
ppelnja 1 5 2 0 6 3 4
ppelnaj 1 5 2 0 6 4 3
ppejlan 1 5 2 3 0 4 6
ppejlna 1 5 2 3 0 6 4
ppejaln 1 5 2 3 4 0 6
ppejanl 1 5 2 3 4 6 0
ppejnla 1 5 2 3 6 0 4
ppejnal 1 5 2 3 6 4 0
ppealjn 1 5 2 4 0 3 6
ppealnj 1 5 2 4 0 6 3
ppeajln 1 5 2 4 3 0 6
ppeajnl 1 5 2 4 3 6 0
ppeanlj 1 5 2 4 6 0 3
ppeanjl 1 5 2 4 6 3 0
ppenlja 1 5 2 6 0 3 4
ppenlaj 1 5 2 6 0 4 3
ppenjla 1 5 2 6 3 0 4
ppenjal 1 5 2 6 3 4 0
ppenalj 1 5 2 6 4 0 3
ppenajl 1 5 2 6 4 3 0
ppjlean 1 5 3 0 2 4 6
ppjlena 1 5 3 0 2 6 4
ppjlaen 1 5 3 0 4 2 6
ppjlane 1 5 3 0 4 6 2
ppjlnea 1 5 3 0 6 2 4
ppjlnae 1 5 3 0 6 4 2
ppjelan 1 5 3 2 0 4 6
ppjelna 1 5 3 2 0 6 4
ppjealn 1 5 3 2 4 0 6
ppjeanl 1 5 3 2 4 6 0
ppjenla 1 5 3 2 6 0 4
ppjenal 1 5 3 2 6 4 0
ppjalen 1 5 3 4 0 2 6
ppjalne 1 5 3 4 0 6 2
ppjaeln 1 5 3 4 2 0 6
ppjaenl 1 5 3 4 2 6 0
ppjanle 1 5 3 4 6 0 2
ppjanel 1 5 3 4 6 2 0
ppjnlea 1 5 3 6 0 2 4
ppjnlae 1 5 3 6 0 4 2
ppjnela 1 5 3 6 2 0 4
ppjneal 1 5 3 6 2 4 0
ppjnale 1 5 3 6 4 0 2
ppjnael 1 5 3 6 4 2 0
ppalejn 1 5 4 0 2 3 6
ppalenj 1 5 4 0 2 6 3
ppaljen 1 5 4 0 3 2 6
ppaljne 1 5 4 0 3 6 2
ppalnej 1 5 4 0 6 2 3
ppalnje 1 5 4 0 6 3 2
ppaeljn 1 5 4 2 0 3 6
ppaelnj 1 5 4 2 0 6 3
ppaejln 1 5 4 2 3 0 6
ppaejnl 1 5 4 2 3 6 0
ppaenlj 1 5 4 2 6 0 3
ppaenjl 1 5 4 2 6 3 0
ppajlen 1 5 4 3 0 2 6
ppajlne 1 5 4 3 0 6 2
ppajeln 1 5 4 3 2 0 6
ppajenl 1 5 4 3 2 6 0
ppajnle 1 5 4 3 6 0 2
ppajnel 1 5 4 3 6 2 0
ppanlej 1 5 4 6 0 2 3
ppanlje 1 5 4 6 0 3 2
ppanelj 1 5 4 6 2 0 3
ppanejl 1 5 4 6 2 3 0
ppanjle 1 5 4 6 3 0 2
ppanjel 1 5 4 6 3 2 0
ppnleja 1 5 6 0 2 3 4
ppnleaj 1 5 6 0 2 4 3
ppnljea 1 5 6 0 3 2 4
ppnljae 1 5 6 0 3 4 2
ppnlaej 1 5 6 0 4 2 3
ppnlaje 1 5 6 0 4 3 2
ppnelja 1 5 6 2 0 3 4
ppnelaj 1 5 6 2 0 4 3
ppnejla 1 5 6 2 3 0 4
ppnejal 1 5 6 2 3 4 0
ppnealj 1 5 6 2 4 0 3
ppneajl 1 5 6 2 4 3 0
ppnjlea 1 5 6 3 0 2 4
ppnjlae 1 5 6 3 0 4 2
ppnjela 1 5 6 3 2 0 4
ppnjeal 1 5 6 3 2 4 0
ppnjale 1 5 6 3 4 0 2
ppnjael 1 5 6 3 4 2 0
ppnalej 1 5 6 4 0 2 3
ppnalje 1 5 6 4 0 3 2
ppnaelj 1 5 6 4 2 0 3
ppnaejl 1 5 6 4 2 3 0
ppnajle 1 5 6 4 3 0 2
ppnajel 1 5 6 4 3 2 0
pnlejap 1 6 0 2 3 4 5
pnlejpa 1 6 0 2 3 5 4
pnleajp 1 6 0 2 4 3 5
pnleapj 1 6 0 2 4 5 3
pnlepja 1 6 0 2 5 3 4
pnlepaj 1 6 0 2 5 4 3
pnljeap 1 6 0 3 2 4 5
pnljepa 1 6 0 3 2 5 4
pnljaep 1 6 0 3 4 2 5
pnljape 1 6 0 3 4 5 2
pnljpea 1 6 0 3 5 2 4
pnljpae 1 6 0 3 5 4 2
pnlaejp 1 6 0 4 2 3 5
pnlaepj 1 6 0 4 2 5 3
pnlajep 1 6 0 4 3 2 5
pnlajpe 1 6 0 4 3 5 2
pnlapej 1 6 0 4 5 2 3
pnlapje 1 6 0 4 5 3 2
pnlpeja 1 6 0 5 2 3 4
pnlpeaj 1 6 0 5 2 4 3
pnlpjea 1 6 0 5 3 2 4
pnlpjae 1 6 0 5 3 4 2
pnlpaej 1 6 0 5 4 2 3
pnlpaje 1 6 0 5 4 3 2
pneljap 1 6 2 0 3 4 5
pneljpa 1 6 2 0 3 5 4
pnelajp 1 6 2 0 4 3 5
pnelapj 1 6 2 0 4 5 3
pnelpja 1 6 2 0 5 3 4
pnelpaj 1 6 2 0 5 4 3
pnejlap 1 6 2 3 0 4 5
pnejlpa 1 6 2 3 0 5 4
pnejalp 1 6 2 3 4 0 5
pnejapl 1 6 2 3 4 5 0
pnejpla 1 6 2 3 5 0 4
pnejpal 1 6 2 3 5 4 0
pnealjp 1 6 2 4 0 3 5
pnealpj 1 6 2 4 0 5 3
pneajlp 1 6 2 4 3 0 5
pneajpl 1 6 2 4 3 5 0
pneaplj 1 6 2 4 5 0 3
pneapjl 1 6 2 4 5 3 0
pneplja 1 6 2 5 0 3 4
pneplaj 1 6 2 5 0 4 3
pnepjla 1 6 2 5 3 0 4
pnepjal 1 6 2 5 3 4 0
pnepalj 1 6 2 5 4 0 3
pnepajl 1 6 2 5 4 3 0
pnjleap 1 6 3 0 2 4 5
pnjlepa 1 6 3 0 2 5 4
pnjlaep 1 6 3 0 4 2 5
pnjlape 1 6 3 0 4 5 2
pnjlpea 1 6 3 0 5 2 4
pnjlpae 1 6 3 0 5 4 2
pnjelap 1 6 3 2 0 4 5
pnjelpa 1 6 3 2 0 5 4
pnjealp 1 6 3 2 4 0 5
pnjeapl 1 6 3 2 4 5 0
pnjepla 1 6 3 2 5 0 4
pnjepal 1 6 3 2 5 4 0
pnjalep 1 6 3 4 0 2 5
pnjalpe 1 6 3 4 0 5 2
pnjaelp 1 6 3 4 2 0 5
pnjaepl 1 6 3 4 2 5 0
pnjaple 1 6 3 4 5 0 2
pnjapel 1 6 3 4 5 2 0
pnjplea 1 6 3 5 0 2 4
pnjplae 1 6 3 5 0 4 2
pnjpela 1 6 3 5 2 0 4
pnjpeal 1 6 3 5 2 4 0
pnjpale 1 6 3 5 4 0 2
pnjpael 1 6 3 5 4 2 0
pnalejp 1 6 4 0 2 3 5
pnalepj 1 6 4 0 2 5 3
pnaljep 1 6 4 0 3 2 5
pnaljpe 1 6 4 0 3 5 2
