Shift: 4
eixctig 0 1 2 3 4 5 6
egicixt 0 6 5 3 1 2 4
egicitx 0 6 5 3 1 4 2
egicxit 0 6 5 3 2 1 4
egicxti 0 6 5 3 2 4 1
egictix 0 6 5 3 4 1 2
egictxi 0 6 5 3 4 2 1
egitixc 0 6 5 4 1 2 3
egiticx 0 6 5 4 1 3 2
egitxic 0 6 5 4 2 1 3
egitxci 0 6 5 4 2 3 1
egitcix 0 6 5 4 3 1 2
egitcxi 0 6 5 4 3 2 1
iexctig 1 0 2 3 4 5 6
iexctgi 1 0 2 3 4 6 5
iexcitg 1 0 2 3 5 4 6
iexcigt 1 0 2 3 5 6 4
iexcgti 1 0 2 3 6 4 5
iexcgit 1 0 2 3 6 5 4
iextcig 1 0 2 4 3 5 6
iextcgi 1 0 2 4 3 6 5
iexticg 1 0 2 4 5 3 6
iextigc 1 0 2 4 5 6 3
iextgci 1 0 2 4 6 3 5
iextgic 1 0 2 4 6 5 3
iexictg 1 0 2 5 3 4 6
iexicgt 1 0 2 5 3 6 4
iexitcg 1 0 2 5 4 3 6
iexitgc 1 0 2 5 4 6 3
iexigct 1 0 2 5 6 3 4
iexigtc 1 0 2 5 6 4 3
iexgcti 1 0 2 6 3 4 5
iexgcit 1 0 2 6 3 5 4
iexgtci 1 0 2 6 4 3 5
iexgtic 1 0 2 6 4 5 3
iexgict 1 0 2 6 5 3 4
iexgitc 1 0 2 6 5 4 3
iecxtig 1 0 3 2 4 5 6
iecxtgi 1 0 3 2 4 6 5
iecxitg 1 0 3 2 5 4 6
iecxigt 1 0 3 2 5 6 4
iecxgti 1 0 3 2 6 4 5
iecxgit 1 0 3 2 6 5 4
iectxig 1 0 3 4 2 5 6
iectxgi 1 0 3 4 2 6 5
iectixg 1 0 3 4 5 2 6
iectigx 1 0 3 4 5 6 2
iectgxi 1 0 3 4 6 2 5
iectgix 1 0 3 4 6 5 2
iecixtg 1 0 3 5 2 4 6
iecixgt 1 0 3 5 2 6 4
iecitxg 1 0 3 5 4 2 6
iecitgx 1 0 3 5 4 6 2
iecigxt 1 0 3 5 6 2 4
iecigtx 1 0 3 5 6 4 2
iecgxti 1 0 3 6 2 4 5
iecgxit 1 0 3 6 2 5 4
iecgtxi 1 0 3 6 4 2 5
iecgtix 1 0 3 6 4 5 2
iecgixt 1 0 3 6 5 2 4
iecgitx 1 0 3 6 5 4 2
ietxcig 1 0 4 2 3 5 6
ietxcgi 1 0 4 2 3 6 5
ietxicg 1 0 4 2 5 3 6
ietxigc 1 0 4 2 5 6 3
ietxgci 1 0 4 2 6 3 5
ietxgic 1 0 4 2 6 5 3
ietcxig 1 0 4 3 2 5 6
ietcxgi 1 0 4 3 2 6 5
ietcixg 1 0 4 3 5 2 6
ietcigx 1 0 4 3 5 6 2
ietcgxi 1 0 4 3 6 2 5
ietcgix 1 0 4 3 6 5 2
ietixcg 1 0 4 5 2 3 6
ietixgc 1 0 4 5 2 6 3
ieticxg 1 0 4 5 3 2 6
ieticgx 1 0 4 5 3 6 2
ietigxc 1 0 4 5 6 2 3
ietigcx 1 0 4 5 6 3 2
ietgxci 1 0 4 6 2 3 5
ietgxic 1 0 4 6 2 5 3
ietgcxi 1 0 4 6 3 2 5
ietgcix 1 0 4 6 3 5 2
ietgixc 1 0 4 6 5 2 3
ietgicx 1 0 4 6 5 3 2
ieixctg 1 0 5 2 3 4 6
ieixcgt 1 0 5 2 3 6 4
ieixtcg 1 0 5 2 4 3 6
ieixtgc 1 0 5 2 4 6 3
ieixgct 1 0 5 2 6 3 4
ieixgtc 1 0 5 2 6 4 3
ieicxtg 1 0 5 3 2 4 6
ieicxgt 1 0 5 3 2 6 4
ieictxg 1 0 5 3 4 2 6
ieictgx 1 0 5 3 4 6 2
ieicgxt 1 0 5 3 6 2 4
ieicgtx 1 0 5 3 6 4 2
ieitxcg 1 0 5 4 2 3 6
ieitxgc 1 0 5 4 2 6 3
ieitcxg 1 0 5 4 3 2 6
ieitcgx 1 0 5 4 3 6 2
ieitgxc 1 0 5 4 6 2 3
ieitgcx 1 0 5 4 6 3 2
ieigxct 1 0 5 6 2 3 4
ieigxtc 1 0 5 6 2 4 3
ieigcxt 1 0 5 6 3 2 4
ieigctx 1 0 5 6 3 4 2
ieigtxc 1 0 5 6 4 2 3
ieigtcx 1 0 5 6 4 3 2
iegxcti 1 0 6 2 3 4 5
iegxcit 1 0 6 2 3 5 4
iegxtci 1 0 6 2 4 3 5
iegxtic 1 0 6 2 4 5 3
iegxict 1 0 6 2 5 3 4
iegxitc 1 0 6 2 5 4 3
iegcxti 1 0 6 3 2 4 5
iegcxit 1 0 6 3 2 5 4
iegctxi 1 0 6 3 4 2 5
iegctix 1 0 6 3 4 5 2
iegcixt 1 0 6 3 5 2 4
iegcitx 1 0 6 3 5 4 2
iegtxci 1 0 6 4 2 3 5
iegtxic 1 0 6 4 2 5 3
iegtcxi 1 0 6 4 3 2 5
iegtcix 1 0 6 4 3 5 2
iegtixc 1 0 6 4 5 2 3
iegticx 1 0 6 4 5 3 2
iegixct 1 0 6 5 2 3 4
iegixtc 1 0 6 5 2 4 3
iegicxt 1 0 6 5 3 2 4
iegictx 1 0 6 5 3 4 2
iegitxc 1 0 6 5 4 2 3
iegitcx 1 0 6 5 4 3 2
ixectig 1 2 0 3 4 5 6
ixectgi 1 2 0 3 4 6 5
ixecitg 1 2 0 3 5 4 6
ixecigt 1 2 0 3 5 6 4
ixecgti 1 2 0 3 6 4 5
ixecgit 1 2 0 3 6 5 4
ixetcig 1 2 0 4 3 5 6
ixetcgi 1 2 0 4 3 6 5
ixeticg 1 2 0 4 5 3 6
ixetigc 1 2 0 4 5 6 3
ixetgci 1 2 0 4 6 3 5
ixetgic 1 2 0 4 6 5 3
ixeictg 1 2 0 5 3 4 6
ixeicgt 1 2 0 5 3 6 4
ixeitcg 1 2 0 5 4 3 6
ixeitgc 1 2 0 5 4 6 3
ixeigct 1 2 0 5 6 3 4
ixeigtc 1 2 0 5 6 4 3
ixegcti 1 2 0 6 3 4 5
ixegcit 1 2 0 6 3 5 4
ixegtci 1 2 0 6 4 3 5
ixegtic 1 2 0 6 4 5 3
ixegict 1 2 0 6 5 3 4
ixegitc 1 2 0 6 5 4 3
ixcetig 1 2 3 0 4 5 6
ixcetgi 1 2 3 0 4 6 5
ixceitg 1 2 3 0 5 4 6
ixceigt 1 2 3 0 5 6 4
ixcegti 1 2 3 0 6 4 5
ixcegit 1 2 3 0 6 5 4
ixcteig 1 2 3 4 0 5 6
ixctegi 1 2 3 4 0 6 5
ixctieg 1 2 3 4 5 0 6
ixctige 1 2 3 4 5 6 0
ixctgei 1 2 3 4 6 0 5
ixctgie 1 2 3 4 6 5 0
ixcietg 1 2 3 5 0 4 6
ixciegt 1 2 3 5 0 6 4
ixciteg 1 2 3 5 4 0 6
ixcitge 1 2 3 5 4 6 0
ixciget 1 2 3 5 6 0 4
ixcigte 1 2 3 5 6 4 0
ixcgeti 1 2 3 6 0 4 5
ixcgeit 1 2 3 6 0 5 4
ixcgtei 1 2 3 6 4 0 5
ixcgtie 1 2 3 6 4 5 0
ixcgiet 1 2 3 6 5 0 4
ixcgite 1 2 3 6 5 4 0
ixtecig 1 2 4 0 3 5 6
ixtecgi 1 2 4 0 3 6 5
ixteicg 1 2 4 0 5 3 6
ixteigc 1 2 4 0 5 6 3
ixtegci 1 2 4 0 6 3 5
ixtegic 1 2 4 0 6 5 3
ixtceig 1 2 4 3 0 5 6
ixtcegi 1 2 4 3 0 6 5
ixtcieg 1 2 4 3 5 0 6
ixtcige 1 2 4 3 5 6 0
ixtcgei 1 2 4 3 6 0 5
ixtcgie 1 2 4 3 6 5 0
ixtiecg 1 2 4 5 0 3 6
ixtiegc 1 2 4 5 0 6 3
ixticeg 1 2 4 5 3 0 6
ixticge 1 2 4 5 3 6 0
ixtigec 1 2 4 5 6 0 3
ixtigce 1 2 4 5 6 3 0
ixtgeci 1 2 4 6 0 3 5
ixtgeic 1 2 4 6 0 5 3
ixtgcei 1 2 4 6 3 0 5
ixtgcie 1 2 4 6 3 5 0
ixtgiec 1 2 4 6 5 0 3
ixtgice 1 2 4 6 5 3 0
ixiectg 1 2 5 0 3 4 6
ixiecgt 1 2 5 0 3 6 4
ixietcg 1 2 5 0 4 3 6
ixietgc 1 2 5 0 4 6 3
ixiegct 1 2 5 0 6 3 4
ixiegtc 1 2 5 0 6 4 3
ixicetg 1 2 5 3 0 4 6
ixicegt 1 2 5 3 0 6 4
ixicteg 1 2 5 3 4 0 6
ixictge 1 2 5 3 4 6 0
ixicget 1 2 5 3 6 0 4
ixicgte 1 2 5 3 6 4 0
ixitecg 1 2 5 4 0 3 6
ixitegc 1 2 5 4 0 6 3
ixitceg 1 2 5 4 3 0 6
ixitcge 1 2 5 4 3 6 0
ixitgec 1 2 5 4 6 0 3
ixitgce 1 2 5 4 6 3 0
ixigect 1 2 5 6 0 3 4
ixigetc 1 2 5 6 0 4 3
ixigcet 1 2 5 6 3 0 4
ixigcte 1 2 5 6 3 4 0
ixigtec 1 2 5 6 4 0 3
ixigtce 1 2 5 6 4 3 0
ixgecti 1 2 6 0 3 4 5
ixgecit 1 2 6 0 3 5 4
ixgetci 1 2 6 0 4 3 5
ixgetic 1 2 6 0 4 5 3
ixgeict 1 2 6 0 5 3 4
ixgeitc 1 2 6 0 5 4 3
ixgceti 1 2 6 3 0 4 5
ixgceit 1 2 6 3 0 5 4
ixgctei 1 2 6 3 4 0 5
ixgctie 1 2 6 3 4 5 0
ixgciet 1 2 6 3 5 0 4
ixgcite 1 2 6 3 5 4 0
ixgteci 1 2 6 4 0 3 5
ixgteic 1 2 6 4 0 5 3
ixgtcei 1 2 6 4 3 0 5
ixgtcie 1 2 6 4 3 5 0
ixgtiec 1 2 6 4 5 0 3
ixgtice 1 2 6 4 5 3 0
ixgiect 1 2 6 5 0 3 4
ixgietc 1 2 6 5 0 4 3
ixgicet 1 2 6 5 3 0 4
ixgicte 1 2 6 5 3 4 0
ixgitec 1 2 6 5 4 0 3
ixgitce 1 2 6 5 4 3 0
icextig 1 3 0 2 4 5 6
icextgi 1 3 0 2 4 6 5
icexitg 1 3 0 2 5 4 6
icexigt 1 3 0 2 5 6 4
icexgti 1 3 0 2 6 4 5
icexgit 1 3 0 2 6 5 4
icetxig 1 3 0 4 2 5 6
icetxgi 1 3 0 4 2 6 5
icetixg 1 3 0 4 5 2 6
icetigx 1 3 0 4 5 6 2
icetgxi 1 3 0 4 6 2 5
icetgix 1 3 0 4 6 5 2
iceixtg 1 3 0 5 2 4 6
iceixgt 1 3 0 5 2 6 4
iceitxg 1 3 0 5 4 2 6
iceitgx 1 3 0 5 4 6 2
iceigxt 1 3 0 5 6 2 4
iceigtx 1 3 0 5 6 4 2
icegxti 1 3 0 6 2 4 5
icegxit 1 3 0 6 2 5 4
icegtxi 1 3 0 6 4 2 5
icegtix 1 3 0 6 4 5 2
icegixt 1 3 0 6 5 2 4
icegitx 1 3 0 6 5 4 2
icxetig 1 3 2 0 4 5 6
icxetgi 1 3 2 0 4 6 5
icxeitg 1 3 2 0 5 4 6
icxeigt 1 3 2 0 5 6 4
icxegti 1 3 2 0 6 4 5
icxegit 1 3 2 0 6 5 4
icxteig 1 3 2 4 0 5 6
icxtegi 1 3 2 4 0 6 5
icxtieg 1 3 2 4 5 0 6
icxtige 1 3 2 4 5 6 0
icxtgei 1 3 2 4 6 0 5
icxtgie 1 3 2 4 6 5 0
icxietg 1 3 2 5 0 4 6
icxiegt 1 3 2 5 0 6 4
icxiteg 1 3 2 5 4 0 6
icxitge 1 3 2 5 4 6 0
icxiget 1 3 2 5 6 0 4
icxigte 1 3 2 5 6 4 0
icxgeti 1 3 2 6 0 4 5
icxgeit 1 3 2 6 0 5 4
icxgtei 1 3 2 6 4 0 5
icxgtie 1 3 2 6 4 5 0
icxgiet 1 3 2 6 5 0 4
icxgite 1 3 2 6 5 4 0
ictexig 1 3 4 0 2 5 6
ictexgi 1 3 4 0 2 6 5
icteixg 1 3 4 0 5 2 6
icteigx 1 3 4 0 5 6 2
ictegxi 1 3 4 0 6 2 5
ictegix 1 3 4 0 6 5 2
ictxeig 1 3 4 2 0 5 6
ictxegi 1 3 4 2 0 6 5
ictxieg 1 3 4 2 5 0 6
ictxige 1 3 4 2 5 6 0
ictxgei 1 3 4 2 6 0 5
ictxgie 1 3 4 2 6 5 0
ictiexg 1 3 4 5 0 2 6
ictiegx 1 3 4 5 0 6 2
ictixeg 1 3 4 5 2 0 6
ictixge 1 3 4 5 2 6 0
ictigex 1 3 4 5 6 0 2
ictigxe 1 3 4 5 6 2 0
ictgexi 1 3 4 6 0 2 5
ictgeix 1 3 4 6 0 5 2
ictgxei 1 3 4 6 2 0 5
ictgxie 1 3 4 6 2 5 0
ictgiex 1 3 4 6 5 0 2
ictgixe 1 3 4 6 5 2 0
iciextg 1 3 5 0 2 4 6
iciexgt 1 3 5 0 2 6 4
icietxg 1 3 5 0 4 2 6
icietgx 1 3 5 0 4 6 2
iciegxt 1 3 5 0 6 2 4
iciegtx 1 3 5 0 6 4 2
icixetg 1 3 5 2 0 4 6
icixegt 1 3 5 2 0 6 4
icixteg 1 3 5 2 4 0 6
icixtge 1 3 5 2 4 6 0
icixget 1 3 5 2 6 0 4
icixgte 1 3 5 2 6 4 0
icitexg 1 3 5 4 0 2 6
icitegx 1 3 5 4 0 6 2
icitxeg 1 3 5 4 2 0 6
icitxge 1 3 5 4 2 6 0
icitgex 1 3 5 4 6 0 2
icitgxe 1 3 5 4 6 2 0
icigext 1 3 5 6 0 2 4
icigetx 1 3 5 6 0 4 2
icigxet 1 3 5 6 2 0 4
icigxte 1 3 5 6 2 4 0
icigtex 1 3 5 6 4 0 2
icigtxe 1 3 5 6 4 2 0
icgexti 1 3 6 0 2 4 5
icgexit 1 3 6 0 2 5 4
icgetxi 1 3 6 0 4 2 5
icgetix 1 3 6 0 4 5 2
icgeixt 1 3 6 0 5 2 4
icgeitx 1 3 6 0 5 4 2
icgxeti 1 3 6 2 0 4 5
icgxeit 1 3 6 2 0 5 4
icgxtei 1 3 6 2 4 0 5
icgxtie 1 3 6 2 4 5 0
icgxiet 1 3 6 2 5 0 4
icgxite 1 3 6 2 5 4 0
icgtexi 1 3 6 4 0 2 5
icgteix 1 3 6 4 0 5 2
icgtxei 1 3 6 4 2 0 5
icgtxie 1 3 6 4 2 5 0
icgtiex 1 3 6 4 5 0 2
icgtixe 1 3 6 4 5 2 0
icgiext 1 3 6 5 0 2 4
icgietx 1 3 6 5 0 4 2
icgixet 1 3 6 5 2 0 4
icgixte 1 3 6 5 2 4 0
icgitex 1 3 6 5 4 0 2
icgitxe 1 3 6 5 4 2 0
itexcig 1 4 0 2 3 5 6
itexcgi 1 4 0 2 3 6 5
itexicg 1 4 0 2 5 3 6
itexigc 1 4 0 2 5 6 3
itexgci 1 4 0 2 6 3 5
itexgic 1 4 0 2 6 5 3
itecxig 1 4 0 3 2 5 6
itecxgi 1 4 0 3 2 6 5
itecixg 1 4 0 3 5 2 6
itecigx 1 4 0 3 5 6 2
itecgxi 1 4 0 3 6 2 5
itecgix 1 4 0 3 6 5 2
iteixcg 1 4 0 5 2 3 6
iteixgc 1 4 0 5 2 6 3
iteicxg 1 4 0 5 3 2 6
iteicgx 1 4 0 5 3 6 2
iteigxc 1 4 0 5 6 2 3
iteigcx 1 4 0 5 6 3 2
itegxci 1 4 0 6 2 3 5
itegxic 1 4 0 6 2 5 3
itegcxi 1 4 0 6 3 2 5
itegcix 1 4 0 6 3 5 2
itegixc 1 4 0 6 5 2 3
itegicx 1 4 0 6 5 3 2
itxecig 1 4 2 0 3 5 6
itxecgi 1 4 2 0 3 6 5
itxeicg 1 4 2 0 5 3 6
itxeigc 1 4 2 0 5 6 3
itxegci 1 4 2 0 6 3 5
itxegic 1 4 2 0 6 5 3
itxceig 1 4 2 3 0 5 6
itxcegi 1 4 2 3 0 6 5
itxcieg 1 4 2 3 5 0 6
itxcige 1 4 2 3 5 6 0
itxcgei 1 4 2 3 6 0 5
itxcgie 1 4 2 3 6 5 0
itxiecg 1 4 2 5 0 3 6
itxiegc 1 4 2 5 0 6 3
itxiceg 1 4 2 5 3 0 6
itxicge 1 4 2 5 3 6 0
itxigec 1 4 2 5 6 0 3
itxigce 1 4 2 5 6 3 0
itxgeci 1 4 2 6 0 3 5
itxgeic 1 4 2 6 0 5 3
itxgcei 1 4 2 6 3 0 5
itxgcie 1 4 2 6 3 5 0
itxgiec 1 4 2 6 5 0 3
itxgice 1 4 2 6 5 3 0
itcexig 1 4 3 0 2 5 6
itcexgi 1 4 3 0 2 6 5
itceixg 1 4 3 0 5 2 6
itceigx 1 4 3 0 5 6 2
itcegxi 1 4 3 0 6 2 5
itcegix 1 4 3 0 6 5 2
itcxeig 1 4 3 2 0 5 6
itcxegi 1 4 3 2 0 6 5
itcxieg 1 4 3 2 5 0 6
itcxige 1 4 3 2 5 6 0
itcxgei 1 4 3 2 6 0 5
itcxgie 1 4 3 2 6 5 0
itciexg 1 4 3 5 0 2 6
itciegx 1 4 3 5 0 6 2
itcixeg 1 4 3 5 2 0 6
itcixge 1 4 3 5 2 6 0
itcigex 1 4 3 5 6 0 2
itcigxe 1 4 3 5 6 2 0
itcgexi 1 4 3 6 0 2 5
itcgeix 1 4 3 6 0 5 2
itcgxei 1 4 3 6 2 0 5
itcgxie 1 4 3 6 2 5 0
itcgiex 1 4 3 6 5 0 2
itcgixe 1 4 3 6 5 2 0
itiexcg 1 4 5 0 2 3 6
itiexgc 1 4 5 0 2 6 3
itiecxg 1 4 5 0 3 2 6
itiecgx 1 4 5 0 3 6 2
itiegxc 1 4 5 0 6 2 3
itiegcx 1 4 5 0 6 3 2
itixecg 1 4 5 2 0 3 6
itixegc 1 4 5 2 0 6 3
itixceg 1 4 5 2 3 0 6
itixcge 1 4 5 2 3 6 0
itixgec 1 4 5 2 6 0 3
itixgce 1 4 5 2 6 3 0
iticexg 1 4 5 3 0 2 6
iticegx 1 4 5 3 0 6 2
iticxeg 1 4 5 3 2 0 6
iticxge 1 4 5 3 2 6 0
iticgex 1 4 5 3 6 0 2
iticgxe 1 4 5 3 6 2 0
itigexc 1 4 5 6 0 2 3
itigecx 1 4 5 6 0 3 2
itigxec 1 4 5 6 2 0 3
itigxce 1 4 5 6 2 3 0
itigcex 1 4 5 6 3 0 2
itigcxe 1 4 5 6 3 2 0
itgexci 1 4 6 0 2 3 5
itgexic 1 4 6 0 2 5 3
itgecxi 1 4 6 0 3 2 5
itgecix 1 4 6 0 3 5 2
itgeixc 1 4 6 0 5 2 3
itgeicx 1 4 6 0 5 3 2
itgxeci 1 4 6 2 0 3 5
itgxeic 1 4 6 2 0 5 3
itgxcei 1 4 6 2 3 0 5
itgxcie 1 4 6 2 3 5 0
itgxiec 1 4 6 2 5 0 3
itgxice 1 4 6 2 5 3 0
itgcexi 1 4 6 3 0 2 5
itgceix 1 4 6 3 0 5 2
itgcxei 1 4 6 3 2 0 5
itgcxie 1 4 6 3 2 5 0
itgciex 1 4 6 3 5 0 2
itgcixe 1 4 6 3 5 2 0
itgiexc 1 4 6 5 0 2 3
itgiecx 1 4 6 5 0 3 2
itgixec 1 4 6 5 2 0 3
itgixce 1 4 6 5 2 3 0
itgicex 1 4 6 5 3 0 2
itgicxe 1 4 6 5 3 2 0
iiexctg 1 5 0 2 3 4 6
iiexcgt 1 5 0 2 3 6 4
iiextcg 1 5 0 2 4 3 6
iiextgc 1 5 0 2 4 6 3
iiexgct 1 5 0 2 6 3 4
iiexgtc 1 5 0 2 6 4 3
iiecxtg 1 5 0 3 2 4 6
iiecxgt 1 5 0 3 2 6 4
iiectxg 1 5 0 3 4 2 6
iiectgx 1 5 0 3 4 6 2
iiecgxt 1 5 0 3 6 2 4
iiecgtx 1 5 0 3 6 4 2
iietxcg 1 5 0 4 2 3 6
iietxgc 1 5 0 4 2 6 3
iietcxg 1 5 0 4 3 2 6
iietcgx 1 5 0 4 3 6 2
iietgxc 1 5 0 4 6 2 3
iietgcx 1 5 0 4 6 3 2
iiegxct 1 5 0 6 2 3 4
iiegxtc 1 5 0 6 2 4 3
iiegcxt 1 5 0 6 3 2 4
iiegctx 1 5 0 6 3 4 2
iiegtxc 1 5 0 6 4 2 3
iiegtcx 1 5 0 6 4 3 2
iixectg 1 5 2 0 3 4 6
iixecgt 1 5 2 0 3 6 4
iixetcg 1 5 2 0 4 3 6
iixetgc 1 5 2 0 4 6 3
iixegct 1 5 2 0 6 3 4
iixegtc 1 5 2 0 6 4 3
iixcetg 1 5 2 3 0 4 6
iixcegt 1 5 2 3 0 6 4
iixcteg 1 5 2 3 4 0 6
iixctge 1 5 2 3 4 6 0
iixcget 1 5 2 3 6 0 4
iixcgte 1 5 2 3 6 4 0
iixtecg 1 5 2 4 0 3 6
iixtegc 1 5 2 4 0 6 3
iixtceg 1 5 2 4 3 0 6
iixtcge 1 5 2 4 3 6 0
iixtgec 1 5 2 4 6 0 3
iixtgce 1 5 2 4 6 3 0
iixgect 1 5 2 6 0 3 4
iixgetc 1 5 2 6 0 4 3
iixgcet 1 5 2 6 3 0 4
iixgcte 1 5 2 6 3 4 0
iixgtec 1 5 2 6 4 0 3
iixgtce 1 5 2 6 4 3 0
iicextg 1 5 3 0 2 4 6
iicexgt 1 5 3 0 2 6 4
iicetxg 1 5 3 0 4 2 6
iicetgx 1 5 3 0 4 6 2
iicegxt 1 5 3 0 6 2 4
iicegtx 1 5 3 0 6 4 2
iicxetg 1 5 3 2 0 4 6
iicxegt 1 5 3 2 0 6 4
iicxteg 1 5 3 2 4 0 6
iicxtge 1 5 3 2 4 6 0
iicxget 1 5 3 2 6 0 4
iicxgte 1 5 3 2 6 4 0
iictexg 1 5 3 4 0 2 6
iictegx 1 5 3 4 0 6 2
iictxeg 1 5 3 4 2 0 6
iictxge 1 5 3 4 2 6 0
iictgex 1 5 3 4 6 0 2
iictgxe 1 5 3 4 6 2 0
iicgext 1 5 3 6 0 2 4
iicgetx 1 5 3 6 0 4 2
iicgxet 1 5 3 6 2 0 4
iicgxte 1 5 3 6 2 4 0
iicgtex 1 5 3 6 4 0 2
iicgtxe 1 5 3 6 4 2 0
iitexcg 1 5 4 0 2 3 6
iitexgc 1 5 4 0 2 6 3
iitecxg 1 5 4 0 3 2 6
iitecgx 1 5 4 0 3 6 2
iitegxc 1 5 4 0 6 2 3
iitegcx 1 5 4 0 6 3 2
iitxecg 1 5 4 2 0 3 6
iitxegc 1 5 4 2 0 6 3
iitxceg 1 5 4 2 3 0 6
iitxcge 1 5 4 2 3 6 0
iitxgec 1 5 4 2 6 0 3
iitxgce 1 5 4 2 6 3 0
iitcexg 1 5 4 3 0 2 6
iitcegx 1 5 4 3 0 6 2
iitcxeg 1 5 4 3 2 0 6
iitcxge 1 5 4 3 2 6 0
iitcgex 1 5 4 3 6 0 2
iitcgxe 1 5 4 3 6 2 0
iitgexc 1 5 4 6 0 2 3
iitgecx 1 5 4 6 0 3 2
iitgxec 1 5 4 6 2 0 3
iitgxce 1 5 4 6 2 3 0
iitgcex 1 5 4 6 3 0 2
iitgcxe 1 5 4 6 3 2 0
iigexct 1 5 6 0 2 3 4
iigextc 1 5 6 0 2 4 3
iigecxt 1 5 6 0 3 2 4
iigectx 1 5 6 0 3 4 2
iigetxc 1 5 6 0 4 2 3
iigetcx 1 5 6 0 4 3 2
iigxect 1 5 6 2 0 3 4
iigxetc 1 5 6 2 0 4 3
iigxcet 1 5 6 2 3 0 4
iigxcte 1 5 6 2 3 4 0
iigxtec 1 5 6 2 4 0 3
iigxtce 1 5 6 2 4 3 0
iigcext 1 5 6 3 0 2 4
iigcetx 1 5 6 3 0 4 2
iigcxet 1 5 6 3 2 0 4
iigcxte 1 5 6 3 2 4 0
iigctex 1 5 6 3 4 0 2
iigctxe 1 5 6 3 4 2 0
iigtexc 1 5 6 4 0 2 3
iigtecx 1 5 6 4 0 3 2
iigtxec 1 5 6 4 2 0 3
iigtxce 1 5 6 4 2 3 0
iigtcex 1 5 6 4 3 0 2
iigtcxe 1 5 6 4 3 2 0
igexcti 1 6 0 2 3 4 5
igexcit 1 6 0 2 3 5 4
igextci 1 6 0 2 4 3 5
igextic 1 6 0 2 4 5 3
igexict 1 6 0 2 5 3 4
igexitc 1 6 0 2 5 4 3
igecxti 1 6 0 3 2 4 5
igecxit 1 6 0 3 2 5 4
igectxi 1 6 0 3 4 2 5
igectix 1 6 0 3 4 5 2
igecixt 1 6 0 3 5 2 4
igecitx 1 6 0 3 5 4 2
igetxci 1 6 0 4 2 3 5
igetxic 1 6 0 4 2 5 3
igetcxi 1 6 0 4 3 2 5
igetcix 1 6 0 4 3 5 2
igetixc 1 6 0 4 5 2 3
igeticx 1 6 0 4 5 3 2
igeixct 1 6 0 5 2 3 4
igeixtc 1 6 0 5 2 4 3
igeicxt 1 6 0 5 3 2 4
igeictx 1 6 0 5 3 4 2
igeitxc 1 6 0 5 4 2 3
igeitcx 1 6 0 5 4 3 2
igxecti 1 6 2 0 3 4 5
igxecit 1 6 2 0 3 5 4
igxetci 1 6 2 0 4 3 5
igxetic 1 6 2 0 4 5 3
igxeict 1 6 2 0 5 3 4
igxeitc 1 6 2 0 5 4 3
igxceti 1 6 2 3 0 4 5
igxceit 1 6 2 3 0 5 4
igxctei 1 6 2 3 4 0 5
igxctie 1 6 2 3 4 5 0
igxciet 1 6 2 3 5 0 4
igxcite 1 6 2 3 5 4 0
igxteci 1 6 2 4 0 3 5
igxteic 1 6 2 4 0 5 3
igxtcei 1 6 2 4 3 0 5
igxtcie 1 6 2 4 3 5 0
igxtiec 1 6 2 4 5 0 3
igxtice 1 6 2 4 5 3 0
igxiect 1 6 2 5 0 3 4
igxietc 1 6 2 5 0 4 3
igxicet 1 6 2 5 3 0 4
igxicte 1 6 2 5 3 4 0
igxitec 1 6 2 5 4 0 3
igxitce 1 6 2 5 4 3 0
igcexti 1 6 3 0 2 4 5
igcexit 1 6 3 0 2 5 4
igcetxi 1 6 3 0 4 2 5
igcetix 1 6 3 0 4 5 2
igceixt 1 6 3 0 5 2 4
igceitx 1 6 3 0 5 4 2
igcxeti 1 6 3 2 0 4 5
igcxeit 1 6 3 2 0 5 4
igcxtei 1 6 3 2 4 0 5
igcxtie 1 6 3 2 4 5 0
igcxiet 1 6 3 2 5 0 4
igcxite 1 6 3 2 5 4 0
igctexi 1 6 3 4 0 2 5
igcteix 1 6 3 4 0 5 2
igctxei 1 6 3 4 2 0 5
igctxie 1 6 3 4 2 5 0
igctiex 1 6 3 4 5 0 2
igctixe 1 6 3 4 5 2 0
igciext 1 6 3 5 0 2 4
igcietx 1 6 3 5 0 4 2
igcixet 1 6 3 5 2 0 4
igcixte 1 6 3 5 2 4 0
igcitex 1 6 3 5 4 0 2
igcitxe 1 6 3 5 4 2 0
igtexci 1 6 4 0 2 3 5
igtexic 1 6 4 0 2 5 3
igtecxi 1 6 4 0 3 2 5
igtecix 1 6 4 0 3 5 2
igteixc 1 6 4 0 5 2 3
igteicx 1 6 4 0 5 3 2
igtxeci 1 6 4 2 0 3 5
igtxeic 1 6 4 2 0 5 3
igtxcei 1 6 4 2 3 0 5
igtxcie 1 6 4 2 3 5 0
igtxiec 1 6 4 2 5 0 3
igtxice 1 6 4 2 5 3 0
igtcexi 1 6 4 3 0 2 5
igtceix 1 6 4 3 0 5 2
igtcxei 1 6 4 3 2 0 5
igtcxie 1 6 4 3 2 5 0
igtciex 1 6 4 3 5 0 2
igtcixe 1 6 4 3 5 2 0
igtiexc 1 6 4 5 0 2 3
igtiecx 1 6 4 5 0 3 2
igtixec 1 6 4 5 2 0 3
igtixce 1 6 4 5 2 3 0
igticex 1 6 4 5 3 0 2
