Shift: 16
qujofus 0 1 2 3 4 5 6
qsfuujo 0 6 4 5 1 2 3
qsfuuoj 0 6 4 5 1 3 2
qsfujuo 0 6 4 5 2 1 3
qsfujou 0 6 4 5 2 3 1
qsfuouj 0 6 4 5 3 1 2
qsfuoju 0 6 4 5 3 2 1
qsuujof 0 6 5 1 2 3 4
qsuujfo 0 6 5 1 2 4 3
qsuuojf 0 6 5 1 3 2 4
qsuuofj 0 6 5 1 3 4 2
qsuufjo 0 6 5 1 4 2 3
qsuufoj 0 6 5 1 4 3 2
qsujuof 0 6 5 2 1 3 4
qsujufo 0 6 5 2 1 4 3
qsujouf 0 6 5 2 3 1 4
qsujofu 0 6 5 2 3 4 1
qsujfuo 0 6 5 2 4 1 3
qsujfou 0 6 5 2 4 3 1
qsuoujf 0 6 5 3 1 2 4
qsuoufj 0 6 5 3 1 4 2
qsuojuf 0 6 5 3 2 1 4
qsuojfu 0 6 5 3 2 4 1
qsuofuj 0 6 5 3 4 1 2
qsuofju 0 6 5 3 4 2 1
qsufujo 0 6 5 4 1 2 3
qsufuoj 0 6 5 4 1 3 2
qsufjuo 0 6 5 4 2 1 3
qsufjou 0 6 5 4 2 3 1
qsufouj 0 6 5 4 3 1 2
qsufoju 0 6 5 4 3 2 1
uqjofus 1 0 2 3 4 5 6
uqjofsu 1 0 2 3 4 6 5
uqjoufs 1 0 2 3 5 4 6
uqjousf 1 0 2 3 5 6 4
uqjosfu 1 0 2 3 6 4 5
uqjosuf 1 0 2 3 6 5 4
uqjfous 1 0 2 4 3 5 6
uqjfosu 1 0 2 4 3 6 5
uqjfuos 1 0 2 4 5 3 6
uqjfuso 1 0 2 4 5 6 3
uqjfsou 1 0 2 4 6 3 5
uqjfsuo 1 0 2 4 6 5 3
uqjuofs 1 0 2 5 3 4 6
uqjuosf 1 0 2 5 3 6 4
uqjufos 1 0 2 5 4 3 6
uqjufso 1 0 2 5 4 6 3
uqjusof 1 0 2 5 6 3 4
uqjusfo 1 0 2 5 6 4 3
uqjsofu 1 0 2 6 3 4 5
uqjsouf 1 0 2 6 3 5 4
uqjsfou 1 0 2 6 4 3 5
uqjsfuo 1 0 2 6 4 5 3
uqjsuof 1 0 2 6 5 3 4
uqjsufo 1 0 2 6 5 4 3
uqojfus 1 0 3 2 4 5 6
uqojfsu 1 0 3 2 4 6 5
uqojufs 1 0 3 2 5 4 6
uqojusf 1 0 3 2 5 6 4
uqojsfu 1 0 3 2 6 4 5
uqojsuf 1 0 3 2 6 5 4
uqofjus 1 0 3 4 2 5 6
uqofjsu 1 0 3 4 2 6 5
uqofujs 1 0 3 4 5 2 6
uqofusj 1 0 3 4 5 6 2
uqofsju 1 0 3 4 6 2 5
uqofsuj 1 0 3 4 6 5 2
uqoujfs 1 0 3 5 2 4 6
uqoujsf 1 0 3 5 2 6 4
uqoufjs 1 0 3 5 4 2 6
uqoufsj 1 0 3 5 4 6 2
uqousjf 1 0 3 5 6 2 4
uqousfj 1 0 3 5 6 4 2
uqosjfu 1 0 3 6 2 4 5
uqosjuf 1 0 3 6 2 5 4
uqosfju 1 0 3 6 4 2 5
uqosfuj 1 0 3 6 4 5 2
uqosujf 1 0 3 6 5 2 4
uqosufj 1 0 3 6 5 4 2
uqfjous 1 0 4 2 3 5 6
uqfjosu 1 0 4 2 3 6 5
uqfjuos 1 0 4 2 5 3 6
uqfjuso 1 0 4 2 5 6 3
uqfjsou 1 0 4 2 6 3 5
uqfjsuo 1 0 4 2 6 5 3
uqfojus 1 0 4 3 2 5 6
uqfojsu 1 0 4 3 2 6 5
uqfoujs 1 0 4 3 5 2 6
uqfousj 1 0 4 3 5 6 2
uqfosju 1 0 4 3 6 2 5
uqfosuj 1 0 4 3 6 5 2
uqfujos 1 0 4 5 2 3 6
uqfujso 1 0 4 5 2 6 3
uqfuojs 1 0 4 5 3 2 6
uqfuosj 1 0 4 5 3 6 2
uqfusjo 1 0 4 5 6 2 3
uqfusoj 1 0 4 5 6 3 2
uqfsjou 1 0 4 6 2 3 5
uqfsjuo 1 0 4 6 2 5 3
uqfsoju 1 0 4 6 3 2 5
uqfsouj 1 0 4 6 3 5 2
uqfsujo 1 0 4 6 5 2 3
uqfsuoj 1 0 4 6 5 3 2
uqujofs 1 0 5 2 3 4 6
uqujosf 1 0 5 2 3 6 4
uqujfos 1 0 5 2 4 3 6
uqujfso 1 0 5 2 4 6 3
uqujsof 1 0 5 2 6 3 4
uqujsfo 1 0 5 2 6 4 3
uquojfs 1 0 5 3 2 4 6
uquojsf 1 0 5 3 2 6 4
uquofjs 1 0 5 3 4 2 6
uquofsj 1 0 5 3 4 6 2
uquosjf 1 0 5 3 6 2 4
uquosfj 1 0 5 3 6 4 2
uqufjos 1 0 5 4 2 3 6
uqufjso 1 0 5 4 2 6 3
uqufojs 1 0 5 4 3 2 6
uqufosj 1 0 5 4 3 6 2
uqufsjo 1 0 5 4 6 2 3
uqufsoj 1 0 5 4 6 3 2
uqusjof 1 0 5 6 2 3 4
uqusjfo 1 0 5 6 2 4 3
uqusojf 1 0 5 6 3 2 4
uqusofj 1 0 5 6 3 4 2
uqusfjo 1 0 5 6 4 2 3
uqusfoj 1 0 5 6 4 3 2
uqsjofu 1 0 6 2 3 4 5
uqsjouf 1 0 6 2 3 5 4
uqsjfou 1 0 6 2 4 3 5
uqsjfuo 1 0 6 2 4 5 3
uqsjuof 1 0 6 2 5 3 4
uqsjufo 1 0 6 2 5 4 3
uqsojfu 1 0 6 3 2 4 5
uqsojuf 1 0 6 3 2 5 4
uqsofju 1 0 6 3 4 2 5
uqsofuj 1 0 6 3 4 5 2
uqsoujf 1 0 6 3 5 2 4
uqsoufj 1 0 6 3 5 4 2
uqsfjou 1 0 6 4 2 3 5
uqsfjuo 1 0 6 4 2 5 3
uqsfoju 1 0 6 4 3 2 5
uqsfouj 1 0 6 4 3 5 2
uqsfujo 1 0 6 4 5 2 3
uqsfuoj 1 0 6 4 5 3 2
uqsujof 1 0 6 5 2 3 4
uqsujfo 1 0 6 5 2 4 3
uqsuojf 1 0 6 5 3 2 4
uqsuofj 1 0 6 5 3 4 2
uqsufjo 1 0 6 5 4 2 3
uqsufoj 1 0 6 5 4 3 2
ujqofus 1 2 0 3 4 5 6
ujqofsu 1 2 0 3 4 6 5
ujqoufs 1 2 0 3 5 4 6
ujqousf 1 2 0 3 5 6 4
ujqosfu 1 2 0 3 6 4 5
ujqosuf 1 2 0 3 6 5 4
ujqfous 1 2 0 4 3 5 6
ujqfosu 1 2 0 4 3 6 5
ujqfuos 1 2 0 4 5 3 6
ujqfuso 1 2 0 4 5 6 3
ujqfsou 1 2 0 4 6 3 5
ujqfsuo 1 2 0 4 6 5 3
ujquofs 1 2 0 5 3 4 6
ujquosf 1 2 0 5 3 6 4
ujqufos 1 2 0 5 4 3 6
ujqufso 1 2 0 5 4 6 3
ujqusof 1 2 0 5 6 3 4
ujqusfo 1 2 0 5 6 4 3
ujqsofu 1 2 0 6 3 4 5
ujqsouf 1 2 0 6 3 5 4
ujqsfou 1 2 0 6 4 3 5
ujqsfuo 1 2 0 6 4 5 3
ujqsuof 1 2 0 6 5 3 4
ujqsufo 1 2 0 6 5 4 3
ujoqfus 1 2 3 0 4 5 6
ujoqfsu 1 2 3 0 4 6 5
ujoqufs 1 2 3 0 5 4 6
ujoqusf 1 2 3 0 5 6 4
ujoqsfu 1 2 3 0 6 4 5
ujoqsuf 1 2 3 0 6 5 4
ujofqus 1 2 3 4 0 5 6
ujofqsu 1 2 3 4 0 6 5
ujofuqs 1 2 3 4 5 0 6
ujofusq 1 2 3 4 5 6 0
ujofsqu 1 2 3 4 6 0 5
ujofsuq 1 2 3 4 6 5 0
ujouqfs 1 2 3 5 0 4 6
ujouqsf 1 2 3 5 0 6 4
ujoufqs 1 2 3 5 4 0 6
ujoufsq 1 2 3 5 4 6 0
ujousqf 1 2 3 5 6 0 4
ujousfq 1 2 3 5 6 4 0
ujosqfu 1 2 3 6 0 4 5
ujosquf 1 2 3 6 0 5 4
ujosfqu 1 2 3 6 4 0 5
ujosfuq 1 2 3 6 4 5 0
ujosuqf 1 2 3 6 5 0 4
ujosufq 1 2 3 6 5 4 0
ujfqous 1 2 4 0 3 5 6
ujfqosu 1 2 4 0 3 6 5
ujfquos 1 2 4 0 5 3 6
ujfquso 1 2 4 0 5 6 3
ujfqsou 1 2 4 0 6 3 5
ujfqsuo 1 2 4 0 6 5 3
ujfoqus 1 2 4 3 0 5 6
ujfoqsu 1 2 4 3 0 6 5
ujfouqs 1 2 4 3 5 0 6
ujfousq 1 2 4 3 5 6 0
ujfosqu 1 2 4 3 6 0 5
ujfosuq 1 2 4 3 6 5 0
ujfuqos 1 2 4 5 0 3 6
ujfuqso 1 2 4 5 0 6 3
ujfuoqs 1 2 4 5 3 0 6
ujfuosq 1 2 4 5 3 6 0
ujfusqo 1 2 4 5 6 0 3
ujfusoq 1 2 4 5 6 3 0
ujfsqou 1 2 4 6 0 3 5
ujfsquo 1 2 4 6 0 5 3
ujfsoqu 1 2 4 6 3 0 5
ujfsouq 1 2 4 6 3 5 0
ujfsuqo 1 2 4 6 5 0 3
ujfsuoq 1 2 4 6 5 3 0
ujuqofs 1 2 5 0 3 4 6
ujuqosf 1 2 5 0 3 6 4
ujuqfos 1 2 5 0 4 3 6
ujuqfso 1 2 5 0 4 6 3
ujuqsof 1 2 5 0 6 3 4
ujuqsfo 1 2 5 0 6 4 3
ujuoqfs 1 2 5 3 0 4 6
ujuoqsf 1 2 5 3 0 6 4
ujuofqs 1 2 5 3 4 0 6
ujuofsq 1 2 5 3 4 6 0
ujuosqf 1 2 5 3 6 0 4
ujuosfq 1 2 5 3 6 4 0
ujufqos 1 2 5 4 0 3 6
ujufqso 1 2 5 4 0 6 3
ujufoqs 1 2 5 4 3 0 6
ujufosq 1 2 5 4 3 6 0
ujufsqo 1 2 5 4 6 0 3
ujufsoq 1 2 5 4 6 3 0
ujusqof 1 2 5 6 0 3 4
ujusqfo 1 2 5 6 0 4 3
ujusoqf 1 2 5 6 3 0 4
ujusofq 1 2 5 6 3 4 0
ujusfqo 1 2 5 6 4 0 3
ujusfoq 1 2 5 6 4 3 0
ujsqofu 1 2 6 0 3 4 5
ujsqouf 1 2 6 0 3 5 4
ujsqfou 1 2 6 0 4 3 5
ujsqfuo 1 2 6 0 4 5 3
ujsquof 1 2 6 0 5 3 4
ujsqufo 1 2 6 0 5 4 3
ujsoqfu 1 2 6 3 0 4 5
ujsoquf 1 2 6 3 0 5 4
ujsofqu 1 2 6 3 4 0 5
ujsofuq 1 2 6 3 4 5 0
ujsouqf 1 2 6 3 5 0 4
ujsoufq 1 2 6 3 5 4 0
ujsfqou 1 2 6 4 0 3 5
ujsfquo 1 2 6 4 0 5 3
ujsfoqu 1 2 6 4 3 0 5
ujsfouq 1 2 6 4 3 5 0
ujsfuqo 1 2 6 4 5 0 3
ujsfuoq 1 2 6 4 5 3 0
ujsuqof 1 2 6 5 0 3 4
ujsuqfo 1 2 6 5 0 4 3
ujsuoqf 1 2 6 5 3 0 4
ujsuofq 1 2 6 5 3 4 0
ujsufqo 1 2 6 5 4 0 3
ujsufoq 1 2 6 5 4 3 0
uoqjfus 1 3 0 2 4 5 6
uoqjfsu 1 3 0 2 4 6 5
uoqjufs 1 3 0 2 5 4 6
uoqjusf 1 3 0 2 5 6 4
uoqjsfu 1 3 0 2 6 4 5
uoqjsuf 1 3 0 2 6 5 4
uoqfjus 1 3 0 4 2 5 6
uoqfjsu 1 3 0 4 2 6 5
uoqfujs 1 3 0 4 5 2 6
uoqfusj 1 3 0 4 5 6 2
uoqfsju 1 3 0 4 6 2 5
uoqfsuj 1 3 0 4 6 5 2
uoqujfs 1 3 0 5 2 4 6
uoqujsf 1 3 0 5 2 6 4
uoqufjs 1 3 0 5 4 2 6
uoqufsj 1 3 0 5 4 6 2
uoqusjf 1 3 0 5 6 2 4
uoqusfj 1 3 0 5 6 4 2
uoqsjfu 1 3 0 6 2 4 5
uoqsjuf 1 3 0 6 2 5 4
uoqsfju 1 3 0 6 4 2 5
uoqsfuj 1 3 0 6 4 5 2
uoqsujf 1 3 0 6 5 2 4
uoqsufj 1 3 0 6 5 4 2
uojqfus 1 3 2 0 4 5 6
uojqfsu 1 3 2 0 4 6 5
uojqufs 1 3 2 0 5 4 6
uojqusf 1 3 2 0 5 6 4
uojqsfu 1 3 2 0 6 4 5
uojqsuf 1 3 2 0 6 5 4
uojfqus 1 3 2 4 0 5 6
uojfqsu 1 3 2 4 0 6 5
uojfuqs 1 3 2 4 5 0 6
uojfusq 1 3 2 4 5 6 0
uojfsqu 1 3 2 4 6 0 5
uojfsuq 1 3 2 4 6 5 0
uojuqfs 1 3 2 5 0 4 6
uojuqsf 1 3 2 5 0 6 4
uojufqs 1 3 2 5 4 0 6
uojufsq 1 3 2 5 4 6 0
uojusqf 1 3 2 5 6 0 4
uojusfq 1 3 2 5 6 4 0
uojsqfu 1 3 2 6 0 4 5
uojsquf 1 3 2 6 0 5 4
uojsfqu 1 3 2 6 4 0 5
uojsfuq 1 3 2 6 4 5 0
uojsuqf 1 3 2 6 5 0 4
uojsufq 1 3 2 6 5 4 0
uofqjus 1 3 4 0 2 5 6
uofqjsu 1 3 4 0 2 6 5
uofqujs 1 3 4 0 5 2 6
uofqusj 1 3 4 0 5 6 2
uofqsju 1 3 4 0 6 2 5
uofqsuj 1 3 4 0 6 5 2
uofjqus 1 3 4 2 0 5 6
uofjqsu 1 3 4 2 0 6 5
uofjuqs 1 3 4 2 5 0 6
uofjusq 1 3 4 2 5 6 0
uofjsqu 1 3 4 2 6 0 5
uofjsuq 1 3 4 2 6 5 0
uofuqjs 1 3 4 5 0 2 6
uofuqsj 1 3 4 5 0 6 2
uofujqs 1 3 4 5 2 0 6
uofujsq 1 3 4 5 2 6 0
uofusqj 1 3 4 5 6 0 2
uofusjq 1 3 4 5 6 2 0
uofsqju 1 3 4 6 0 2 5
uofsquj 1 3 4 6 0 5 2
uofsjqu 1 3 4 6 2 0 5
uofsjuq 1 3 4 6 2 5 0
uofsuqj 1 3 4 6 5 0 2
uofsujq 1 3 4 6 5 2 0
uouqjfs 1 3 5 0 2 4 6
uouqjsf 1 3 5 0 2 6 4
uouqfjs 1 3 5 0 4 2 6
uouqfsj 1 3 5 0 4 6 2
uouqsjf 1 3 5 0 6 2 4
uouqsfj 1 3 5 0 6 4 2
uoujqfs 1 3 5 2 0 4 6
uoujqsf 1 3 5 2 0 6 4
uoujfqs 1 3 5 2 4 0 6
uoujfsq 1 3 5 2 4 6 0
uoujsqf 1 3 5 2 6 0 4
uoujsfq 1 3 5 2 6 4 0
uoufqjs 1 3 5 4 0 2 6
uoufqsj 1 3 5 4 0 6 2
uoufjqs 1 3 5 4 2 0 6
uoufjsq 1 3 5 4 2 6 0
uoufsqj 1 3 5 4 6 0 2
uoufsjq 1 3 5 4 6 2 0
uousqjf 1 3 5 6 0 2 4
uousqfj 1 3 5 6 0 4 2
uousjqf 1 3 5 6 2 0 4
uousjfq 1 3 5 6 2 4 0
uousfqj 1 3 5 6 4 0 2
uousfjq 1 3 5 6 4 2 0
uosqjfu 1 3 6 0 2 4 5
uosqjuf 1 3 6 0 2 5 4
uosqfju 1 3 6 0 4 2 5
uosqfuj 1 3 6 0 4 5 2
uosqujf 1 3 6 0 5 2 4
uosqufj 1 3 6 0 5 4 2
uosjqfu 1 3 6 2 0 4 5
uosjquf 1 3 6 2 0 5 4
uosjfqu 1 3 6 2 4 0 5
uosjfuq 1 3 6 2 4 5 0
uosjuqf 1 3 6 2 5 0 4
uosjufq 1 3 6 2 5 4 0
uosfqju 1 3 6 4 0 2 5
uosfquj 1 3 6 4 0 5 2
uosfjqu 1 3 6 4 2 0 5
uosfjuq 1 3 6 4 2 5 0
uosfuqj 1 3 6 4 5 0 2
uosfujq 1 3 6 4 5 2 0
uosuqjf 1 3 6 5 0 2 4
uosuqfj 1 3 6 5 0 4 2
uosujqf 1 3 6 5 2 0 4
uosujfq 1 3 6 5 2 4 0
uosufqj 1 3 6 5 4 0 2
uosufjq 1 3 6 5 4 2 0
ufqjous 1 4 0 2 3 5 6
ufqjosu 1 4 0 2 3 6 5
ufqjuos 1 4 0 2 5 3 6
ufqjuso 1 4 0 2 5 6 3
ufqjsou 1 4 0 2 6 3 5
ufqjsuo 1 4 0 2 6 5 3
ufqojus 1 4 0 3 2 5 6
ufqojsu 1 4 0 3 2 6 5
ufqoujs 1 4 0 3 5 2 6
ufqousj 1 4 0 3 5 6 2
ufqosju 1 4 0 3 6 2 5
ufqosuj 1 4 0 3 6 5 2
ufqujos 1 4 0 5 2 3 6
ufqujso 1 4 0 5 2 6 3
ufquojs 1 4 0 5 3 2 6
ufquosj 1 4 0 5 3 6 2
ufqusjo 1 4 0 5 6 2 3
ufqusoj 1 4 0 5 6 3 2
ufqsjou 1 4 0 6 2 3 5
ufqsjuo 1 4 0 6 2 5 3
ufqsoju 1 4 0 6 3 2 5
ufqsouj 1 4 0 6 3 5 2
ufqsujo 1 4 0 6 5 2 3
ufqsuoj 1 4 0 6 5 3 2
ufjqous 1 4 2 0 3 5 6
ufjqosu 1 4 2 0 3 6 5
ufjquos 1 4 2 0 5 3 6
ufjquso 1 4 2 0 5 6 3
ufjqsou 1 4 2 0 6 3 5
ufjqsuo 1 4 2 0 6 5 3
ufjoqus 1 4 2 3 0 5 6
ufjoqsu 1 4 2 3 0 6 5
ufjouqs 1 4 2 3 5 0 6
ufjousq 1 4 2 3 5 6 0
ufjosqu 1 4 2 3 6 0 5
ufjosuq 1 4 2 3 6 5 0
ufjuqos 1 4 2 5 0 3 6
ufjuqso 1 4 2 5 0 6 3
ufjuoqs 1 4 2 5 3 0 6
ufjuosq 1 4 2 5 3 6 0
ufjusqo 1 4 2 5 6 0 3
ufjusoq 1 4 2 5 6 3 0
ufjsqou 1 4 2 6 0 3 5
ufjsquo 1 4 2 6 0 5 3
ufjsoqu 1 4 2 6 3 0 5
ufjsouq 1 4 2 6 3 5 0
ufjsuqo 1 4 2 6 5 0 3
ufjsuoq 1 4 2 6 5 3 0
ufoqjus 1 4 3 0 2 5 6
ufoqjsu 1 4 3 0 2 6 5
ufoqujs 1 4 3 0 5 2 6
ufoqusj 1 4 3 0 5 6 2
ufoqsju 1 4 3 0 6 2 5
ufoqsuj 1 4 3 0 6 5 2
ufojqus 1 4 3 2 0 5 6
ufojqsu 1 4 3 2 0 6 5
ufojuqs 1 4 3 2 5 0 6
ufojusq 1 4 3 2 5 6 0
ufojsqu 1 4 3 2 6 0 5
ufojsuq 1 4 3 2 6 5 0
ufouqjs 1 4 3 5 0 2 6
ufouqsj 1 4 3 5 0 6 2
ufoujqs 1 4 3 5 2 0 6
ufoujsq 1 4 3 5 2 6 0
ufousqj 1 4 3 5 6 0 2
ufousjq 1 4 3 5 6 2 0
ufosqju 1 4 3 6 0 2 5
ufosquj 1 4 3 6 0 5 2
ufosjqu 1 4 3 6 2 0 5
ufosjuq 1 4 3 6 2 5 0
ufosuqj 1 4 3 6 5 0 2
ufosujq 1 4 3 6 5 2 0
ufuqjos 1 4 5 0 2 3 6
ufuqjso 1 4 5 0 2 6 3
ufuqojs 1 4 5 0 3 2 6
ufuqosj 1 4 5 0 3 6 2
ufuqsjo 1 4 5 0 6 2 3
ufuqsoj 1 4 5 0 6 3 2
ufujqos 1 4 5 2 0 3 6
ufujqso 1 4 5 2 0 6 3
ufujoqs 1 4 5 2 3 0 6
ufujosq 1 4 5 2 3 6 0
ufujsqo 1 4 5 2 6 0 3
ufujsoq 1 4 5 2 6 3 0
ufuoqjs 1 4 5 3 0 2 6
ufuoqsj 1 4 5 3 0 6 2
ufuojqs 1 4 5 3 2 0 6
ufuojsq 1 4 5 3 2 6 0
ufuosqj 1 4 5 3 6 0 2
ufuosjq 1 4 5 3 6 2 0
ufusqjo 1 4 5 6 0 2 3
ufusqoj 1 4 5 6 0 3 2
ufusjqo 1 4 5 6 2 0 3
ufusjoq 1 4 5 6 2 3 0
ufusoqj 1 4 5 6 3 0 2
ufusojq 1 4 5 6 3 2 0
ufsqjou 1 4 6 0 2 3 5
ufsqjuo 1 4 6 0 2 5 3
ufsqoju 1 4 6 0 3 2 5
ufsqouj 1 4 6 0 3 5 2
ufsqujo 1 4 6 0 5 2 3
ufsquoj 1 4 6 0 5 3 2
ufsjqou 1 4 6 2 0 3 5
ufsjquo 1 4 6 2 0 5 3
ufsjoqu 1 4 6 2 3 0 5
ufsjouq 1 4 6 2 3 5 0
ufsjuqo 1 4 6 2 5 0 3
ufsjuoq 1 4 6 2 5 3 0
ufsoqju 1 4 6 3 0 2 5
ufsoquj 1 4 6 3 0 5 2
ufsojqu 1 4 6 3 2 0 5
ufsojuq 1 4 6 3 2 5 0
ufsouqj 1 4 6 3 5 0 2
ufsoujq 1 4 6 3 5 2 0
ufsuqjo 1 4 6 5 0 2 3
ufsuqoj 1 4 6 5 0 3 2
ufsujqo 1 4 6 5 2 0 3
ufsujoq 1 4 6 5 2 3 0
ufsuoqj 1 4 6 5 3 0 2
ufsuojq 1 4 6 5 3 2 0
uuqjofs 1 5 0 2 3 4 6
uuqjosf 1 5 0 2 3 6 4
uuqjfos 1 5 0 2 4 3 6
uuqjfso 1 5 0 2 4 6 3
uuqjsof 1 5 0 2 6 3 4
uuqjsfo 1 5 0 2 6 4 3
uuqojfs 1 5 0 3 2 4 6
uuqojsf 1 5 0 3 2 6 4
uuqofjs 1 5 0 3 4 2 6
uuqofsj 1 5 0 3 4 6 2
uuqosjf 1 5 0 3 6 2 4
uuqosfj 1 5 0 3 6 4 2
uuqfjos 1 5 0 4 2 3 6
uuqfjso 1 5 0 4 2 6 3
uuqfojs 1 5 0 4 3 2 6
uuqfosj 1 5 0 4 3 6 2
uuqfsjo 1 5 0 4 6 2 3
uuqfsoj 1 5 0 4 6 3 2
uuqsjof 1 5 0 6 2 3 4
uuqsjfo 1 5 0 6 2 4 3
uuqsojf 1 5 0 6 3 2 4
uuqsofj 1 5 0 6 3 4 2
uuqsfjo 1 5 0 6 4 2 3
uuqsfoj 1 5 0 6 4 3 2
uujqofs 1 5 2 0 3 4 6
uujqosf 1 5 2 0 3 6 4
uujqfos 1 5 2 0 4 3 6
uujqfso 1 5 2 0 4 6 3
uujqsof 1 5 2 0 6 3 4
uujqsfo 1 5 2 0 6 4 3
uujoqfs 1 5 2 3 0 4 6
uujoqsf 1 5 2 3 0 6 4
uujofqs 1 5 2 3 4 0 6
uujofsq 1 5 2 3 4 6 0
uujosqf 1 5 2 3 6 0 4
uujosfq 1 5 2 3 6 4 0
uujfqos 1 5 2 4 0 3 6
uujfqso 1 5 2 4 0 6 3
uujfoqs 1 5 2 4 3 0 6
uujfosq 1 5 2 4 3 6 0
uujfsqo 1 5 2 4 6 0 3
uujfsoq 1 5 2 4 6 3 0
uujsqof 1 5 2 6 0 3 4
uujsqfo 1 5 2 6 0 4 3
uujsoqf 1 5 2 6 3 0 4
uujsofq 1 5 2 6 3 4 0
uujsfqo 1 5 2 6 4 0 3
uujsfoq 1 5 2 6 4 3 0
uuoqjfs 1 5 3 0 2 4 6
uuoqjsf 1 5 3 0 2 6 4
uuoqfjs 1 5 3 0 4 2 6
uuoqfsj 1 5 3 0 4 6 2
uuoqsjf 1 5 3 0 6 2 4
uuoqsfj 1 5 3 0 6 4 2
uuojqfs 1 5 3 2 0 4 6
uuojqsf 1 5 3 2 0 6 4
uuojfqs 1 5 3 2 4 0 6
uuojfsq 1 5 3 2 4 6 0
uuojsqf 1 5 3 2 6 0 4
uuojsfq 1 5 3 2 6 4 0
uuofqjs 1 5 3 4 0 2 6
uuofqsj 1 5 3 4 0 6 2
uuofjqs 1 5 3 4 2 0 6
uuofjsq 1 5 3 4 2 6 0
uuofsqj 1 5 3 4 6 0 2
uuofsjq 1 5 3 4 6 2 0
uuosqjf 1 5 3 6 0 2 4
uuosqfj 1 5 3 6 0 4 2
uuosjqf 1 5 3 6 2 0 4
uuosjfq 1 5 3 6 2 4 0
uuosfqj 1 5 3 6 4 0 2
uuosfjq 1 5 3 6 4 2 0
uufqjos 1 5 4 0 2 3 6
uufqjso 1 5 4 0 2 6 3
uufqojs 1 5 4 0 3 2 6
uufqosj 1 5 4 0 3 6 2
uufqsjo 1 5 4 0 6 2 3
uufqsoj 1 5 4 0 6 3 2
uufjqos 1 5 4 2 0 3 6
uufjqso 1 5 4 2 0 6 3
uufjoqs 1 5 4 2 3 0 6
uufjosq 1 5 4 2 3 6 0
uufjsqo 1 5 4 2 6 0 3
uufjsoq 1 5 4 2 6 3 0
uufoqjs 1 5 4 3 0 2 6
uufoqsj 1 5 4 3 0 6 2
uufojqs 1 5 4 3 2 0 6
uufojsq 1 5 4 3 2 6 0
uufosqj 1 5 4 3 6 0 2
uufosjq 1 5 4 3 6 2 0
uufsqjo 1 5 4 6 0 2 3
uufsqoj 1 5 4 6 0 3 2
uufsjqo 1 5 4 6 2 0 3
uufsjoq 1 5 4 6 2 3 0
uufsoqj 1 5 4 6 3 0 2
uufsojq 1 5 4 6 3 2 0
uusqjof 1 5 6 0 2 3 4
uusqjfo 1 5 6 0 2 4 3
uusqojf 1 5 6 0 3 2 4
uusqofj 1 5 6 0 3 4 2
uusqfjo 1 5 6 0 4 2 3
uusqfoj 1 5 6 0 4 3 2
uusjqof 1 5 6 2 0 3 4
uusjqfo 1 5 6 2 0 4 3
uusjoqf 1 5 6 2 3 0 4
uusjofq 1 5 6 2 3 4 0
uusjfqo 1 5 6 2 4 0 3
uusjfoq 1 5 6 2 4 3 0
uusoqjf 1 5 6 3 0 2 4
uusoqfj 1 5 6 3 0 4 2
uusojqf 1 5 6 3 2 0 4
uusojfq 1 5 6 3 2 4 0
uusofqj 1 5 6 3 4 0 2
uusofjq 1 5 6 3 4 2 0
uusfqjo 1 5 6 4 0 2 3
uusfqoj 1 5 6 4 0 3 2
uusfjqo 1 5 6 4 2 0 3
uusfjoq 1 5 6 4 2 3 0
uusfoqj 1 5 6 4 3 0 2
uusfojq 1 5 6 4 3 2 0
usqjofu 1 6 0 2 3 4 5
usqjouf 1 6 0 2 3 5 4
usqjfou 1 6 0 2 4 3 5
usqjfuo 1 6 0 2 4 5 3
usqjuof 1 6 0 2 5 3 4
usqjufo 1 6 0 2 5 4 3
usqojfu 1 6 0 3 2 4 5
usqojuf 1 6 0 3 2 5 4
usqofju 1 6 0 3 4 2 5
usqofuj 1 6 0 3 4 5 2
usqoujf 1 6 0 3 5 2 4
usqoufj 1 6 0 3 5 4 2
usqfjou 1 6 0 4 2 3 5
usqfjuo 1 6 0 4 2 5 3
usqfoju 1 6 0 4 3 2 5
usqfouj 1 6 0 4 3 5 2
usqfujo 1 6 0 4 5 2 3
usqfuoj 1 6 0 4 5 3 2
usqujof 1 6 0 5 2 3 4
usqujfo 1 6 0 5 2 4 3
usquojf 1 6 0 5 3 2 4
usquofj 1 6 0 5 3 4 2
usqufjo 1 6 0 5 4 2 3
usqufoj 1 6 0 5 4 3 2
usjqofu 1 6 2 0 3 4 5
usjqouf 1 6 2 0 3 5 4
usjqfou 1 6 2 0 4 3 5
usjqfuo 1 6 2 0 4 5 3
usjquof 1 6 2 0 5 3 4
usjqufo 1 6 2 0 5 4 3
usjoqfu 1 6 2 3 0 4 5
usjoquf 1 6 2 3 0 5 4
usjofqu 1 6 2 3 4 0 5
usjofuq 1 6 2 3 4 5 0
usjouqf 1 6 2 3 5 0 4
usjoufq 1 6 2 3 5 4 0
usjfqou 1 6 2 4 0 3 5
usjfquo 1 6 2 4 0 5 3
usjfoqu 1 6 2 4 3 0 5
usjfouq 1 6 2 4 3 5 0
usjfuqo 1 6 2 4 5 0 3
usjfuoq 1 6 2 4 5 3 0
