Shift: 6
gkzevki 0 1 2 3 4 5 6
givezkk 0 6 4 3 2 5 1
givekkz 0 6 4 3 5 1 2
givekzk 0 6 4 3 5 2 1
givkkze 0 6 4 5 1 2 3
givkkez 0 6 4 5 1 3 2
givkzke 0 6 4 5 2 1 3
givkzek 0 6 4 5 2 3 1
givkekz 0 6 4 5 3 1 2
givkezk 0 6 4 5 3 2 1
gikkzev 0 6 5 1 2 3 4
gikkzve 0 6 5 1 2 4 3
gikkezv 0 6 5 1 3 2 4
gikkevz 0 6 5 1 3 4 2
gikkvze 0 6 5 1 4 2 3
gikkvez 0 6 5 1 4 3 2
gikzkev 0 6 5 2 1 3 4
gikzkve 0 6 5 2 1 4 3
gikzekv 0 6 5 2 3 1 4
gikzevk 0 6 5 2 3 4 1
gikzvke 0 6 5 2 4 1 3
gikzvek 0 6 5 2 4 3 1
gikekzv 0 6 5 3 1 2 4
gikekvz 0 6 5 3 1 4 2
gikezkv 0 6 5 3 2 1 4
gikezvk 0 6 5 3 2 4 1
gikevkz 0 6 5 3 4 1 2
gikevzk 0 6 5 3 4 2 1
gikvkze 0 6 5 4 1 2 3
gikvkez 0 6 5 4 1 3 2
gikvzke 0 6 5 4 2 1 3
gikvzek 0 6 5 4 2 3 1
gikvekz 0 6 5 4 3 1 2
gikvezk 0 6 5 4 3 2 1
kgzevki 1 0 2 3 4 5 6
kgzevik 1 0 2 3 4 6 5
kgzekvi 1 0 2 3 5 4 6
kgzekiv 1 0 2 3 5 6 4
kgzeivk 1 0 2 3 6 4 5
kgzeikv 1 0 2 3 6 5 4
kgzveki 1 0 2 4 3 5 6
kgzveik 1 0 2 4 3 6 5
kgzvkei 1 0 2 4 5 3 6
kgzvkie 1 0 2 4 5 6 3
kgzviek 1 0 2 4 6 3 5
kgzvike 1 0 2 4 6 5 3
kgzkevi 1 0 2 5 3 4 6
kgzkeiv 1 0 2 5 3 6 4
kgzkvei 1 0 2 5 4 3 6
kgzkvie 1 0 2 5 4 6 3
kgzkiev 1 0 2 5 6 3 4
kgzkive 1 0 2 5 6 4 3
kgzievk 1 0 2 6 3 4 5
kgziekv 1 0 2 6 3 5 4
kgzivek 1 0 2 6 4 3 5
kgzivke 1 0 2 6 4 5 3
kgzikev 1 0 2 6 5 3 4
kgzikve 1 0 2 6 5 4 3
kgezvki 1 0 3 2 4 5 6
kgezvik 1 0 3 2 4 6 5
kgezkvi 1 0 3 2 5 4 6
kgezkiv 1 0 3 2 5 6 4
kgezivk 1 0 3 2 6 4 5
kgezikv 1 0 3 2 6 5 4
kgevzki 1 0 3 4 2 5 6
kgevzik 1 0 3 4 2 6 5
kgevkzi 1 0 3 4 5 2 6
kgevkiz 1 0 3 4 5 6 2
kgevizk 1 0 3 4 6 2 5
kgevikz 1 0 3 4 6 5 2
kgekzvi 1 0 3 5 2 4 6
kgekziv 1 0 3 5 2 6 4
kgekvzi 1 0 3 5 4 2 6
kgekviz 1 0 3 5 4 6 2
kgekizv 1 0 3 5 6 2 4
kgekivz 1 0 3 5 6 4 2
kgeizvk 1 0 3 6 2 4 5
kgeizkv 1 0 3 6 2 5 4
kgeivzk 1 0 3 6 4 2 5
kgeivkz 1 0 3 6 4 5 2
kgeikzv 1 0 3 6 5 2 4
kgeikvz 1 0 3 6 5 4 2
kgvzeki 1 0 4 2 3 5 6
kgvzeik 1 0 4 2 3 6 5
kgvzkei 1 0 4 2 5 3 6
kgvzkie 1 0 4 2 5 6 3
kgvziek 1 0 4 2 6 3 5
kgvzike 1 0 4 2 6 5 3
kgvezki 1 0 4 3 2 5 6
kgvezik 1 0 4 3 2 6 5
kgvekzi 1 0 4 3 5 2 6
kgvekiz 1 0 4 3 5 6 2
kgveizk 1 0 4 3 6 2 5
kgveikz 1 0 4 3 6 5 2
kgvkzei 1 0 4 5 2 3 6
kgvkzie 1 0 4 5 2 6 3
kgvkezi 1 0 4 5 3 2 6
kgvkeiz 1 0 4 5 3 6 2
kgvkize 1 0 4 5 6 2 3
kgvkiez 1 0 4 5 6 3 2
kgvizek 1 0 4 6 2 3 5
kgvizke 1 0 4 6 2 5 3
kgviezk 1 0 4 6 3 2 5
kgviekz 1 0 4 6 3 5 2
kgvikze 1 0 4 6 5 2 3
kgvikez 1 0 4 6 5 3 2
kgkzevi 1 0 5 2 3 4 6
kgkzeiv 1 0 5 2 3 6 4
kgkzvei 1 0 5 2 4 3 6
kgkzvie 1 0 5 2 4 6 3
kgkziev 1 0 5 2 6 3 4
kgkzive 1 0 5 2 6 4 3
kgkezvi 1 0 5 3 2 4 6
kgkeziv 1 0 5 3 2 6 4
kgkevzi 1 0 5 3 4 2 6
kgkeviz 1 0 5 3 4 6 2
kgkeizv 1 0 5 3 6 2 4
kgkeivz 1 0 5 3 6 4 2
kgkvzei 1 0 5 4 2 3 6
kgkvzie 1 0 5 4 2 6 3
kgkvezi 1 0 5 4 3 2 6
kgkveiz 1 0 5 4 3 6 2
kgkvize 1 0 5 4 6 2 3
kgkviez 1 0 5 4 6 3 2
kgkizev 1 0 5 6 2 3 4
kgkizve 1 0 5 6 2 4 3
kgkiezv 1 0 5 6 3 2 4
kgkievz 1 0 5 6 3 4 2
kgkivze 1 0 5 6 4 2 3
kgkivez 1 0 5 6 4 3 2
kgizevk 1 0 6 2 3 4 5
kgizekv 1 0 6 2 3 5 4
kgizvek 1 0 6 2 4 3 5
kgizvke 1 0 6 2 4 5 3
kgizkev 1 0 6 2 5 3 4
kgizkve 1 0 6 2 5 4 3
kgiezvk 1 0 6 3 2 4 5
kgiezkv 1 0 6 3 2 5 4
kgievzk 1 0 6 3 4 2 5
kgievkz 1 0 6 3 4 5 2
kgiekzv 1 0 6 3 5 2 4
kgiekvz 1 0 6 3 5 4 2
kgivzek 1 0 6 4 2 3 5
kgivzke 1 0 6 4 2 5 3
kgivezk 1 0 6 4 3 2 5
kgivekz 1 0 6 4 3 5 2
kgivkze 1 0 6 4 5 2 3
kgivkez 1 0 6 4 5 3 2
kgikzev 1 0 6 5 2 3 4
kgikzve 1 0 6 5 2 4 3
kgikezv 1 0 6 5 3 2 4
kgikevz 1 0 6 5 3 4 2
kgikvze 1 0 6 5 4 2 3
kgikvez 1 0 6 5 4 3 2
kzgevki 1 2 0 3 4 5 6
kzgevik 1 2 0 3 4 6 5
kzgekvi 1 2 0 3 5 4 6
kzgekiv 1 2 0 3 5 6 4
kzgeivk 1 2 0 3 6 4 5
kzgeikv 1 2 0 3 6 5 4
kzgveki 1 2 0 4 3 5 6
kzgveik 1 2 0 4 3 6 5
kzgvkei 1 2 0 4 5 3 6
kzgvkie 1 2 0 4 5 6 3
kzgviek 1 2 0 4 6 3 5
kzgvike 1 2 0 4 6 5 3
kzgkevi 1 2 0 5 3 4 6
kzgkeiv 1 2 0 5 3 6 4
kzgkvei 1 2 0 5 4 3 6
kzgkvie 1 2 0 5 4 6 3
kzgkiev 1 2 0 5 6 3 4
kzgkive 1 2 0 5 6 4 3
kzgievk 1 2 0 6 3 4 5
kzgiekv 1 2 0 6 3 5 4
kzgivek 1 2 0 6 4 3 5
kzgivke 1 2 0 6 4 5 3
kzgikev 1 2 0 6 5 3 4
kzgikve 1 2 0 6 5 4 3
kzegvki 1 2 3 0 4 5 6
kzegvik 1 2 3 0 4 6 5
kzegkvi 1 2 3 0 5 4 6
kzegkiv 1 2 3 0 5 6 4
kzegivk 1 2 3 0 6 4 5
kzegikv 1 2 3 0 6 5 4
kzevgki 1 2 3 4 0 5 6
kzevgik 1 2 3 4 0 6 5
kzevkgi 1 2 3 4 5 0 6
kzevkig 1 2 3 4 5 6 0
kzevigk 1 2 3 4 6 0 5
kzevikg 1 2 3 4 6 5 0
kzekgvi 1 2 3 5 0 4 6
kzekgiv 1 2 3 5 0 6 4
kzekvgi 1 2 3 5 4 0 6
kzekvig 1 2 3 5 4 6 0
kzekigv 1 2 3 5 6 0 4
kzekivg 1 2 3 5 6 4 0
kzeigvk 1 2 3 6 0 4 5
kzeigkv 1 2 3 6 0 5 4
kzeivgk 1 2 3 6 4 0 5
kzeivkg 1 2 3 6 4 5 0
kzeikgv 1 2 3 6 5 0 4
kzeikvg 1 2 3 6 5 4 0
kzvgeki 1 2 4 0 3 5 6
kzvgeik 1 2 4 0 3 6 5
kzvgkei 1 2 4 0 5 3 6
kzvgkie 1 2 4 0 5 6 3
kzvgiek 1 2 4 0 6 3 5
kzvgike 1 2 4 0 6 5 3
kzvegki 1 2 4 3 0 5 6
kzvegik 1 2 4 3 0 6 5
kzvekgi 1 2 4 3 5 0 6
kzvekig 1 2 4 3 5 6 0
kzveigk 1 2 4 3 6 0 5
kzveikg 1 2 4 3 6 5 0
kzvkgei 1 2 4 5 0 3 6
kzvkgie 1 2 4 5 0 6 3
kzvkegi 1 2 4 5 3 0 6
kzvkeig 1 2 4 5 3 6 0
kzvkige 1 2 4 5 6 0 3
kzvkieg 1 2 4 5 6 3 0
kzvigek 1 2 4 6 0 3 5
kzvigke 1 2 4 6 0 5 3
kzviegk 1 2 4 6 3 0 5
kzviekg 1 2 4 6 3 5 0
kzvikge 1 2 4 6 5 0 3
kzvikeg 1 2 4 6 5 3 0
kzkgevi 1 2 5 0 3 4 6
kzkgeiv 1 2 5 0 3 6 4
kzkgvei 1 2 5 0 4 3 6
kzkgvie 1 2 5 0 4 6 3
kzkgiev 1 2 5 0 6 3 4
kzkgive 1 2 5 0 6 4 3
kzkegvi 1 2 5 3 0 4 6
kzkegiv 1 2 5 3 0 6 4
kzkevgi 1 2 5 3 4 0 6
kzkevig 1 2 5 3 4 6 0
kzkeigv 1 2 5 3 6 0 4
kzkeivg 1 2 5 3 6 4 0
kzkvgei 1 2 5 4 0 3 6
kzkvgie 1 2 5 4 0 6 3
kzkvegi 1 2 5 4 3 0 6
kzkveig 1 2 5 4 3 6 0
kzkvige 1 2 5 4 6 0 3
kzkvieg 1 2 5 4 6 3 0
kzkigev 1 2 5 6 0 3 4
kzkigve 1 2 5 6 0 4 3
kzkiegv 1 2 5 6 3 0 4
kzkievg 1 2 5 6 3 4 0
kzkivge 1 2 5 6 4 0 3
kzkiveg 1 2 5 6 4 3 0
kzigevk 1 2 6 0 3 4 5
kzigekv 1 2 6 0 3 5 4
kzigvek 1 2 6 0 4 3 5
kzigvke 1 2 6 0 4 5 3
kzigkev 1 2 6 0 5 3 4
kzigkve 1 2 6 0 5 4 3
kziegvk 1 2 6 3 0 4 5
kziegkv 1 2 6 3 0 5 4
kzievgk 1 2 6 3 4 0 5
kzievkg 1 2 6 3 4 5 0
kziekgv 1 2 6 3 5 0 4
kziekvg 1 2 6 3 5 4 0
kzivgek 1 2 6 4 0 3 5
kzivgke 1 2 6 4 0 5 3
kzivegk 1 2 6 4 3 0 5
kzivekg 1 2 6 4 3 5 0
kzivkge 1 2 6 4 5 0 3
kzivkeg 1 2 6 4 5 3 0
kzikgev 1 2 6 5 0 3 4
kzikgve 1 2 6 5 0 4 3
kzikegv 1 2 6 5 3 0 4
kzikevg 1 2 6 5 3 4 0
kzikvge 1 2 6 5 4 0 3
kzikveg 1 2 6 5 4 3 0
kegzvki 1 3 0 2 4 5 6
kegzvik 1 3 0 2 4 6 5
kegzkvi 1 3 0 2 5 4 6
kegzkiv 1 3 0 2 5 6 4
kegzivk 1 3 0 2 6 4 5
kegzikv 1 3 0 2 6 5 4
kegvzki 1 3 0 4 2 5 6
kegvzik 1 3 0 4 2 6 5
kegvkzi 1 3 0 4 5 2 6
kegvkiz 1 3 0 4 5 6 2
kegvizk 1 3 0 4 6 2 5
kegvikz 1 3 0 4 6 5 2
kegkzvi 1 3 0 5 2 4 6
kegkziv 1 3 0 5 2 6 4
kegkvzi 1 3 0 5 4 2 6
kegkviz 1 3 0 5 4 6 2
kegkizv 1 3 0 5 6 2 4
kegkivz 1 3 0 5 6 4 2
kegizvk 1 3 0 6 2 4 5
kegizkv 1 3 0 6 2 5 4
kegivzk 1 3 0 6 4 2 5
kegivkz 1 3 0 6 4 5 2
kegikzv 1 3 0 6 5 2 4
kegikvz 1 3 0 6 5 4 2
kezgvki 1 3 2 0 4 5 6
kezgvik 1 3 2 0 4 6 5
kezgkvi 1 3 2 0 5 4 6
kezgkiv 1 3 2 0 5 6 4
kezgivk 1 3 2 0 6 4 5
kezgikv 1 3 2 0 6 5 4
kezvgki 1 3 2 4 0 5 6
kezvgik 1 3 2 4 0 6 5
kezvkgi 1 3 2 4 5 0 6
kezvkig 1 3 2 4 5 6 0
kezvigk 1 3 2 4 6 0 5
kezvikg 1 3 2 4 6 5 0
kezkgvi 1 3 2 5 0 4 6
kezkgiv 1 3 2 5 0 6 4
kezkvgi 1 3 2 5 4 0 6
kezkvig 1 3 2 5 4 6 0
kezkigv 1 3 2 5 6 0 4
kezkivg 1 3 2 5 6 4 0
kezigvk 1 3 2 6 0 4 5
kezigkv 1 3 2 6 0 5 4
kezivgk 1 3 2 6 4 0 5
kezivkg 1 3 2 6 4 5 0
kezikgv 1 3 2 6 5 0 4
kezikvg 1 3 2 6 5 4 0
kevgzki 1 3 4 0 2 5 6
kevgzik 1 3 4 0 2 6 5
kevgkzi 1 3 4 0 5 2 6
kevgkiz 1 3 4 0 5 6 2
kevgizk 1 3 4 0 6 2 5
kevgikz 1 3 4 0 6 5 2
kevzgki 1 3 4 2 0 5 6
kevzgik 1 3 4 2 0 6 5
kevzkgi 1 3 4 2 5 0 6
kevzkig 1 3 4 2 5 6 0
kevzigk 1 3 4 2 6 0 5
kevzikg 1 3 4 2 6 5 0
kevkgzi 1 3 4 5 0 2 6
kevkgiz 1 3 4 5 0 6 2
kevkzgi 1 3 4 5 2 0 6
kevkzig 1 3 4 5 2 6 0
kevkigz 1 3 4 5 6 0 2
kevkizg 1 3 4 5 6 2 0
kevigzk 1 3 4 6 0 2 5
kevigkz 1 3 4 6 0 5 2
kevizgk 1 3 4 6 2 0 5
kevizkg 1 3 4 6 2 5 0
kevikgz 1 3 4 6 5 0 2
kevikzg 1 3 4 6 5 2 0
kekgzvi 1 3 5 0 2 4 6
kekgziv 1 3 5 0 2 6 4
kekgvzi 1 3 5 0 4 2 6
kekgviz 1 3 5 0 4 6 2
kekgizv 1 3 5 0 6 2 4
kekgivz 1 3 5 0 6 4 2
kekzgvi 1 3 5 2 0 4 6
kekzgiv 1 3 5 2 0 6 4
kekzvgi 1 3 5 2 4 0 6
kekzvig 1 3 5 2 4 6 0
kekzigv 1 3 5 2 6 0 4
kekzivg 1 3 5 2 6 4 0
kekvgzi 1 3 5 4 0 2 6
kekvgiz 1 3 5 4 0 6 2
kekvzgi 1 3 5 4 2 0 6
kekvzig 1 3 5 4 2 6 0
kekvigz 1 3 5 4 6 0 2
kekvizg 1 3 5 4 6 2 0
kekigzv 1 3 5 6 0 2 4
kekigvz 1 3 5 6 0 4 2
kekizgv 1 3 5 6 2 0 4
kekizvg 1 3 5 6 2 4 0
kekivgz 1 3 5 6 4 0 2
kekivzg 1 3 5 6 4 2 0
keigzvk 1 3 6 0 2 4 5
keigzkv 1 3 6 0 2 5 4
keigvzk 1 3 6 0 4 2 5
keigvkz 1 3 6 0 4 5 2
keigkzv 1 3 6 0 5 2 4
keigkvz 1 3 6 0 5 4 2
keizgvk 1 3 6 2 0 4 5
keizgkv 1 3 6 2 0 5 4
keizvgk 1 3 6 2 4 0 5
keizvkg 1 3 6 2 4 5 0
keizkgv 1 3 6 2 5 0 4
keizkvg 1 3 6 2 5 4 0
keivgzk 1 3 6 4 0 2 5
keivgkz 1 3 6 4 0 5 2
keivzgk 1 3 6 4 2 0 5
keivzkg 1 3 6 4 2 5 0
keivkgz 1 3 6 4 5 0 2
keivkzg 1 3 6 4 5 2 0
keikgzv 1 3 6 5 0 2 4
keikgvz 1 3 6 5 0 4 2
keikzgv 1 3 6 5 2 0 4
keikzvg 1 3 6 5 2 4 0
keikvgz 1 3 6 5 4 0 2
keikvzg 1 3 6 5 4 2 0
kvgzeki 1 4 0 2 3 5 6
kvgzeik 1 4 0 2 3 6 5
kvgzkei 1 4 0 2 5 3 6
kvgzkie 1 4 0 2 5 6 3
kvgziek 1 4 0 2 6 3 5
kvgzike 1 4 0 2 6 5 3
kvgezki 1 4 0 3 2 5 6
kvgezik 1 4 0 3 2 6 5
kvgekzi 1 4 0 3 5 2 6
kvgekiz 1 4 0 3 5 6 2
kvgeizk 1 4 0 3 6 2 5
kvgeikz 1 4 0 3 6 5 2
kvgkzei 1 4 0 5 2 3 6
kvgkzie 1 4 0 5 2 6 3
kvgkezi 1 4 0 5 3 2 6
kvgkeiz 1 4 0 5 3 6 2
kvgkize 1 4 0 5 6 2 3
kvgkiez 1 4 0 5 6 3 2
kvgizek 1 4 0 6 2 3 5
kvgizke 1 4 0 6 2 5 3
kvgiezk 1 4 0 6 3 2 5
kvgiekz 1 4 0 6 3 5 2
kvgikze 1 4 0 6 5 2 3
kvgikez 1 4 0 6 5 3 2
kvzgeki 1 4 2 0 3 5 6
kvzgeik 1 4 2 0 3 6 5
kvzgkei 1 4 2 0 5 3 6
kvzgkie 1 4 2 0 5 6 3
kvzgiek 1 4 2 0 6 3 5
kvzgike 1 4 2 0 6 5 3
kvzegki 1 4 2 3 0 5 6
kvzegik 1 4 2 3 0 6 5
kvzekgi 1 4 2 3 5 0 6
kvzekig 1 4 2 3 5 6 0
kvzeigk 1 4 2 3 6 0 5
kvzeikg 1 4 2 3 6 5 0
kvzkgei 1 4 2 5 0 3 6
kvzkgie 1 4 2 5 0 6 3
kvzkegi 1 4 2 5 3 0 6
kvzkeig 1 4 2 5 3 6 0
kvzkige 1 4 2 5 6 0 3
kvzkieg 1 4 2 5 6 3 0
kvzigek 1 4 2 6 0 3 5
kvzigke 1 4 2 6 0 5 3
kvziegk 1 4 2 6 3 0 5
kvziekg 1 4 2 6 3 5 0
kvzikge 1 4 2 6 5 0 3
kvzikeg 1 4 2 6 5 3 0
kvegzki 1 4 3 0 2 5 6
kvegzik 1 4 3 0 2 6 5
kvegkzi 1 4 3 0 5 2 6
kvegkiz 1 4 3 0 5 6 2
kvegizk 1 4 3 0 6 2 5
kvegikz 1 4 3 0 6 5 2
kvezgki 1 4 3 2 0 5 6
kvezgik 1 4 3 2 0 6 5
kvezkgi 1 4 3 2 5 0 6
kvezkig 1 4 3 2 5 6 0
kvezigk 1 4 3 2 6 0 5
kvezikg 1 4 3 2 6 5 0
kvekgzi 1 4 3 5 0 2 6
kvekgiz 1 4 3 5 0 6 2
kvekzgi 1 4 3 5 2 0 6
kvekzig 1 4 3 5 2 6 0
kvekigz 1 4 3 5 6 0 2
kvekizg 1 4 3 5 6 2 0
kveigzk 1 4 3 6 0 2 5
kveigkz 1 4 3 6 0 5 2
kveizgk 1 4 3 6 2 0 5
kveizkg 1 4 3 6 2 5 0
kveikgz 1 4 3 6 5 0 2
kveikzg 1 4 3 6 5 2 0
kvkgzei 1 4 5 0 2 3 6
kvkgzie 1 4 5 0 2 6 3
kvkgezi 1 4 5 0 3 2 6
kvkgeiz 1 4 5 0 3 6 2
kvkgize 1 4 5 0 6 2 3
kvkgiez 1 4 5 0 6 3 2
kvkzgei 1 4 5 2 0 3 6
kvkzgie 1 4 5 2 0 6 3
kvkzegi 1 4 5 2 3 0 6
kvkzeig 1 4 5 2 3 6 0
kvkzige 1 4 5 2 6 0 3
kvkzieg 1 4 5 2 6 3 0
kvkegzi 1 4 5 3 0 2 6
kvkegiz 1 4 5 3 0 6 2
kvkezgi 1 4 5 3 2 0 6
kvkezig 1 4 5 3 2 6 0
kvkeigz 1 4 5 3 6 0 2
kvkeizg 1 4 5 3 6 2 0
kvkigze 1 4 5 6 0 2 3
kvkigez 1 4 5 6 0 3 2
kvkizge 1 4 5 6 2 0 3
kvkizeg 1 4 5 6 2 3 0
kvkiegz 1 4 5 6 3 0 2
kvkiezg 1 4 5 6 3 2 0
kvigzek 1 4 6 0 2 3 5
kvigzke 1 4 6 0 2 5 3
kvigezk 1 4 6 0 3 2 5
kvigekz 1 4 6 0 3 5 2
kvigkze 1 4 6 0 5 2 3
kvigkez 1 4 6 0 5 3 2
kvizgek 1 4 6 2 0 3 5
kvizgke 1 4 6 2 0 5 3
kvizegk 1 4 6 2 3 0 5
kvizekg 1 4 6 2 3 5 0
kvizkge 1 4 6 2 5 0 3
kvizkeg 1 4 6 2 5 3 0
kviegzk 1 4 6 3 0 2 5
kviegkz 1 4 6 3 0 5 2
kviezgk 1 4 6 3 2 0 5
kviezkg 1 4 6 3 2 5 0
kviekgz 1 4 6 3 5 0 2
kviekzg 1 4 6 3 5 2 0
kvikgze 1 4 6 5 0 2 3
kvikgez 1 4 6 5 0 3 2
kvikzge 1 4 6 5 2 0 3
kvikzeg 1 4 6 5 2 3 0
kvikegz 1 4 6 5 3 0 2
kvikezg 1 4 6 5 3 2 0
kkgzevi 1 5 0 2 3 4 6
kkgzeiv 1 5 0 2 3 6 4
kkgzvei 1 5 0 2 4 3 6
kkgzvie 1 5 0 2 4 6 3
kkgziev 1 5 0 2 6 3 4
kkgzive 1 5 0 2 6 4 3
kkgezvi 1 5 0 3 2 4 6
kkgeziv 1 5 0 3 2 6 4
kkgevzi 1 5 0 3 4 2 6
kkgeviz 1 5 0 3 4 6 2
kkgeizv 1 5 0 3 6 2 4
kkgeivz 1 5 0 3 6 4 2
kkgvzei 1 5 0 4 2 3 6
kkgvzie 1 5 0 4 2 6 3
kkgvezi 1 5 0 4 3 2 6
kkgveiz 1 5 0 4 3 6 2
kkgvize 1 5 0 4 6 2 3
kkgviez 1 5 0 4 6 3 2
kkgizev 1 5 0 6 2 3 4
kkgizve 1 5 0 6 2 4 3
kkgiezv 1 5 0 6 3 2 4
kkgievz 1 5 0 6 3 4 2
kkgivze 1 5 0 6 4 2 3
kkgivez 1 5 0 6 4 3 2
kkzgevi 1 5 2 0 3 4 6
kkzgeiv 1 5 2 0 3 6 4
kkzgvei 1 5 2 0 4 3 6
kkzgvie 1 5 2 0 4 6 3
kkzgiev 1 5 2 0 6 3 4
kkzgive 1 5 2 0 6 4 3
kkzegvi 1 5 2 3 0 4 6
kkzegiv 1 5 2 3 0 6 4
kkzevgi 1 5 2 3 4 0 6
kkzevig 1 5 2 3 4 6 0
kkzeigv 1 5 2 3 6 0 4
kkzeivg 1 5 2 3 6 4 0
kkzvgei 1 5 2 4 0 3 6
kkzvgie 1 5 2 4 0 6 3
kkzvegi 1 5 2 4 3 0 6
kkzveig 1 5 2 4 3 6 0
kkzvige 1 5 2 4 6 0 3
kkzvieg 1 5 2 4 6 3 0
kkzigev 1 5 2 6 0 3 4
kkzigve 1 5 2 6 0 4 3
kkziegv 1 5 2 6 3 0 4
kkzievg 1 5 2 6 3 4 0
kkzivge 1 5 2 6 4 0 3
kkziveg 1 5 2 6 4 3 0
kkegzvi 1 5 3 0 2 4 6
kkegziv 1 5 3 0 2 6 4
kkegvzi 1 5 3 0 4 2 6
kkegviz 1 5 3 0 4 6 2
kkegizv 1 5 3 0 6 2 4
kkegivz 1 5 3 0 6 4 2
kkezgvi 1 5 3 2 0 4 6
kkezgiv 1 5 3 2 0 6 4
kkezvgi 1 5 3 2 4 0 6
kkezvig 1 5 3 2 4 6 0
kkezigv 1 5 3 2 6 0 4
kkezivg 1 5 3 2 6 4 0
kkevgzi 1 5 3 4 0 2 6
kkevgiz 1 5 3 4 0 6 2
kkevzgi 1 5 3 4 2 0 6
kkevzig 1 5 3 4 2 6 0
kkevigz 1 5 3 4 6 0 2
kkevizg 1 5 3 4 6 2 0
kkeigzv 1 5 3 6 0 2 4
kkeigvz 1 5 3 6 0 4 2
kkeizgv 1 5 3 6 2 0 4
kkeizvg 1 5 3 6 2 4 0
kkeivgz 1 5 3 6 4 0 2
kkeivzg 1 5 3 6 4 2 0
kkvgzei 1 5 4 0 2 3 6
kkvgzie 1 5 4 0 2 6 3
kkvgezi 1 5 4 0 3 2 6
kkvgeiz 1 5 4 0 3 6 2
kkvgize 1 5 4 0 6 2 3
kkvgiez 1 5 4 0 6 3 2
kkvzgei 1 5 4 2 0 3 6
kkvzgie 1 5 4 2 0 6 3
kkvzegi 1 5 4 2 3 0 6
kkvzeig 1 5 4 2 3 6 0
kkvzige 1 5 4 2 6 0 3
kkvzieg 1 5 4 2 6 3 0
kkvegzi 1 5 4 3 0 2 6
kkvegiz 1 5 4 3 0 6 2
kkvezgi 1 5 4 3 2 0 6
kkvezig 1 5 4 3 2 6 0
kkveigz 1 5 4 3 6 0 2
kkveizg 1 5 4 3 6 2 0
kkvigze 1 5 4 6 0 2 3
kkvigez 1 5 4 6 0 3 2
kkvizge 1 5 4 6 2 0 3
kkvizeg 1 5 4 6 2 3 0
kkviegz 1 5 4 6 3 0 2
kkviezg 1 5 4 6 3 2 0
kkigzev 1 5 6 0 2 3 4
kkigzve 1 5 6 0 2 4 3
kkigezv 1 5 6 0 3 2 4
kkigevz 1 5 6 0 3 4 2
kkigvze 1 5 6 0 4 2 3
kkigvez 1 5 6 0 4 3 2
kkizgev 1 5 6 2 0 3 4
kkizgve 1 5 6 2 0 4 3
kkizegv 1 5 6 2 3 0 4
kkizevg 1 5 6 2 3 4 0
kkizvge 1 5 6 2 4 0 3
kkizveg 1 5 6 2 4 3 0
kkiegzv 1 5 6 3 0 2 4
kkiegvz 1 5 6 3 0 4 2
kkiezgv 1 5 6 3 2 0 4
kkiezvg 1 5 6 3 2 4 0
kkievgz 1 5 6 3 4 0 2
kkievzg 1 5 6 3 4 2 0
kkivgze 1 5 6 4 0 2 3
kkivgez 1 5 6 4 0 3 2
kkivzge 1 5 6 4 2 0 3
kkivzeg 1 5 6 4 2 3 0
kkivegz 1 5 6 4 3 0 2
kkivezg 1 5 6 4 3 2 0
kigzevk 1 6 0 2 3 4 5
kigzekv 1 6 0 2 3 5 4
kigzvek 1 6 0 2 4 3 5
kigzvke 1 6 0 2 4 5 3
kigzkev 1 6 0 2 5 3 4
kigzkve 1 6 0 2 5 4 3
kigezvk 1 6 0 3 2 4 5
kigezkv 1 6 0 3 2 5 4
kigevzk 1 6 0 3 4 2 5
kigevkz 1 6 0 3 4 5 2
kigekzv 1 6 0 3 5 2 4
kigekvz 1 6 0 3 5 4 2
kigvzek 1 6 0 4 2 3 5
kigvzke 1 6 0 4 2 5 3
kigvezk 1 6 0 4 3 2 5
kigvekz 1 6 0 4 3 5 2
kigvkze 1 6 0 4 5 2 3
kigvkez 1 6 0 4 5 3 2
kigkzev 1 6 0 5 2 3 4
kigkzve 1 6 0 5 2 4 3
kigkezv 1 6 0 5 3 2 4
kigkevz 1 6 0 5 3 4 2
kigkvze 1 6 0 5 4 2 3
kigkvez 1 6 0 5 4 3 2
kizgevk 1 6 2 0 3 4 5
kizgekv 1 6 2 0 3 5 4
kizgvek 1 6 2 0 4 3 5
kizgvke 1 6 2 0 4 5 3
kizgkev 1 6 2 0 5 3 4
kizgkve 1 6 2 0 5 4 3
kizegvk 1 6 2 3 0 4 5
kizegkv 1 6 2 3 0 5 4
kizevgk 1 6 2 3 4 0 5
kizevkg 1 6 2 3 4 5 0
kizekgv 1 6 2 3 5 0 4
kizekvg 1 6 2 3 5 4 0
kizvgek 1 6 2 4 0 3 5
kizvgke 1 6 2 4 0 5 3
kizvegk 1 6 2 4 3 0 5
kizvekg 1 6 2 4 3 5 0
kizvkge 1 6 2 4 5 0 3
kizvkeg 1 6 2 4 5 3 0
kizkgev 1 6 2 5 0 3 4
kizkgve 1 6 2 5 0 4 3
kizkegv 1 6 2 5 3 0 4
kizkevg 1 6 2 5 3 4 0
kizkvge 1 6 2 5 4 0 3
kizkveg 1 6 2 5 4 3 0
kiegzvk 1 6 3 0 2 4 5
kiegzkv 1 6 3 0 2 5 4
kiegvzk 1 6 3 0 4 2 5
kiegvkz 1 6 3 0 4 5 2
