Shift: 22
wapulay 0 1 2 3 4 5 6
wyapula 0 6 5 2 3 4 1
wyaplau 0 6 5 2 4 1 3
wyaplua 0 6 5 2 4 3 1
wyauapl 0 6 5 3 1 2 4
wyaualp 0 6 5 3 1 4 2
wyaupal 0 6 5 3 2 1 4
wyaupla 0 6 5 3 2 4 1
wyaulap 0 6 5 3 4 1 2
wyaulpa 0 6 5 3 4 2 1
wyalapu 0 6 5 4 1 2 3
wyalaup 0 6 5 4 1 3 2
wyalpau 0 6 5 4 2 1 3
wyalpua 0 6 5 4 2 3 1
wyaluap 0 6 5 4 3 1 2
wyalupa 0 6 5 4 3 2 1
awpulay 1 0 2 3 4 5 6
awpulya 1 0 2 3 4 6 5
awpualy 1 0 2 3 5 4 6
awpuayl 1 0 2 3 5 6 4
awpuyla 1 0 2 3 6 4 5
awpuyal 1 0 2 3 6 5 4
awpluay 1 0 2 4 3 5 6
awpluya 1 0 2 4 3 6 5
awplauy 1 0 2 4 5 3 6
awplayu 1 0 2 4 5 6 3
awplyua 1 0 2 4 6 3 5
awplyau 1 0 2 4 6 5 3
awpauly 1 0 2 5 3 4 6
awpauyl 1 0 2 5 3 6 4
awpaluy 1 0 2 5 4 3 6
awpalyu 1 0 2 5 4 6 3
awpayul 1 0 2 5 6 3 4
awpaylu 1 0 2 5 6 4 3
awpyula 1 0 2 6 3 4 5
awpyual 1 0 2 6 3 5 4
awpylua 1 0 2 6 4 3 5
awpylau 1 0 2 6 4 5 3
awpyaul 1 0 2 6 5 3 4
awpyalu 1 0 2 6 5 4 3
awuplay 1 0 3 2 4 5 6
awuplya 1 0 3 2 4 6 5
awupaly 1 0 3 2 5 4 6
awupayl 1 0 3 2 5 6 4
awupyla 1 0 3 2 6 4 5
awupyal 1 0 3 2 6 5 4
awulpay 1 0 3 4 2 5 6
awulpya 1 0 3 4 2 6 5
awulapy 1 0 3 4 5 2 6
awulayp 1 0 3 4 5 6 2
awulypa 1 0 3 4 6 2 5
awulyap 1 0 3 4 6 5 2
awuaply 1 0 3 5 2 4 6
awuapyl 1 0 3 5 2 6 4
awualpy 1 0 3 5 4 2 6
awualyp 1 0 3 5 4 6 2
awuaypl 1 0 3 5 6 2 4
awuaylp 1 0 3 5 6 4 2
awuypla 1 0 3 6 2 4 5
awuypal 1 0 3 6 2 5 4
awuylpa 1 0 3 6 4 2 5
awuylap 1 0 3 6 4 5 2
awuyapl 1 0 3 6 5 2 4
awuyalp 1 0 3 6 5 4 2
awlpuay 1 0 4 2 3 5 6
awlpuya 1 0 4 2 3 6 5
awlpauy 1 0 4 2 5 3 6
awlpayu 1 0 4 2 5 6 3
awlpyua 1 0 4 2 6 3 5
awlpyau 1 0 4 2 6 5 3
awlupay 1 0 4 3 2 5 6
awlupya 1 0 4 3 2 6 5
awluapy 1 0 4 3 5 2 6
awluayp 1 0 4 3 5 6 2
awluypa 1 0 4 3 6 2 5
awluyap 1 0 4 3 6 5 2
awlapuy 1 0 4 5 2 3 6
awlapyu 1 0 4 5 2 6 3
awlaupy 1 0 4 5 3 2 6
awlauyp 1 0 4 5 3 6 2
awlaypu 1 0 4 5 6 2 3
awlayup 1 0 4 5 6 3 2
awlypua 1 0 4 6 2 3 5
awlypau 1 0 4 6 2 5 3
awlyupa 1 0 4 6 3 2 5
awlyuap 1 0 4 6 3 5 2
awlyapu 1 0 4 6 5 2 3
awlyaup 1 0 4 6 5 3 2
awapuly 1 0 5 2 3 4 6
awapuyl 1 0 5 2 3 6 4
awapluy 1 0 5 2 4 3 6
awaplyu 1 0 5 2 4 6 3
awapyul 1 0 5 2 6 3 4
awapylu 1 0 5 2 6 4 3
awauply 1 0 5 3 2 4 6
awaupyl 1 0 5 3 2 6 4
awaulpy 1 0 5 3 4 2 6
awaulyp 1 0 5 3 4 6 2
awauypl 1 0 5 3 6 2 4
awauylp 1 0 5 3 6 4 2
awalpuy 1 0 5 4 2 3 6
awalpyu 1 0 5 4 2 6 3
awalupy 1 0 5 4 3 2 6
awaluyp 1 0 5 4 3 6 2
awalypu 1 0 5 4 6 2 3
awalyup 1 0 5 4 6 3 2
awaypul 1 0 5 6 2 3 4
awayplu 1 0 5 6 2 4 3
awayupl 1 0 5 6 3 2 4
awayulp 1 0 5 6 3 4 2
awaylpu 1 0 5 6 4 2 3
awaylup 1 0 5 6 4 3 2
awypula 1 0 6 2 3 4 5
awypual 1 0 6 2 3 5 4
awyplua 1 0 6 2 4 3 5
awyplau 1 0 6 2 4 5 3
awypaul 1 0 6 2 5 3 4
awypalu 1 0 6 2 5 4 3
awyupla 1 0 6 3 2 4 5
awyupal 1 0 6 3 2 5 4
awyulpa 1 0 6 3 4 2 5
awyulap 1 0 6 3 4 5 2
awyuapl 1 0 6 3 5 2 4
awyualp 1 0 6 3 5 4 2
awylpua 1 0 6 4 2 3 5
awylpau 1 0 6 4 2 5 3
awylupa 1 0 6 4 3 2 5
awyluap 1 0 6 4 3 5 2
awylapu 1 0 6 4 5 2 3
awylaup 1 0 6 4 5 3 2
awyapul 1 0 6 5 2 3 4
awyaplu 1 0 6 5 2 4 3
awyaupl 1 0 6 5 3 2 4
awyaulp 1 0 6 5 3 4 2
awyalpu 1 0 6 5 4 2 3
awyalup 1 0 6 5 4 3 2
apwulay 1 2 0 3 4 5 6
apwulya 1 2 0 3 4 6 5
apwualy 1 2 0 3 5 4 6
apwuayl 1 2 0 3 5 6 4
apwuyla 1 2 0 3 6 4 5
apwuyal 1 2 0 3 6 5 4
apwluay 1 2 0 4 3 5 6
apwluya 1 2 0 4 3 6 5
apwlauy 1 2 0 4 5 3 6
apwlayu 1 2 0 4 5 6 3
apwlyua 1 2 0 4 6 3 5
apwlyau 1 2 0 4 6 5 3
apwauly 1 2 0 5 3 4 6
apwauyl 1 2 0 5 3 6 4
apwaluy 1 2 0 5 4 3 6
apwalyu 1 2 0 5 4 6 3
apwayul 1 2 0 5 6 3 4
apwaylu 1 2 0 5 6 4 3
apwyula 1 2 0 6 3 4 5
apwyual 1 2 0 6 3 5 4
apwylua 1 2 0 6 4 3 5
apwylau 1 2 0 6 4 5 3
apwyaul 1 2 0 6 5 3 4
apwyalu 1 2 0 6 5 4 3
apuwlay 1 2 3 0 4 5 6
apuwlya 1 2 3 0 4 6 5
apuwaly 1 2 3 0 5 4 6
apuwayl 1 2 3 0 5 6 4
apuwyla 1 2 3 0 6 4 5
apuwyal 1 2 3 0 6 5 4
apulway 1 2 3 4 0 5 6
apulwya 1 2 3 4 0 6 5
apulawy 1 2 3 4 5 0 6
apulayw 1 2 3 4 5 6 0
apulywa 1 2 3 4 6 0 5
apulyaw 1 2 3 4 6 5 0
apuawly 1 2 3 5 0 4 6
apuawyl 1 2 3 5 0 6 4
apualwy 1 2 3 5 4 0 6
apualyw 1 2 3 5 4 6 0
apuaywl 1 2 3 5 6 0 4
apuaylw 1 2 3 5 6 4 0
apuywla 1 2 3 6 0 4 5
apuywal 1 2 3 6 0 5 4
apuylwa 1 2 3 6 4 0 5
apuylaw 1 2 3 6 4 5 0
apuyawl 1 2 3 6 5 0 4
apuyalw 1 2 3 6 5 4 0
aplwuay 1 2 4 0 3 5 6
aplwuya 1 2 4 0 3 6 5
aplwauy 1 2 4 0 5 3 6
aplwayu 1 2 4 0 5 6 3
aplwyua 1 2 4 0 6 3 5
aplwyau 1 2 4 0 6 5 3
apluway 1 2 4 3 0 5 6
apluwya 1 2 4 3 0 6 5
apluawy 1 2 4 3 5 0 6
apluayw 1 2 4 3 5 6 0
apluywa 1 2 4 3 6 0 5
apluyaw 1 2 4 3 6 5 0
aplawuy 1 2 4 5 0 3 6
aplawyu 1 2 4 5 0 6 3
aplauwy 1 2 4 5 3 0 6
aplauyw 1 2 4 5 3 6 0
aplaywu 1 2 4 5 6 0 3
aplayuw 1 2 4 5 6 3 0
aplywua 1 2 4 6 0 3 5
aplywau 1 2 4 6 0 5 3
aplyuwa 1 2 4 6 3 0 5
aplyuaw 1 2 4 6 3 5 0
aplyawu 1 2 4 6 5 0 3
aplyauw 1 2 4 6 5 3 0
apawuly 1 2 5 0 3 4 6
apawuyl 1 2 5 0 3 6 4
apawluy 1 2 5 0 4 3 6
apawlyu 1 2 5 0 4 6 3
apawyul 1 2 5 0 6 3 4
apawylu 1 2 5 0 6 4 3
apauwly 1 2 5 3 0 4 6
apauwyl 1 2 5 3 0 6 4
apaulwy 1 2 5 3 4 0 6
apaulyw 1 2 5 3 4 6 0
apauywl 1 2 5 3 6 0 4
apauylw 1 2 5 3 6 4 0
apalwuy 1 2 5 4 0 3 6
apalwyu 1 2 5 4 0 6 3
apaluwy 1 2 5 4 3 0 6
apaluyw 1 2 5 4 3 6 0
apalywu 1 2 5 4 6 0 3
apalyuw 1 2 5 4 6 3 0
apaywul 1 2 5 6 0 3 4
apaywlu 1 2 5 6 0 4 3
apayuwl 1 2 5 6 3 0 4
apayulw 1 2 5 6 3 4 0
apaylwu 1 2 5 6 4 0 3
apayluw 1 2 5 6 4 3 0
apywula 1 2 6 0 3 4 5
apywual 1 2 6 0 3 5 4
apywlua 1 2 6 0 4 3 5
apywlau 1 2 6 0 4 5 3
apywaul 1 2 6 0 5 3 4
apywalu 1 2 6 0 5 4 3
apyuwla 1 2 6 3 0 4 5
apyuwal 1 2 6 3 0 5 4
apyulwa 1 2 6 3 4 0 5
apyulaw 1 2 6 3 4 5 0
apyuawl 1 2 6 3 5 0 4
apyualw 1 2 6 3 5 4 0
apylwua 1 2 6 4 0 3 5
apylwau 1 2 6 4 0 5 3
apyluwa 1 2 6 4 3 0 5
apyluaw 1 2 6 4 3 5 0
apylawu 1 2 6 4 5 0 3
apylauw 1 2 6 4 5 3 0
apyawul 1 2 6 5 0 3 4
apyawlu 1 2 6 5 0 4 3
apyauwl 1 2 6 5 3 0 4
apyaulw 1 2 6 5 3 4 0
apyalwu 1 2 6 5 4 0 3
apyaluw 1 2 6 5 4 3 0
auwplay 1 3 0 2 4 5 6
auwplya 1 3 0 2 4 6 5
auwpaly 1 3 0 2 5 4 6
auwpayl 1 3 0 2 5 6 4
auwpyla 1 3 0 2 6 4 5
auwpyal 1 3 0 2 6 5 4
auwlpay 1 3 0 4 2 5 6
auwlpya 1 3 0 4 2 6 5
auwlapy 1 3 0 4 5 2 6
auwlayp 1 3 0 4 5 6 2
auwlypa 1 3 0 4 6 2 5
auwlyap 1 3 0 4 6 5 2
auwaply 1 3 0 5 2 4 6
auwapyl 1 3 0 5 2 6 4
auwalpy 1 3 0 5 4 2 6
auwalyp 1 3 0 5 4 6 2
auwaypl 1 3 0 5 6 2 4
auwaylp 1 3 0 5 6 4 2
auwypla 1 3 0 6 2 4 5
auwypal 1 3 0 6 2 5 4
auwylpa 1 3 0 6 4 2 5
auwylap 1 3 0 6 4 5 2
auwyapl 1 3 0 6 5 2 4
auwyalp 1 3 0 6 5 4 2
aupwlay 1 3 2 0 4 5 6
aupwlya 1 3 2 0 4 6 5
aupwaly 1 3 2 0 5 4 6
aupwayl 1 3 2 0 5 6 4
aupwyla 1 3 2 0 6 4 5
aupwyal 1 3 2 0 6 5 4
auplway 1 3 2 4 0 5 6
auplwya 1 3 2 4 0 6 5
auplawy 1 3 2 4 5 0 6
auplayw 1 3 2 4 5 6 0
auplywa 1 3 2 4 6 0 5
auplyaw 1 3 2 4 6 5 0
aupawly 1 3 2 5 0 4 6
aupawyl 1 3 2 5 0 6 4
aupalwy 1 3 2 5 4 0 6
aupalyw 1 3 2 5 4 6 0
aupaywl 1 3 2 5 6 0 4
aupaylw 1 3 2 5 6 4 0
aupywla 1 3 2 6 0 4 5
aupywal 1 3 2 6 0 5 4
aupylwa 1 3 2 6 4 0 5
aupylaw 1 3 2 6 4 5 0
aupyawl 1 3 2 6 5 0 4
aupyalw 1 3 2 6 5 4 0
aulwpay 1 3 4 0 2 5 6
aulwpya 1 3 4 0 2 6 5
aulwapy 1 3 4 0 5 2 6
aulwayp 1 3 4 0 5 6 2
aulwypa 1 3 4 0 6 2 5
aulwyap 1 3 4 0 6 5 2
aulpway 1 3 4 2 0 5 6
aulpwya 1 3 4 2 0 6 5
aulpawy 1 3 4 2 5 0 6
aulpayw 1 3 4 2 5 6 0
aulpywa 1 3 4 2 6 0 5
aulpyaw 1 3 4 2 6 5 0
aulawpy 1 3 4 5 0 2 6
aulawyp 1 3 4 5 0 6 2
aulapwy 1 3 4 5 2 0 6
aulapyw 1 3 4 5 2 6 0
aulaywp 1 3 4 5 6 0 2
aulaypw 1 3 4 5 6 2 0
aulywpa 1 3 4 6 0 2 5
aulywap 1 3 4 6 0 5 2
aulypwa 1 3 4 6 2 0 5
aulypaw 1 3 4 6 2 5 0
aulyawp 1 3 4 6 5 0 2
aulyapw 1 3 4 6 5 2 0
auawply 1 3 5 0 2 4 6
auawpyl 1 3 5 0 2 6 4
auawlpy 1 3 5 0 4 2 6
auawlyp 1 3 5 0 4 6 2
auawypl 1 3 5 0 6 2 4
auawylp 1 3 5 0 6 4 2
auapwly 1 3 5 2 0 4 6
auapwyl 1 3 5 2 0 6 4
auaplwy 1 3 5 2 4 0 6
auaplyw 1 3 5 2 4 6 0
auapywl 1 3 5 2 6 0 4
auapylw 1 3 5 2 6 4 0
aualwpy 1 3 5 4 0 2 6
aualwyp 1 3 5 4 0 6 2
aualpwy 1 3 5 4 2 0 6
aualpyw 1 3 5 4 2 6 0
aualywp 1 3 5 4 6 0 2
aualypw 1 3 5 4 6 2 0
auaywpl 1 3 5 6 0 2 4
auaywlp 1 3 5 6 0 4 2
auaypwl 1 3 5 6 2 0 4
auayplw 1 3 5 6 2 4 0
auaylwp 1 3 5 6 4 0 2
auaylpw 1 3 5 6 4 2 0
auywpla 1 3 6 0 2 4 5
auywpal 1 3 6 0 2 5 4
auywlpa 1 3 6 0 4 2 5
auywlap 1 3 6 0 4 5 2
auywapl 1 3 6 0 5 2 4
auywalp 1 3 6 0 5 4 2
auypwla 1 3 6 2 0 4 5
auypwal 1 3 6 2 0 5 4
auyplwa 1 3 6 2 4 0 5
auyplaw 1 3 6 2 4 5 0
auypawl 1 3 6 2 5 0 4
auypalw 1 3 6 2 5 4 0
auylwpa 1 3 6 4 0 2 5
auylwap 1 3 6 4 0 5 2
auylpwa 1 3 6 4 2 0 5
auylpaw 1 3 6 4 2 5 0
auylawp 1 3 6 4 5 0 2
auylapw 1 3 6 4 5 2 0
auyawpl 1 3 6 5 0 2 4
auyawlp 1 3 6 5 0 4 2
auyapwl 1 3 6 5 2 0 4
auyaplw 1 3 6 5 2 4 0
auyalwp 1 3 6 5 4 0 2
auyalpw 1 3 6 5 4 2 0
alwpuay 1 4 0 2 3 5 6
alwpuya 1 4 0 2 3 6 5
alwpauy 1 4 0 2 5 3 6
alwpayu 1 4 0 2 5 6 3
alwpyua 1 4 0 2 6 3 5
alwpyau 1 4 0 2 6 5 3
alwupay 1 4 0 3 2 5 6
alwupya 1 4 0 3 2 6 5
alwuapy 1 4 0 3 5 2 6
alwuayp 1 4 0 3 5 6 2
alwuypa 1 4 0 3 6 2 5
alwuyap 1 4 0 3 6 5 2
alwapuy 1 4 0 5 2 3 6
alwapyu 1 4 0 5 2 6 3
alwaupy 1 4 0 5 3 2 6
alwauyp 1 4 0 5 3 6 2
alwaypu 1 4 0 5 6 2 3
alwayup 1 4 0 5 6 3 2
alwypua 1 4 0 6 2 3 5
alwypau 1 4 0 6 2 5 3
alwyupa 1 4 0 6 3 2 5
alwyuap 1 4 0 6 3 5 2
alwyapu 1 4 0 6 5 2 3
alwyaup 1 4 0 6 5 3 2
alpwuay 1 4 2 0 3 5 6
alpwuya 1 4 2 0 3 6 5
alpwauy 1 4 2 0 5 3 6
alpwayu 1 4 2 0 5 6 3
alpwyua 1 4 2 0 6 3 5
alpwyau 1 4 2 0 6 5 3
alpuway 1 4 2 3 0 5 6
alpuwya 1 4 2 3 0 6 5
alpuawy 1 4 2 3 5 0 6
alpuayw 1 4 2 3 5 6 0
alpuywa 1 4 2 3 6 0 5
alpuyaw 1 4 2 3 6 5 0
alpawuy 1 4 2 5 0 3 6
alpawyu 1 4 2 5 0 6 3
alpauwy 1 4 2 5 3 0 6
alpauyw 1 4 2 5 3 6 0
alpaywu 1 4 2 5 6 0 3
alpayuw 1 4 2 5 6 3 0
alpywua 1 4 2 6 0 3 5
alpywau 1 4 2 6 0 5 3
alpyuwa 1 4 2 6 3 0 5
alpyuaw 1 4 2 6 3 5 0
alpyawu 1 4 2 6 5 0 3
alpyauw 1 4 2 6 5 3 0
aluwpay 1 4 3 0 2 5 6
aluwpya 1 4 3 0 2 6 5
aluwapy 1 4 3 0 5 2 6
aluwayp 1 4 3 0 5 6 2
aluwypa 1 4 3 0 6 2 5
aluwyap 1 4 3 0 6 5 2
alupway 1 4 3 2 0 5 6
alupwya 1 4 3 2 0 6 5
alupawy 1 4 3 2 5 0 6
alupayw 1 4 3 2 5 6 0
alupywa 1 4 3 2 6 0 5
alupyaw 1 4 3 2 6 5 0
aluawpy 1 4 3 5 0 2 6
aluawyp 1 4 3 5 0 6 2
aluapwy 1 4 3 5 2 0 6
aluapyw 1 4 3 5 2 6 0
aluaywp 1 4 3 5 6 0 2
aluaypw 1 4 3 5 6 2 0
aluywpa 1 4 3 6 0 2 5
aluywap 1 4 3 6 0 5 2
aluypwa 1 4 3 6 2 0 5
aluypaw 1 4 3 6 2 5 0
aluyawp 1 4 3 6 5 0 2
aluyapw 1 4 3 6 5 2 0
alawpuy 1 4 5 0 2 3 6
alawpyu 1 4 5 0 2 6 3
alawupy 1 4 5 0 3 2 6
alawuyp 1 4 5 0 3 6 2
alawypu 1 4 5 0 6 2 3
alawyup 1 4 5 0 6 3 2
alapwuy 1 4 5 2 0 3 6
alapwyu 1 4 5 2 0 6 3
alapuwy 1 4 5 2 3 0 6
alapuyw 1 4 5 2 3 6 0
alapywu 1 4 5 2 6 0 3
alapyuw 1 4 5 2 6 3 0
alauwpy 1 4 5 3 0 2 6
alauwyp 1 4 5 3 0 6 2
alaupwy 1 4 5 3 2 0 6
alaupyw 1 4 5 3 2 6 0
alauywp 1 4 5 3 6 0 2
alauypw 1 4 5 3 6 2 0
alaywpu 1 4 5 6 0 2 3
alaywup 1 4 5 6 0 3 2
alaypwu 1 4 5 6 2 0 3
alaypuw 1 4 5 6 2 3 0
alayuwp 1 4 5 6 3 0 2
alayupw 1 4 5 6 3 2 0
alywpua 1 4 6 0 2 3 5
alywpau 1 4 6 0 2 5 3
alywupa 1 4 6 0 3 2 5
alywuap 1 4 6 0 3 5 2
alywapu 1 4 6 0 5 2 3
alywaup 1 4 6 0 5 3 2
alypwua 1 4 6 2 0 3 5
alypwau 1 4 6 2 0 5 3
alypuwa 1 4 6 2 3 0 5
alypuaw 1 4 6 2 3 5 0
alypawu 1 4 6 2 5 0 3
alypauw 1 4 6 2 5 3 0
alyuwpa 1 4 6 3 0 2 5
alyuwap 1 4 6 3 0 5 2
alyupwa 1 4 6 3 2 0 5
alyupaw 1 4 6 3 2 5 0
alyuawp 1 4 6 3 5 0 2
alyuapw 1 4 6 3 5 2 0
alyawpu 1 4 6 5 0 2 3
alyawup 1 4 6 5 0 3 2
alyapwu 1 4 6 5 2 0 3
alyapuw 1 4 6 5 2 3 0
alyauwp 1 4 6 5 3 0 2
alyaupw 1 4 6 5 3 2 0
aawpuly 1 5 0 2 3 4 6
aawpuyl 1 5 0 2 3 6 4
aawpluy 1 5 0 2 4 3 6
aawplyu 1 5 0 2 4 6 3
aawpyul 1 5 0 2 6 3 4
aawpylu 1 5 0 2 6 4 3
aawuply 1 5 0 3 2 4 6
aawupyl 1 5 0 3 2 6 4
aawulpy 1 5 0 3 4 2 6
aawulyp 1 5 0 3 4 6 2
aawuypl 1 5 0 3 6 2 4
aawuylp 1 5 0 3 6 4 2
aawlpuy 1 5 0 4 2 3 6
aawlpyu 1 5 0 4 2 6 3
aawlupy 1 5 0 4 3 2 6
aawluyp 1 5 0 4 3 6 2
aawlypu 1 5 0 4 6 2 3
aawlyup 1 5 0 4 6 3 2
aawypul 1 5 0 6 2 3 4
aawyplu 1 5 0 6 2 4 3
aawyupl 1 5 0 6 3 2 4
aawyulp 1 5 0 6 3 4 2
aawylpu 1 5 0 6 4 2 3
aawylup 1 5 0 6 4 3 2
aapwuly 1 5 2 0 3 4 6
aapwuyl 1 5 2 0 3 6 4
aapwluy 1 5 2 0 4 3 6
aapwlyu 1 5 2 0 4 6 3
aapwyul 1 5 2 0 6 3 4
aapwylu 1 5 2 0 6 4 3
aapuwly 1 5 2 3 0 4 6
aapuwyl 1 5 2 3 0 6 4
aapulwy 1 5 2 3 4 0 6
aapulyw 1 5 2 3 4 6 0
aapuywl 1 5 2 3 6 0 4
aapuylw 1 5 2 3 6 4 0
aaplwuy 1 5 2 4 0 3 6
aaplwyu 1 5 2 4 0 6 3
aapluwy 1 5 2 4 3 0 6
aapluyw 1 5 2 4 3 6 0
aaplywu 1 5 2 4 6 0 3
aaplyuw 1 5 2 4 6 3 0
aapywul 1 5 2 6 0 3 4
aapywlu 1 5 2 6 0 4 3
aapyuwl 1 5 2 6 3 0 4
aapyulw 1 5 2 6 3 4 0
aapylwu 1 5 2 6 4 0 3
aapyluw 1 5 2 6 4 3 0
aauwply 1 5 3 0 2 4 6
aauwpyl 1 5 3 0 2 6 4
aauwlpy 1 5 3 0 4 2 6
aauwlyp 1 5 3 0 4 6 2
aauwypl 1 5 3 0 6 2 4
aauwylp 1 5 3 0 6 4 2
aaupwly 1 5 3 2 0 4 6
aaupwyl 1 5 3 2 0 6 4
aauplwy 1 5 3 2 4 0 6
aauplyw 1 5 3 2 4 6 0
aaupywl 1 5 3 2 6 0 4
aaupylw 1 5 3 2 6 4 0
aaulwpy 1 5 3 4 0 2 6
aaulwyp 1 5 3 4 0 6 2
aaulpwy 1 5 3 4 2 0 6
aaulpyw 1 5 3 4 2 6 0
aaulywp 1 5 3 4 6 0 2
aaulypw 1 5 3 4 6 2 0
aauywpl 1 5 3 6 0 2 4
aauywlp 1 5 3 6 0 4 2
aauypwl 1 5 3 6 2 0 4
aauyplw 1 5 3 6 2 4 0
aauylwp 1 5 3 6 4 0 2
aauylpw 1 5 3 6 4 2 0
aalwpuy 1 5 4 0 2 3 6
aalwpyu 1 5 4 0 2 6 3
aalwupy 1 5 4 0 3 2 6
aalwuyp 1 5 4 0 3 6 2
aalwypu 1 5 4 0 6 2 3
aalwyup 1 5 4 0 6 3 2
aalpwuy 1 5 4 2 0 3 6
aalpwyu 1 5 4 2 0 6 3
aalpuwy 1 5 4 2 3 0 6
aalpuyw 1 5 4 2 3 6 0
aalpywu 1 5 4 2 6 0 3
aalpyuw 1 5 4 2 6 3 0
aaluwpy 1 5 4 3 0 2 6
aaluwyp 1 5 4 3 0 6 2
aalupwy 1 5 4 3 2 0 6
aalupyw 1 5 4 3 2 6 0
aaluywp 1 5 4 3 6 0 2
aaluypw 1 5 4 3 6 2 0
aalywpu 1 5 4 6 0 2 3
aalywup 1 5 4 6 0 3 2
aalypwu 1 5 4 6 2 0 3
aalypuw 1 5 4 6 2 3 0
aalyuwp 1 5 4 6 3 0 2
aalyupw 1 5 4 6 3 2 0
aaywpul 1 5 6 0 2 3 4
aaywplu 1 5 6 0 2 4 3
aaywupl 1 5 6 0 3 2 4
aaywulp 1 5 6 0 3 4 2
aaywlpu 1 5 6 0 4 2 3
aaywlup 1 5 6 0 4 3 2
aaypwul 1 5 6 2 0 3 4
aaypwlu 1 5 6 2 0 4 3
aaypuwl 1 5 6 2 3 0 4
aaypulw 1 5 6 2 3 4 0
aayplwu 1 5 6 2 4 0 3
aaypluw 1 5 6 2 4 3 0
aayuwpl 1 5 6 3 0 2 4
aayuwlp 1 5 6 3 0 4 2
aayupwl 1 5 6 3 2 0 4
aayuplw 1 5 6 3 2 4 0
aayulwp 1 5 6 3 4 0 2
aayulpw 1 5 6 3 4 2 0
aaylwpu 1 5 6 4 0 2 3
aaylwup 1 5 6 4 0 3 2
aaylpwu 1 5 6 4 2 0 3
aaylpuw 1 5 6 4 2 3 0
aayluwp 1 5 6 4 3 0 2
aaylupw 1 5 6 4 3 2 0
aywpula 1 6 0 2 3 4 5
aywpual 1 6 0 2 3 5 4
aywplua 1 6 0 2 4 3 5
aywplau 1 6 0 2 4 5 3
aywpaul 1 6 0 2 5 3 4
aywpalu 1 6 0 2 5 4 3
aywupla 1 6 0 3 2 4 5
aywupal 1 6 0 3 2 5 4
aywulpa 1 6 0 3 4 2 5
aywulap 1 6 0 3 4 5 2
aywuapl 1 6 0 3 5 2 4
aywualp 1 6 0 3 5 4 2
aywlpua 1 6 0 4 2 3 5
aywlpau 1 6 0 4 2 5 3
aywlupa 1 6 0 4 3 2 5
aywluap 1 6 0 4 3 5 2
aywlapu 1 6 0 4 5 2 3
aywlaup 1 6 0 4 5 3 2
aywapul 1 6 0 5 2 3 4
aywaplu 1 6 0 5 2 4 3
aywaupl 1 6 0 5 3 2 4
aywaulp 1 6 0 5 3 4 2
aywalpu 1 6 0 5 4 2 3
aywalup 1 6 0 5 4 3 2
aypwula 1 6 2 0 3 4 5
aypwual 1 6 2 0 3 5 4
aypwlua 1 6 2 0 4 3 5
aypwlau 1 6 2 0 4 5 3
aypwaul 1 6 2 0 5 3 4
aypwalu 1 6 2 0 5 4 3
aypuwla 1 6 2 3 0 4 5
aypuwal 1 6 2 3 0 5 4
aypulwa 1 6 2 3 4 0 5
aypulaw 1 6 2 3 4 5 0
aypuawl 1 6 2 3 5 0 4
aypualw 1 6 2 3 5 4 0
ayplwua 1 6 2 4 0 3 5
ayplwau 1 6 2 4 0 5 3
aypluwa 1 6 2 4 3 0 5
aypluaw 1 6 2 4 3 5 0
ayplawu 1 6 2 4 5 0 3
ayplauw 1 6 2 4 5 3 0
aypawul 1 6 2 5 0 3 4
aypawlu 1 6 2 5 0 4 3
aypauwl 1 6 2 5 3 0 4
aypaulw 1 6 2 5 3 4 0
aypalwu 1 6 2 5 4 0 3
aypaluw 1 6 2 5 4 3 0
ayuwpla 1 6 3 0 2 4 5
ayuwpal 1 6 3 0 2 5 4
ayuwlpa 1 6 3 0 4 2 5
ayuwlap 1 6 3 0 4 5 2
ayuwapl 1 6 3 0 5 2 4
ayuwalp 1 6 3 0 5 4 2
ayupwla 1 6 3 2 0 4 5
ayupwal 1 6 3 2 0 5 4
ayuplwa 1 6 3 2 4 0 5
ayuplaw 1 6 3 2 4 5 0
ayupawl 1 6 3 2 5 0 4
ayupalw 1 6 3 2 5 4 0
ayulwpa 1 6 3 4 0 2 5
ayulwap 1 6 3 4 0 5 2
ayulpwa 1 6 3 4 2 0 5
ayulpaw 1 6 3 4 2 5 0
ayulawp 1 6 3 4 5 0 2
ayulapw 1 6 3 4 5 2 0
ayuawpl 1 6 3 5 0 2 4
ayuawlp 1 6 3 5 0 4 2
ayuapwl 1 6 3 5 2 0 4
ayuaplw 1 6 3 5 2 4 0
ayualwp 1 6 3 5 4 0 2
ayualpw 1 6 3 5 4 2 0
aylwpua 1 6 4 0 2 3 5
aylwpau 1 6 4 0 2 5 3
aylwupa 1 6 4 0 3 2 5
aylwuap 1 6 4 0 3 5 2
aylwapu 1 6 4 0 5 2 3
aylwaup 1 6 4 0 5 3 2
aylpwua 1 6 4 2 0 3 5
aylpwau 1 6 4 2 0 5 3
aylpuwa 1 6 4 2 3 0 5
aylpuaw 1 6 4 2 3 5 0
aylpawu 1 6 4 2 5 0 3
aylpauw 1 6 4 2 5 3 0
ayluwpa 1 6 4 3 0 2 5
ayluwap 1 6 4 3 0 5 2
aylupwa 1 6 4 3 2 0 5
aylupaw 1 6 4 3 2 5 0
ayluawp 1 6 4 3 5 0 2
ayluapw 1 6 4 3 5 2 0
aylawpu 1 6 4 5 0 2 3
